query	subject	%pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	e-value	bitscore	function	genome
00000005|gene_cluster_GC_00003880|genome_name_Reference|gene_callers_id_2196	sp|P0CL10|PDHR_SALTY	27.632	152	93	4	3	144	7	151	5.86e-08	55.5	sp|P0CL10|PDHR_SALTY Pyruvate dehydrogenase complex repressor OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=pdhR PE=3 SV=1	Reference
00000005|gene_cluster_GC_00003880|genome_name_Reference|gene_callers_id_2196	sp|E1W823|PDHR_SALTS	27.632	152	93	4	3	144	7	151	5.86e-08	55.5	sp|E1W823|PDHR_SALTS Pyruvate dehydrogenase complex repressor OS=Salmonella typhimurium (strain SL1344) OX=216597 GN=pdhR PE=3 SV=1	Reference
00000005|gene_cluster_GC_00003880|genome_name_Reference|gene_callers_id_2196	sp|P0A2S3|PDHR_SALTI	27.632	152	93	4	3	144	7	151	5.86e-08	55.5	sp|P0A2S3|PDHR_SALTI Pyruvate dehydrogenase complex repressor OS=Salmonella typhi OX=90370 GN=pdhR PE=3 SV=1	Reference
00000005|gene_cluster_GC_00003880|genome_name_Reference|gene_callers_id_2196	sp|P0ACL9|PDHR_ECOLI	29.371	143	84	4	3	135	7	142	6.44e-08	55.5	sp|P0ACL9|PDHR_ECOLI Pyruvate dehydrogenase complex repressor OS=Escherichia coli (strain K12) OX=83333 GN=pdhR PE=1 SV=1	Reference
00000005|gene_cluster_GC_00003880|genome_name_Reference|gene_callers_id_2196	sp|P0ACM0|PDHR_ECOL6	29.371	143	84	4	3	135	7	142	6.44e-08	55.5	sp|P0ACM0|PDHR_ECOL6 Pyruvate dehydrogenase complex repressor OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=pdhR PE=3 SV=1	Reference
00000036|gene_cluster_GC_00003451|genome_name_Reference|gene_callers_id_1685	sp|Q8U1Z6|DIPPS_PYRFU	28.09	89	58	2	23	111	238	320	0.007	40.8	sp|Q8U1Z6|DIPPS_PYRFU Bifunctional IPC transferase and DIPP synthase OS=Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1) OX=186497 GN=PF1058 PE=1 SV=1	Reference
00000038|gene_cluster_GC_00004029|genome_name_Reference|gene_callers_id_1537	sp|Q9P9T5|Y1569_XYLFA	25.532	282	164	13	55	301	46	316	3.79e-09	61.6	sp|Q9P9T5|Y1569_XYLFA Uncharacterized protein XF_1569/XF_1674 OS=Xylella fastidiosa (strain 9a5c) OX=160492 GN=XF_1569 PE=4 SV=1	Reference
00000052|gene_cluster_GC_00003287|genome_name_Reference|gene_callers_id_1532	sp|A7XXC2|CAPSD_BP234	22.041	245	165	8	86	311	110	347	0.001	44.3	sp|A7XXC2|CAPSD_BP234 Major capsid protein OS=Thermus virus P23-45 OX=2914006 GN=P23p89 PE=1 SV=1	Reference
00000100|gene_cluster_GC_00003282|genome_name_Reference|gene_callers_id_2199	sp|Q8ZRY7|RIHC_SALTY	44.863	292	160	1	11	302	7	297	3.4e-78	243.0	sp|Q8ZRY7|RIHC_SALTY Non-specific ribonucleoside hydrolase RihC OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=rihC PE=3 SV=1	Reference
00000100|gene_cluster_GC_00003282|genome_name_Reference|gene_callers_id_2199	sp|B4T6H8|RIHC_SALNS	44.863	292	160	1	11	302	7	297	3.4e-78	243.0	sp|B4T6H8|RIHC_SALNS Non-specific ribonucleoside hydrolase RihC OS=Salmonella newport (strain SL254) OX=423368 GN=rihC PE=3 SV=1	Reference
00000100|gene_cluster_GC_00003282|genome_name_Reference|gene_callers_id_2199	sp|B5FHE5|RIHC_SALDC	44.863	292	160	1	11	302	7	297	3.4e-78	243.0	sp|B5FHE5|RIHC_SALDC Non-specific ribonucleoside hydrolase RihC OS=Salmonella dublin (strain CT_02021853) OX=439851 GN=rihC PE=3 SV=1	Reference
