gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	JECDCPOO_00001	Chromosomal replication initiator protein DnaA (dnaA)	0
1	NCBI_PGAP	JECDCPOO_00002	Beta sliding clamp (dnaN)	0
3	NCBI_PGAP	JECDCPOO_00004	DNA replication and repair protein RecF (recF)	0
4	NCBI_PGAP	JECDCPOO_00005	DNA gyrase subunit B (gyrB)	0
5	NCBI_PGAP	JECDCPOO_00006	DNA gyrase subunit A GyrA (gyrA)	0
6	NCBI_PGAP	JECDCPOO_00007	Small ribosomal subunit protein bS6 (rpsF)	0
7	NCBI_PGAP	JECDCPOO_00008	Single-stranded DNA-binding protein A (ssbA)	0
8	NCBI_PGAP	JECDCPOO_00009	Small ribosomal subunit protein bS18 (rpsR)	0
10	NCBI_PGAP	JECDCPOO_00011	Dipeptide-binding protein (dppA_1)	0
13	NCBI_PGAP	JECDCPOO_00014	Dipeptide-binding protein (dppA_2)	0
16	NCBI_PGAP	JECDCPOO_00017	Cyclic-di-AMP phosphodiesterase GdpP (gdpP)	0
17	NCBI_PGAP	JECDCPOO_00018	Large ribosomal subunit protein bL9 (rplI)	0
19	NCBI_PGAP	JECDCPOO_00020	Isoprimeverose transporter (xylP_1)	0
20	NCBI_PGAP	JECDCPOO_00021	Beta-xylosidase (xynB_1)	0
23	NCBI_PGAP	JECDCPOO_00024	Replicative DNA helicase DnaC (dnaC)	0
24	NCBI_PGAP	JECDCPOO_00025	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN (ywqN_1)	0
27	NCBI_PGAP	JECDCPOO_00028	Dipeptide-binding protein (dppA_3)	0
31	NCBI_PGAP	JECDCPOO_00032	Enolase (eno)	0
32	NCBI_PGAP	JECDCPOO_00033	Potassium-transporting ATPase ATP-binding subunit (kdpB)	0
33	NCBI_PGAP	JECDCPOO_00036	Transcriptional regulatory protein WalR (walR)	0
34	NCBI_PGAP	JECDCPOO_00037	Sensor protein kinase WalK (walK)	0
36	NCBI_PGAP	JECDCPOO_00039	Two-component system WalR/WalK regulatory protein YycI (yycI)	0
