gene_callers_id	source	accession	function	e_value
1307	KOfam	K02034	peptide/nickel transport system permease protein	7.9e-61
1308	KOfam	K15581	oligopeptide transport system permease protein	2.4e-87
1309	KOfam	K15580	oligopeptide transport system substrate-binding protein	5.8e-89
2413	KOfam	K07706	two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]	9.1e-80
2705	KOfam	K01785	aldose 1-epimerase [EC:5.1.3.3]	1.9e-72
2785	KOfam	K13684	putative colanic acid biosynthesis glycosyltransferase WcaC [EC:2.4.-.-]	1.8e-116
2810	KOfam	K21471	peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]	2.4e-44
2828	KOfam	K12990	rhamnosyltransferase [EC:2.4.1.-]	1.9e-74
2836	KOfam	K05964	holo-ACP synthase [EC:2.7.7.61]	8e-59
2851	KOfam	K09936	bacterial/archaeal transporter family-2 protein	5.9e-38
3021	KOfam	K19222	1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]	3.4e-33
3022	KOfam	K01661	naphthoate synthase [EC:4.1.3.36]	5.3e-133
3023	KOfam	K01911	o-succinylbenzoate---CoA ligase [EC:6.2.1.26]	3.9e-116
3117	KOfam	K01361	lactocepin [EC:3.4.21.96]	9.9e-213
3311	KOfam	K10947	PadR family transcriptional regulator	2.5e-14
3331	KOfam	K07485	transposase	1.5e-25
