gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	OPNKAGHI_00001	Chromosomal replication initiator protein DnaA (dnaA)	0
1	NCBI_PGAP	OPNKAGHI_00002	Beta sliding clamp (dnaN)	0
3	NCBI_PGAP	OPNKAGHI_00004	DNA replication and repair protein RecF (recF)	0
4	NCBI_PGAP	OPNKAGHI_00005	DNA gyrase subunit B (gyrB)	0
5	NCBI_PGAP	OPNKAGHI_00006	DNA gyrase subunit A GyrA (gyrA)	0
6	NCBI_PGAP	OPNKAGHI_00007	ISL3 family transposase ISP1	0
7	NCBI_PGAP	OPNKAGHI_00008	Small ribosomal subunit protein bS6 (rpsF)	0
8	NCBI_PGAP	OPNKAGHI_00009	Single-stranded DNA-binding protein A (ssbA)	0
9	NCBI_PGAP	OPNKAGHI_00010	Small ribosomal subunit protein bS18 (rpsR)	0
12	NCBI_PGAP	OPNKAGHI_00013	Dipeptide-binding protein (dppA_1)	0
15	NCBI_PGAP	OPNKAGHI_00016	Dipeptide-binding protein (dppA_2)	0
18	NCBI_PGAP	OPNKAGHI_00019	Cyclic-di-AMP phosphodiesterase GdpP (gdpP)	0
19	NCBI_PGAP	OPNKAGHI_00020	Large ribosomal subunit protein bL9 (rplI)	0
21	NCBI_PGAP	OPNKAGHI_00022	Replicative DNA helicase DnaC (dnaC)	0
22	NCBI_PGAP	OPNKAGHI_00023	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN (ywqN)	0
25	NCBI_PGAP	OPNKAGHI_00026	Dipeptide-binding protein (dppA_3)	0
28	NCBI_PGAP	OPNKAGHI_00030	Transcriptional regulatory protein WalR (walR_1)	0
29	NCBI_PGAP	OPNKAGHI_00031	Sensor protein kinase WalK (walK)	0
31	NCBI_PGAP	OPNKAGHI_00033	Two-component system WalR/WalK regulatory protein YycI (yycI)	0
32	NCBI_PGAP	OPNKAGHI_00034	Exodeoxyribonuclease WalJ (walJ)	0
33	NCBI_PGAP	OPNKAGHI_00035	Serine protease Do-like HtrA (htrA)	0
34	NCBI_PGAP	OPNKAGHI_00036	Ribosomal RNA large subunit methyltransferase H (rlmH)	0
37	NCBI_PGAP	OPNKAGHI_00039	Putative HTH-type transcriptional regulator YwnA (ywnA_1)	0
38	NCBI_PGAP	OPNKAGHI_00040	Quinone oxidoreductase 2 (qorB_1)	0
39	NCBI_PGAP	OPNKAGHI_00041	HTH-type transcriptional regulator HdfR (hdfR_1)	0
41	NCBI_PGAP	OPNKAGHI_00043	putative sugar epimerase YhfK (yhfK_1)	0
42	NCBI_PGAP	OPNKAGHI_00044	NADH:acrylate oxidoreductase (ard_1)	0
51	NCBI_PGAP	OPNKAGHI_00053	IS30 family transposase IS1070	0
58	NCBI_PGAP	OPNKAGHI_00060	Cell wall protein	0
62	NCBI_PGAP	OPNKAGHI_00064	Foldase protein PrsA (prsA_1)	0
