key,percentage_identity_P1190_Madre_SD_BE,percentage_identity_P1191_Madre_SD_BE,percentage_identity_P1194_Madre_SD_BE,percentage_identity_P2182_Madre_SD_BE,percentage_identity_P2183_Madre_SD_BE,percentage_identity_P2185_Madre_SD_BE,percentage_identity_P2186_Madre_SD_BE,percentage_identity_P2187_Madre_SD_BE,percentage_identity_P2799_SD_BE,percentage_identity_P2800_SD_BE,percentage_identity_P515_SD_Italy,percentage_identity_P516_SD_Italy,percentage_identity_P518_SD_Italy,percentage_identity_P526_SD_Italy,percentage_identity_P527_SD_Italy,percentage_identity_P568_Madre_SD_BE,percentage_identity_Reference,percentage_identity_Type_strain,full_percentage_identity_P1190_Madre_SD_BE,full_percentage_identity_P1191_Madre_SD_BE,full_percentage_identity_P1194_Madre_SD_BE,full_percentage_identity_P2182_Madre_SD_BE,full_percentage_identity_P2183_Madre_SD_BE,full_percentage_identity_P2185_Madre_SD_BE,full_percentage_identity_P2186_Madre_SD_BE,full_percentage_identity_P2187_Madre_SD_BE,full_percentage_identity_P2799_SD_BE,full_percentage_identity_P2800_SD_BE,full_percentage_identity_P515_SD_Italy,full_percentage_identity_P516_SD_Italy,full_percentage_identity_P518_SD_Italy,full_percentage_identity_P526_SD_Italy,full_percentage_identity_P527_SD_Italy,full_percentage_identity_P568_Madre_SD_BE,full_percentage_identity_Reference,full_percentage_identity_Type_strain,alignment_coverage_P1190_Madre_SD_BE,alignment_coverage_P1191_Madre_SD_BE,alignment_coverage_P1194_Madre_SD_BE,alignment_coverage_P2182_Madre_SD_BE,alignment_coverage_P2183_Madre_SD_BE,alignment_coverage_P2185_Madre_SD_BE,alignment_coverage_P2186_Madre_SD_BE,alignment_coverage_P2187_Madre_SD_BE,alignment_coverage_P2799_SD_BE,alignment_coverage_P2800_SD_BE,alignment_coverage_P515_SD_Italy,alignment_coverage_P516_SD_Italy,alignment_coverage_P518_SD_Italy,alignment_coverage_P526_SD_Italy,alignment_coverage_P527_SD_Italy,alignment_coverage_P568_Madre_SD_BE,alignment_coverage_Reference,alignment_coverage_Type_strain,hadamard_P1190_Madre_SD_BE,hadamard_P1191_Madre_SD_BE,hadamard_P1194_Madre_SD_BE,hadamard_P2182_Madre_SD_BE,hadamard_P2183_Madre_SD_BE,hadamard_P2185_Madre_SD_BE,hadamard_P2186_Madre_SD_BE,hadamard_P2187_Madre_SD_BE,hadamard_P2799_SD_BE,hadamard_P2800_SD_BE,hadamard_P515_SD_Italy,hadamard_P516_SD_Italy,hadamard_P518_SD_Italy,hadamard_P526_SD_Italy,hadamard_P527_SD_Italy,hadamard_P568_Madre_SD_BE,hadamard_Reference,hadamard_Type_strain,alignment_lengths_P1190_Madre_SD_BE,alignment_lengths_P1191_Madre_SD_BE,alignment_lengths_P1194_Madre_SD_BE,alignment_lengths_P2182_Madre_SD_BE,alignment_lengths_P2183_Madre_SD_BE,alignment_lengths_P2185_Madre_SD_BE,alignment_lengths_P2186_Madre_SD_BE,alignment_lengths_P2187_Madre_SD_BE,alignment_lengths_P2799_SD_BE,alignment_lengths_P2800_SD_BE,alignment_lengths_P515_SD_Italy,alignment_lengths_P516_SD_Italy,alignment_lengths_P518_SD_Italy,alignment_lengths_P526_SD_Italy,alignment_lengths_P527_SD_Italy,alignment_lengths_P568_Madre_SD_BE,alignment_lengths_Reference,alignment_lengths_Type_strain,similarity_errors_P1190_Madre_SD_BE,similarity_errors_P1191_Madre_SD_BE,similarity_errors_P1194_Madre_SD_BE,similarity_errors_P2182_Madre_SD_BE,similarity_errors_P2183_Madre_SD_BE,similarity_errors_P2185_Madre_SD_BE,similarity_errors_P2186_Madre_SD_BE,similarity_errors_P2187_Madre_SD_BE,similarity_errors_P2799_SD_BE,similarity_errors_P2800_SD_BE,similarity_errors_P515_SD_Italy,similarity_errors_P516_SD_Italy,similarity_errors_P518_SD_Italy,similarity_errors_P526_SD_Italy,similarity_errors_P527_SD_Italy,similarity_errors_P568_Madre_SD_BE,similarity_errors_Reference,similarity_errors_Type_strain
P1190_Madre_SD_BE,1.0,0.992757351676698,0.9934638454861112,0.9997102886115444,0.9999170574534162,0.9988017781274589,0.9989085375494072,0.9989108575924468,0.9998605663304888,0.9998611137254902,0.9922743125533732,0.992628444252377,0.9928827216856893,0.9928481407471764,0.992252236503856,0.9926507178631052,0.9930237781484572,0.9926784177777778,1.0,0.8935925678392741,0.8846479642350452,0.9925450132594044,0.9993922231021736,0.9842256315482344,0.9808835081014332,0.984629161292107,0.9997903844240592,0.9874989540394732,0.897481459514765,0.8851829759624202,0.8790027006734281,0.8817387668306023,0.8947901098595036,0.9146718459085386,0.9179570252672086,0.8700168809716263,1.0,0.9001117607742299,0.8904682019929762,0.992832648184414,0.999475122114049,0.985406367010528,0.9819552754127076,0.9857027319387024,0.999929808306485,0.9876361231411874,0.9044691051260992,0.8917566095228291,0.8853036531656844,0.8880902633982295,0.9017768637259468,0.921443796341141,0.9244058858074736,0.8764337628285068,1.0,0.8935925678392741,0.8846479642350452,0.9925450132594044,0.9993922231021736,0.9842256315482344,0.9808835081014332,0.984629161292107,0.9997903844240592,0.9874989540394732,0.897481459514765,0.8851829759624202,0.8790027006734281,0.8817387668306023,0.8947901098595036,0.9146718459085386,0.9179570252672086,0.8700168809716263,1282203.0,1154126.0,1141761.0,1273013.0,1281530.0,1263491.0,1259066.0,1263871.0,1282113.0,1266350.0,1159713.0,1143413.0,1135139.0,1138712.0,1156261.0,1181478.0,1185276.0,1123766.0,0.0,7923.0,6940.0,175.0,33.0,1269.0,1193.0,1213.0,87.0,69.0,8607.0,7737.0,7625.0,7691.0,8603.0,8545.0,7986.0,7718.0
P1191_Madre_SD_BE,0.9924704603580564,1.0,0.9932090592334494,0.9924136936170213,0.9925137393526404,0.9927815807269654,0.9927509351305814,0.9927675777964676,0.992466859574468,0.992339052092229,0.9917195648464164,0.9923569130434784,0.9999176402640264,0.9922376835664336,0.9917526153846156,0.9915924935732648,0.9917006896551724,0.9941774131944446,0.9263043788845776,1.0,0.9077716348775734,0.9274850528244164,0.9269285224285654,0.9337350424383551,0.9362766108092604,0.9370766965876344,0.9272065463282476,0.924628798830288,0.9238927940794645,0.9125483181254304,0.973641195468606,0.9087367687212732,0.9221864447495824,0.9157068353177098,0.9339384415708796,0.9200688914937528,0.9333319387162335,1.0,0.9139784081089476,0.9345750253042544,0.933920091658527,0.9405241400174112,0.9431133003023636,0.9439034045285364,0.9342443401342372,0.9317670174128672,0.931606904641983,0.919576722982378,0.9737213909052728,0.9158458540447384,0.9298553192037166,0.9234709230380552,0.9417543532168184,0.9254574478185238,0.9263043788845776,1.0,0.9077716348775734,0.9274850528244164,0.9269285224285654,0.9337350424383551,0.9362766108092604,0.9370766965876344,0.9272065463282476,0.924628798830288,0.9238927940794645,0.9125483181254304,0.973641195468606,0.9087367687212732,0.9221864447495824,0.9157068353177098,0.9339384415708796,0.9200688914937528,1160014.0,1242874.0,1135960.0,1161559.0,1160745.0,1168953.0,1172171.0,1173153.0,1161148.0,1158069.0,1157870.0,1142918.0,1210213.0,1138281.0,1155693.0,1147758.0,1170482.0,1150227.0,8334.0,0.0,7442.0,8368.0,8321.0,8060.0,8064.0,8075.0,8341.0,8357.0,9029.0,8349.0,99.0,8392.0,8968.0,9251.0,9307.0,6277.0
P1194_Madre_SD_BE,0.9935432480818414,0.9934643474503028,1.0,0.9933951582549188,0.9935517802385008,0.993544115156647,0.9935380254237288,0.9933541399662732,0.9934952044293016,0.9934379127459368,0.9920427589208008,0.9923937976929902,0.9936487335092348,0.9923630168589176,0.9920215752828546,0.9921924656357388,0.9925551491901108,0.9935652046263344,0.8793273351555215,0.8697441568924935,1.0,0.8767069829230039,0.8800028304710374,0.8842959455459779,0.8847817214320384,0.8876472111143539,0.8802243202696954,0.8765565189743075,0.8622688175150414,0.8512573407974395,0.8626026257191218,0.8517758107037647,0.8614100764862878,0.8678085320521505,0.8762331657595187,0.8592507925883553,0.8850418306935024,0.8754658978197523,1.0,0.8825359934943723,0.8857141096962192,0.8900419539061489,0.8905363446504149,0.8935858576524295,0.8859874877557432,0.8823465540503077,0.8691851331620678,0.8577818027242317,0.8681162634532809,0.8583308690804025,0.8683380462170637,0.8746372927717301,0.8828055211586917,0.8648157046839288,0.8793273351555215,0.8697441568924935,1.0,0.8767069829230039,0.8800028304710374,0.8842959455459779,0.8847817214320384,0.8876472111143539,0.8802243202696954,0.8765565189743075,0.8622688175150414,0.8512573407974395,0.8626026257191218,0.8517758107037647,0.8614100764862878,0.8678085320521505,0.8762331657595187,0.8592507925883553,1149287.0,1136852.0,1298568.0,1146033.0,1150160.0,1155780.0,1156422.0,1160382.0,1150515.0,1145787.0,1128696.0,1113888.0,1127308.0,1114601.0,1127596.0,1135776.0,1146383.0,1123022.0,7183.0,7278.0,0.0,7245.0,7179.0,7145.0,7145.0,7405.0,7232.0,7167.0,8523.0,8164.0,7040.0,8241.0,8508.0,8921.0,8464.0,7012.0
P2182_Madre_SD_BE,0.9998743802925328,0.9925168456947996,0.993763905172414,1.0,0.9999425461538464,0.998892352024922,0.9988891893998444,0.9988849066874028,0.999944850115296,0.999924196290572,0.9919417413355875,0.9924708283002588,0.9927515337423312,0.9927267071057192,0.9919465000000002,0.9925886533665836,0.992915894039735,0.9922961012433392,0.9981546095790204,0.8961861829370115,0.8840737838716258,1.0,0.9987657395820216,0.9837840057727174,0.982529606954617,0.9847321097801366,0.9991493707989636,0.9945302077834643,0.9011682054259824,0.8864398838943472,0.8801087756643831,0.8843310211568205,0.8993671728281944,0.9136926314603688,0.916526467646173,0.8698499939048091,0.9982800132222518,0.9029430450720932,0.889621548206908,1.0,0.9988231258122268,0.9848749004619192,0.9836222249486388,0.9858314037858464,0.9992044768106552,0.9946056025775576,0.9084890451455504,0.8931646740816513,0.8865347931991363,0.890810144249141,0.906669031876411,0.9205148863644356,0.923065561894908,0.8766032566437517,0.9981546095790204,0.8961861829370115,0.8840737838716258,1.0,0.9987657395820216,0.9837840057727174,0.982529606954617,0.9847321097801366,0.9991493707989636,0.9945302077834643,0.9011682054259824,0.8864398838943472,0.8801087756643831,0.8843310211568205,0.8993671728281944,0.9136926314603688,0.916526467646173,0.8698499939048091,1277460.0,1155461.0,1138414.0,1279661.0,1278155.0,1260306.0,1258703.0,1261530.0,1278643.0,1272758.0,1162558.0,1142948.0,1134464.0,1139935.0,1160229.0,1177947.0,1181211.0,1121755.0,50.0,7992.0,6822.0,0.0,35.0,1250.0,1218.0,1220.0,32.0,41.0,8846.0,7827.0,7682.0,7856.0,8829.0,8637.0,8098.0,8070.0
P2183_Madre_SD_BE,0.9999840170940172,0.9920001110162254,0.9931318858131488,0.99978028125,1.0,0.9988761713836478,0.9988887124802528,0.9988870518867924,0.9998305973622964,0.9998297800471329,0.991325836873407,0.9923024568965516,0.9921172227074236,0.992703515151515,0.991440409556314,0.9923559682804676,0.9928310693400166,0.9921856838365896,0.9989421623704736,0.8964443991960355,0.8869767172195042,0.9917566715756132,1.0,0.9842105515180304,0.9804253945697298,0.9845492211339404,0.9996902492497328,0.9865154333191354,0.9003591357585266,0.8878091640529796,0.8812155651470854,0.8841145204144685,0.8972715545524297,0.9151124150452244,0.916065413301901,0.8698364812607181,0.9989581286243244,0.9036736883806388,0.8931107035127286,0.9919746270006894,1.0,0.9853178799477192,0.9815161412078846,0.985646194206072,0.9998596281080676,0.9866833865186836,0.9082373345561284,0.8946961260477202,0.8882171833911977,0.8906128636801767,0.905018139167813,0.9221614463919744,0.9226800425482802,0.8766871921566426,0.9989421623704736,0.8964443991960355,0.8869767172195042,0.9917566715756132,1.0,0.9842105515180304,0.9804253945697298,0.9845492211339404,0.9996902492497328,0.9865154333191354,0.9003591357585266,0.8878091640529796,0.8812155651470854,0.8841145204144685,0.8972715545524297,0.9151124150452244,0.916065413301901,0.8698364812607181,1280972.0,1158788.0,1145243.0,1272017.0,1282308.0,1263481.0,1258606.0,1263902.0,1282128.0,1265232.0,1164640.0,1147276.0,1138968.0,1142040.0,1160512.0,1182495.0,1183160.0,1124183.0,21.0,8551.0,7510.0,159.0,0.0,1232.0,1166.0,1195.0,87.0,70.0,9506.0,8029.0,8259.0,7883.0,9421.0,8872.0,8164.0,8296.0
P2185_Madre_SD_BE,0.9985306598586016,0.9927954184277262,0.9931046326707004,0.9985755933544306,0.998633809897879,1.0,0.9998066563706564,0.9999159800153729,0.9985330455259028,0.9985980634920636,0.9914294928148776,0.9917119758412424,0.9930905882352942,0.9918578892733564,0.9916197451146984,0.9921590531561464,0.9921809605911333,0.9926431083481352,0.9804162330284854,0.8994243956486326,0.8846707066797269,0.9724055037173482,0.9803829713736156,1.0,0.9947223737621874,0.9996714716992696,0.9807957172074,0.9694224967940664,0.894656211518758,0.8802868486017811,0.8829583205356512,0.877196175304316,0.8914053780451279,0.9122401902751556,0.9230513755868828,0.8643178455900179,0.9818589177495246,0.9059513963843994,0.89081319085244,0.973792580340191,0.981724193249446,1.0,0.9949147341877826,0.9997554711385856,0.9822366136023464,0.9707834735869892,0.9023901528071756,0.887643660706081,0.889101488822539,0.8843970338804862,0.898938713591288,0.9194495452853434,0.9303256283379358,0.8707236652540064,0.9804162330284854,0.8994243956486326,0.8846707066797269,0.9724055037173482,0.9803829713736156,1.0,0.9947223737621874,0.9996714716992696,0.9807957172074,0.9694224967940664,0.894656211518758,0.8802868486017811,0.8829583205356512,0.877196175304316,0.8914053780451279,0.9122401902751556,0.9230513755868828,0.8643178455900179,1260807.0,1163334.0,1143895.0,1250449.0,1260634.0,1284102.0,1277572.0,1283788.0,1261292.0,1246585.0,1158761.0,1139825.0,1141697.0,1135656.0,1154329.0,1180667.0,1194633.0,1118098.0,1353.0,8002.0,7171.0,1387.0,1343.0,0.0,86.0,51.0,1378.0,1328.0,9218.0,8425.0,7532.0,8277.0,9041.0,9059.0,9043.0,7788.0
P2186_Madre_SD_BE,0.99853853427896,0.9929264770797964,0.9928938712446352,0.9982863162055337,0.9983844767899293,0.999822967542504,1.0,0.9999204237288136,0.9985589535798584,0.9986309610802224,0.9913719250425892,0.9922430191972076,0.9932635888501744,0.99245323117338,0.9915824081981214,0.9926255657237936,0.9924795884773662,0.9926248890860692,0.97641778590754,0.9011291105780412,0.8915149427769754,0.9720308349023744,0.9771338775368376,0.9961344205618216,1.0,0.999614183707519,0.9774198105949132,0.9682744725231672,0.8930841785984566,0.8777164131028591,0.883597095963454,0.8755078613588905,0.8912538543283943,0.9152812132513054,0.927254783262389,0.8681272230668601,0.9778468755966506,0.9075486769456168,0.8978955038360978,0.9736994478668646,0.9787150143585788,0.99631079991116,1.0,0.999693735607327,0.9788303505675244,0.9696018952544604,0.9008568389306464,0.88457806819643,0.8895897381945986,0.8821653593930822,0.8988197521050806,0.9220810392727584,0.9342809605635888,0.8745773278626564,0.97641778590754,0.9011291105780412,0.8915149427769754,0.9720308349023744,0.9771338775368376,0.9961344205618216,1.0,0.999614183707519,0.9774198105949132,0.9682744725231672,0.8930841785984566,0.8777164131028591,0.883597095963454,0.8755078613588905,0.8912538543283943,0.9152812132513054,0.927254783262389,0.8681272230668601,1254778.0,1164571.0,1152184.0,1249456.0,1255892.0,1278471.0,1283205.0,1282812.0,1256040.0,1244198.0,1155984.0,1135095.0,1141526.0,1131999.0,1153370.0,1183219.0,1198874.0,1122262.0,1266.0,7852.0,7306.0,1368.0,1297.0,88.0,0.0,37.0,1286.0,1237.0,9224.0,7995.0,7302.0,7811.0,9049.0,8562.0,8691.0,7911.0
P2187_Madre_SD_BE,0.9986939034045924,0.992773675721562,0.9931394896193771,0.9985800318471338,0.9986466166007906,0.999882492260062,0.9998841071428572,1.0,0.998721721958926,0.998793373301359,0.9915649275362318,0.991897299651568,0.9930793570807994,0.9922036236933798,0.9916141538461538,0.9920507136929462,0.9922560461285008,0.9928869155555556,0.9754017702205752,0.8979421096898313,0.886941185768154,0.9689955763082398,0.9765851500980968,0.9952155662007196,0.9925333562085734,1.0,0.9774012061469076,0.965361102149636,0.8919862677853843,0.8768047304707292,0.8814382010826594,0.8765430248493038,0.889678206214628,0.9153629356686432,0.9230160832672318,0.8648694296252765,0.9766774052543894,0.9044781621926008,0.8930680886610158,0.970373475740177,0.977908635411206,0.9953325254762752,0.9926483970674478,1.0,0.9786521957585947,0.9665273398428568,0.8995742417006687,0.8839672522334033,0.8875808310764669,0.8834305821081958,0.8972020041906936,0.9226977240519996,0.9302196614155958,0.8710653913102996,0.9754017702205752,0.8979421096898313,0.886941185768154,0.9689955763082398,0.9765851500980968,0.9952155662007196,0.9925333562085734,1.0,0.9774012061469076,0.965361102149636,0.8919862677853843,0.8768047304707292,0.8814382010826594,0.8765430248493038,0.889678206214628,0.9153629356686432,0.9230160832672318,0.8648694296252765,1255720.0,1162893.0,1148223.0,1247615.0,1257303.0,1279705.0,1276254.0,1285706.0,1258259.0,1242670.0,1156588.0,1136522.0,1141168.0,1135832.0,1153538.0,1186318.0,1195989.0,1119934.0,1178.0,7967.0,7239.0,1249.0,1199.0,62.0,42.0,0.0,1209.0,1154.0,9244.0,8473.0,7504.0,8207.0,9157.0,9227.0,8961.0,7612.0
P2799_SD_BE,0.9998881089494164,0.992829103448276,0.993225625,0.9998719812059516,0.9998891757387248,0.9989151300236406,0.9990390901898734,0.9990120409771476,1.0,0.9999585467399844,0.9922938025751072,0.9928937260034902,0.9929358135444152,0.9930704283216782,0.9924265864144454,0.9926304606365158,0.992985855704698,0.9925169866666664,0.9980423473812066,0.8917354519076135,0.8852325726001831,0.9909029879114633,0.9990672768082252,0.9832309065291022,0.9798312649926418,0.9839199747829548,1.0,0.987200293051818,0.8959295867660241,0.8822304611916333,0.8777571672147623,0.8807293235326107,0.8942832752683825,0.9150688924042516,0.9162088702617742,0.8709058793438013,0.9981540318844784,0.8981761803823579,0.8912703723287274,0.9910298583587964,0.999178009973063,0.984298742682807,0.9807737000625462,0.9848930087174615,1.0,0.9872412174187016,0.9028874154418703,0.8885447033115124,0.8840019216161541,0.8868749873270039,0.9011077368446502,0.921862595086465,0.9226806857299724,0.8774720141251265,0.9980423473812066,0.8917354519076135,0.8852325726001831,0.9909029879114633,0.9990672768082252,0.9832309065291022,0.9798312649926418,0.9839199747829548,1.0,0.987200293051818,0.8959295867660241,0.8822304611916333,0.8777571672147623,0.8807293235326107,0.8942832752683825,0.9150688924042516,0.9162088702617742,0.8709058793438013,1279887.0,1151690.0,1142835.0,1270752.0,1281200.0,1262121.0,1257601.0,1262883.0,1282254.0,1265894.0,1157731.0,1139340.0,1133515.0,1137199.0,1155449.0,1182062.0,1183111.0,1125142.0,32.0,7928.0,7166.0,77.0,30.0,1174.0,1092.0,1126.0,0.0,40.0,8524.0,7634.0,7673.0,7527.0,8445.0,8567.0,8123.0,8048.0
P2800_SD_BE,0.999890847975554,0.9925497804054054,0.9934573783091376,0.9998457983193276,0.999891810542399,0.998754907120743,0.998854305663305,0.9988503944315544,0.9999288167938932,1.0,0.9920175232459848,0.9925685159620362,0.9927820590790616,0.992823894189072,0.9920134096692113,0.992771041322314,0.9930614720394736,0.992311550660793,0.9993651026973404,0.8959676007807617,0.8864640041093007,0.9993263353187128,0.9994333477007032,0.9848259816638189,0.983598488543618,0.9855070775367558,0.9999186457400984,1.0,0.897278602424834,0.8817613164152942,0.8811843218023641,0.8794953390136973,0.8953537981168048,0.9120099266017184,0.9164283245002668,0.8719169688784754,0.9994741973293606,0.902692860820346,0.8923019985196151,0.9994804568849636,0.9995414875520912,0.9860537101168504,0.984726684329046,0.9866413258990678,0.9999898282221452,1.0,0.9044987426117684,0.8883631731565218,0.8875909004840201,0.8858523089153285,0.9025621925971364,0.9186508153853618,0.9228314160836152,0.8786725986388596,0.9993651026973404,0.8959676007807617,0.8864640041093007,0.9993263353187128,0.9994333477007032,0.9848259816638189,0.983598488543618,0.9855070775367558,0.9999186457400984,1.0,0.897278602424834,0.8817613164152942,0.8811843218023641,0.8794953390136973,0.8953537981168048,0.9120099266017184,0.9164283245002668,0.8719169688784754,1277374.0,1153683.0,1140403.0,1277382.0,1277460.0,1260222.0,1258526.0,1260973.0,1278033.0,1278046.0,1155991.0,1135369.0,1134382.0,1132160.0,1153516.0,1174078.0,1179421.0,1122984.0,31.0,7944.0,6773.0,98.0,29.0,1335.0,1292.0,1284.0,63.0,0.0,8635.0,7574.0,7641.0,7599.0,8628.0,8047.0,7842.0,8067.0
