layers	Type_strain	Reference	P568_Madre_SD_BE	P527_SD_Italy	P526_SD_Italy	P518_SD_Italy	P516_SD_Italy	P515_SD_Italy	P2800_SD_BE	P2799_SD_BE	P2187_Madre_SD_BE	P2186_Madre_SD_BE	P2185_Madre_SD_BE	P2183_Madre_SD_BE	P2182_Madre_SD_BE	P1194_Madre_SD_BE	P1191_Madre_SD_BE	P1190_Madre_SD_BE
P1190_Madre_SD_BE	0.8764337628285068	0.9244058858074735	0.921443796341141	0.9017768637259467	0.8880902633982295	0.8853036531656844	0.8917566095228291	0.9044691051260993	0.9876361231411874	0.999929808306485	0.9857027319387024	0.9819552754127077	0.985406367010528	0.999475122114049	0.9928326481844139	0.8904682019929762	0.9001117607742299	1.0
P1191_Madre_SD_BE	0.9254574478185238	0.9417543532168184	0.9234709230380553	0.9298553192037166	0.9158458540447383	0.9737213909052728	0.9195767229823779	0.931606904641983	0.9317670174128673	0.9342443401342373	0.9439034045285363	0.9431133003023637	0.9405241400174112	0.933920091658527	0.9345750253042545	0.9139784081089475	1.0	0.9333319387162335
P1194_Madre_SD_BE	0.8648157046839288	0.8828055211586917	0.8746372927717301	0.8683380462170637	0.8583308690804025	0.8681162634532809	0.8577818027242317	0.8691851331620678	0.8823465540503077	0.8859874877557432	0.8935858576524295	0.8905363446504149	0.8900419539061489	0.8857141096962192	0.8825359934943723	1.0	0.8754658978197523	0.8850418306935024
P2182_Madre_SD_BE	0.8766032566437517	0.9230655618949081	0.9205148863644356	0.906669031876411	0.890810144249141	0.8865347931991363	0.8931646740816513	0.9084890451455503	0.9946056025775577	0.9992044768106553	0.9858314037858464	0.9836222249486387	0.9848749004619192	0.9988231258122269	1.0	0.889621548206908	0.9029430450720933	0.9982800132222518
P2183_Madre_SD_BE	0.8766871921566426	0.9226800425482802	0.9221614463919745	0.905018139167813	0.8906128636801767	0.8882171833911977	0.8946961260477202	0.9082373345561284	0.9866833865186835	0.9998596281080676	0.9856461942060721	0.9815161412078846	0.9853178799477192	1.0	0.9919746270006894	0.8931107035127286	0.9036736883806387	0.9989581286243243
P2185_Madre_SD_BE	0.8707236652540064	0.9303256283379358	0.9194495452853434	0.898938713591288	0.8843970338804862	0.889101488822539	0.887643660706081	0.9023901528071757	0.9707834735869892	0.9822366136023463	0.9997554711385855	0.9949147341877826	1.0	0.9817241932494459	0.973792580340191	0.89081319085244	0.9059513963843994	0.9818589177495246
P2186_Madre_SD_BE	0.8745773278626564	0.9342809605635888	0.9220810392727584	0.8988197521050806	0.8821653593930822	0.8895897381945986	0.88457806819643	0.9008568389306463	0.9696018952544605	0.9788303505675243	0.999693735607327	1.0	0.9963107999111599	0.9787150143585787	0.9736994478668646	0.8978955038360978	0.9075486769456167	0.9778468755966506
P2187_Madre_SD_BE	0.8710653913102996	0.9302196614155958	0.9226977240519995	0.8972020041906936	0.8834305821081958	0.8875808310764669	0.8839672522334033	0.8995742417006687	0.9665273398428568	0.9786521957585949	1.0	0.9926483970674478	0.9953325254762753	0.977908635411206	0.970373475740177	0.8930680886610158	0.9044781621926008	0.9766774052543894
P2799_SD_BE	0.8774720141251265	0.9226806857299724	0.921862595086465	0.9011077368446502	0.8868749873270039	0.8840019216161541	0.8885447033115124	0.9028874154418703	0.9872412174187017	1.0	0.9848930087174615	0.9807737000625462	0.984298742682807	0.999178009973063	0.9910298583587963	0.8912703723287274	0.8981761803823579	0.9981540318844784
P2800_SD_BE	0.8786725986388596	0.9228314160836152	0.9186508153853618	0.9025621925971365	0.8858523089153285	0.8875909004840201	0.8883631731565218	0.9044987426117683	1.0	0.9999898282221453	0.9866413258990678	0.9847266843290461	0.9860537101168503	0.9995414875520913	0.9994804568849635	0.8923019985196151	0.902692860820346	0.9994741973293606
