enzyme,genome_name,db_name,gene_caller_id,contig,modules_with_enzyme,enzyme_definition,warnings
K07459,P2271_Sourdough_CN,P2271_Sourdough_CN,1954,c_000000000001,,putative ATP-dependent endonuclease of the OLD family,
K07459,P2271_Sourdough_CN,P2271_Sourdough_CN,3005,c_000000000003,,putative ATP-dependent endonuclease of the OLD family,
K07459,P2271_Sourdough_CN,P2271_Sourdough_CN,2951,c_000000000002,,putative ATP-dependent endonuclease of the OLD family,
K07729,P2271_Sourdough_CN,P2271_Sourdough_CN,2998,c_000000000003,,putative transcriptional regulator,
K02026,P2271_Sourdough_CN,P2271_Sourdough_CN,3076,c_000000000005,,multiple sugar transport system permease protein,
K02025,P2271_Sourdough_CN,P2271_Sourdough_CN,3075,c_000000000005,,multiple sugar transport system permease protein,
K20491,P2271_Sourdough_CN,P2271_Sourdough_CN,3000,c_000000000003,,lantibiotic transport system permease protein,
K04095,P2271_Sourdough_CN,P2271_Sourdough_CN,1921,c_000000000001,,"cell filamentation protein, protein adenylyltransferase [EC:2.7.7.108]",
K20490,P2271_Sourdough_CN,P2271_Sourdough_CN,2999,c_000000000003,,lantibiotic transport system ATP-binding protein,
K01154,P2271_Sourdough_CN,P2271_Sourdough_CN,3013,c_000000000003,,"type I restriction enzyme, S subunit [EC:3.1.21.3]",
K03743,P2271_Sourdough_CN,P2271_Sourdough_CN,3095,c_000000000005,,nicotinamide-nucleotide amidase [EC:3.5.1.42],
K00694,P2271_Sourdough_CN,P2271_Sourdough_CN,1061,c_000000000001,,cellulose synthase (UDP-forming) [EC:2.4.1.12],
K20492,P2271_Sourdough_CN,P2271_Sourdough_CN,3001,c_000000000003,,lantibiotic transport system permease protein,
K02027,P2271_Sourdough_CN,P2271_Sourdough_CN,3074,c_000000000005,,multiple sugar transport system substrate-binding protein,
K00134,P2302_Sourdough_BE,P2302_Sourdough_BE,3108,c_000000000056,"M00001,M00002,M00003,M00308,M00552,M00165,M00611,M00612",glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12],
K05298,P2302_Sourdough_BE,P2302_Sourdough_BE,3108,c_000000000056,"M00165,M00611,M00612",glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13],
K08967,P2302_Sourdough_BE,P2302_Sourdough_BE,3114,c_000000000059,M00034,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]",
K03146,P2302_Sourdough_BE,P2302_Sourdough_BE,3107,c_000000000055,"M00897,M00898",cysteine-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.60],
K08912,P2302_Sourdough_BE,P2302_Sourdough_BE,3099,c_000000000050,,light-harvesting complex II chlorophyll a/b binding protein 1,
K08910,P2302_Sourdough_BE,P2302_Sourdough_BE,3113,c_000000000059,,light-harvesting complex I chlorophyll a/b binding protein 4,
K08915,P2302_Sourdough_BE,P2302_Sourdough_BE,3119,c_000000000062,,light-harvesting complex II chlorophyll a/b binding protein 4,
K08916,P2302_Sourdough_BE,P2302_Sourdough_BE,3100,c_000000000050,,light-harvesting complex II chlorophyll a/b binding protein 5,
K08908,P2302_Sourdough_BE,P2302_Sourdough_BE,3113,c_000000000059,,light-harvesting complex I chlorophyll a/b binding protein 2,
K02716,P2302_Sourdough_BE,P2302_Sourdough_BE,3115,c_000000000060,,photosystem II oxygen-evolving enhancer protein 1,
K03826,P2336_Sourdough_BE,P2336_Sourdough_BE,3004,c_000000000036,,putative acetyltransferase [EC:2.3.1.-],
K03573,P2336_Sourdough_BE,P2336_Sourdough_BE,2838,c_000000000026,,DNA mismatch repair protein MutH,
K07171,P2336_Sourdough_BE,P2336_Sourdough_BE,3011,c_000000000036,,mRNA interferase MazF [EC:3.1.-.-],
K22441,P2336_Sourdough_BE,P2336_Sourdough_BE,3005,c_000000000036,,diamine N-acetyltransferase [EC:2.3.1.57],
K03569,P2336_Sourdough_BE,P2336_Sourdough_BE,2852,c_000000000026,,rod shape-determining protein MreB and related proteins,
K19424,P2336_Sourdough_BE,P2336_Sourdough_BE,2936,c_000000000030,,glycosyltransferase EpsF [EC:2.4.-.-],
K01785,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2705,c_000000000043,M00632,aldose 1-epimerase [EC:5.1.3.3],
K01911,P2505_Sourdough_Lib,P2505_Sourdough_Lib,3023,c_000000000064,"M00116,M00932",o-succinylbenzoate---CoA ligase [EC:6.2.1.26],
K01661,P2505_Sourdough_Lib,P2505_Sourdough_Lib,3022,c_000000000064,"M00116,M00932",naphthoate synthase [EC:4.1.3.36],
K19222,P2505_Sourdough_Lib,P2505_Sourdough_Lib,3021,c_000000000064,"M00116,M00932","1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]",
K15580,P2505_Sourdough_Lib,P2505_Sourdough_Lib,1309,c_000000000010,,oligopeptide transport system substrate-binding protein,
K05964,P2505_Sourdough_Lib,P2505_Sourdough_Lib,2836,c_000000000050,,holo-ACP synthase [EC:2.7.7.61],
K07485,P2505_Sourdough_Lib,P2505_Sourdough_Lib,3331,c_000000000162,,transposase,
