gene_callers_id	source	accession	function	e_value
2	KOfam	K00656	formate C-acetyltransferase [EC:2.3.1.54]	0
3	KOfam	K04069	pyruvate formate lyase activating enzyme [EC:1.97.1.4]	2.1e-72
6	KOfam	K26057	6-dehydroglucose reductase [EC:1.1.1.432]	8.5e-74
11	KOfam	K03451	betaine/carnitine transporter, BCCT family	4.5e-166
16	KOfam	K01486	adenine deaminase [EC:3.5.4.2]	1.5e-196
17	KOfam	K19504	glucoselysine-6-phosphate deglycase	2.2e-82
19	KOfam	K03315	Na+:H+ antiporter, NhaC family	6.6e-157
20	KOfam	K03293	amino acid transporter, AAT family	4.5e-151
24	KOfam	K19267	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	4.1e-49
25	KOfam	K18909	MarR family transcriptional regulator, repressor for mepA	8.8e-26
26	KOfam	K16509	regulatory protein spx	3.4e-47
27	KOfam	K21929	uracil-DNA glycosylase [EC:3.2.2.27]	2.3e-24
29	KOfam	K03575	A/G-specific adenine glycosylase [EC:3.2.2.31]	2.6e-121
32	KOfam	K13993	HSP20 family protein	1.5e-32
36	KOfam	K02348	ElaA protein	4.5e-46
38	KOfam	K22736	vacuolar iron transporter family protein	2.2e-51
39	KOfam	K22736	vacuolar iron transporter family protein	4.1e-61
40	KOfam	K24041	penicillin V amidase [EC:3.5.1.11]	2.7e-124
42	KOfam	K02171	BlaI family transcriptional regulator, penicillinase repressor	1.4e-30
49	KOfam	K03457	nucleobase:cation symporter-1, NCS1 family	8.2e-75
50	KOfam	K08161	MFS transporter, DHA1 family, multidrug resistance protein	2.2e-161
51	KOfam	K06889	uncharacterized protein	9.1e-41
56	KOfam	K01119	2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]	5e-138
57	KOfam	K13936	malonate transporter and related proteins	2.5e-45
58	KOfam	K06221	2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]	9.2e-118
62	KOfam	K06153	undecaprenyl-diphosphatase [EC:3.6.1.27]	2.6e-97
63	KOfam	K23518	O-acetyl-ADP-ribose deacetylase [EC:3.1.1.106]	1.4e-82
73	KOfam	K01610	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	3.1e-46
75	KOfam	K01580	glutamate decarboxylase [EC:4.1.1.15]	5.2e-109
76	KOfam	K21471	peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]	7.8e-41
81	KOfam	K07045	uncharacterized protein	2.3e-37
83	KOfam	K07223	porphyrinogen peroxidase [EC:1.11.1.-]	7.6e-102
84	KOfam	K15256	tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]	1.7e-31
84	KOfam	K03183	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]	9.4e-96
87	KOfam	K01534	Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]	1.1e-207
88	KOfam	K02440	glycerol uptake facilitator	1.7e-94
89	KOfam	K03671	thioredoxin	4.4e-31
90	KOfam	K21600	CsoR family transcriptional regulator, copper-sensing transcriptional repressor	4.3e-18
94	KOfam	K10914	CRP/FNR family transcriptional regulator, cyclic AMP receptor protein	2.9e-45
94	KOfam	K21562	CRP/FNR family transcriptional regulator, anaerobic regulatory protein	2.6e-79
95	KOfam	K07386	putative endopeptidase [EC:3.4.24.-]	3.7e-203
97	KOfam	K17869	NADH oxidase (H2O-forming) [EC:1.6.3.4]	2.3e-203
109	KOfam	K03688	ubiquinone biosynthesis protein	5.5e-158
110	KOfam	K03311	branched-chain amino acid:cation transporter, LIVCS family	1.6e-155
111	KOfam	K16209	lactose/raffinose/galactose permease	9.4e-234
112	KOfam	K12308	beta-galactosidase [EC:3.2.1.23]	5.9e-138
114	KOfam	K05989	alpha-L-rhamnosidase [EC:3.2.1.40]	1e-67
115	KOfam	K06610	MFS transporter, SP family, inositol transporter	1.3e-120
116	KOfam	K05989	alpha-L-rhamnosidase [EC:3.2.1.40]	9e-44
117	KOfam	K06610	MFS transporter, SP family, inositol transporter	8.7e-129
119	KOfam	K04095	cell filamentation protein, protein adenylyltransferase [EC:2.7.7.108]	1.4e-22
120	KOfam	K07726	putative transcriptional regulator	1.7e-21
121	KOfam	K02529	LacI family transcriptional regulator, galactose operon repressor	1.3e-66
123	KOfam	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2]	5.1e-134
124	KOfam	K00849	galactokinase [EC:2.7.1.6]	6.3e-129
125	KOfam	K01190	beta-galactosidase [EC:3.2.1.23]	8e-155
127	KOfam	K07407	alpha-galactosidase [EC:3.2.1.22]	1.3e-53
128	KOfam	K16209	lactose/raffinose/galactose permease	4.7e-248
129	KOfam	K01785	aldose 1-epimerase [EC:5.1.3.3]	1.6e-77
130	KOfam	K02529	LacI family transcriptional regulator, galactose operon repressor	1.2e-71
131	KOfam	K19265	L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]	4.1e-162
133	KOfam	K19784	chromate reductase, NAD(P)H dehydrogenase (quinone)	1.2e-53
134	KOfam	K03734	FAD:protein FMN transferase [EC:2.7.1.180]	7.7e-79
135	KOfam	K03785	3-dehydroquinate dehydratase I [EC:4.2.1.10]	2.1e-88
136	KOfam	K00014	shikimate dehydrogenase [EC:1.1.1.25]	1.6e-78
137	KOfam	K11921	LysR family transcriptional regulator, cyn operon transcriptional activator	8.3e-64
138	KOfam	K26745	MFS transporter, AAHS family, multidrug transporter	4.9e-116
139	KOfam	K00014	shikimate dehydrogenase [EC:1.1.1.25]	1.8e-81
143	KOfam	K17737	LysR family transcriptional regulator, carnitine catabolism transcriptional activator	1e-59
144	KOfam	K26745	MFS transporter, AAHS family, multidrug transporter	1e-115
146	KOfam	K03930	putative tributyrin esterase [EC:3.1.1.-]	5.4e-80
148	KOfam	K02761	cellobiose PTS system EIIC component	1.1e-141
149	KOfam	K07106	N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]	5.1e-146
150	KOfam	K18676	glucosamine kinase [EC:2.7.1.8]	1.7e-43
151	KOfam	K09963	uncharacterized protein	3.2e-127
152	KOfam	K07720	two-component system, response regulator YesN	2.9e-74
153	KOfam	K07718	two-component system, sensor histidine kinase YesM [EC:2.7.13.3]	2.5e-102
154	KOfam	K17363	urocanate reductase [EC:1.3.99.33]	2.8e-232
155	KOfam	K00865	glycerate 2-kinase [EC:2.7.1.165]	3e-109
156	KOfam	K15524	2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate hydrolase [EC:3.2.1.-]	2.5e-278
157	KOfam	K11200	2-O-A-mannosyl-D-glycerate PTS system EIIABC component [EC:2.7.1.195]	2.7e-288
157	KOfam	K02770	fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]	4.8e-194
159	KOfam	K01223	6-phospho-beta-glucosidase [EC:3.2.1.86]	3.4e-221
160	KOfam	K02757	beta-glucoside PTS system EIICBA component [EC:2.7.1.-]	1.9e-255
161	KOfam	K03488	beta-glucoside operon transcriptional antiterminator	1.3e-101
162	KOfam	K01223	6-phospho-beta-glucosidase [EC:3.2.1.86]	2.4e-226
166	KOfam	K03522	electron transfer flavoprotein alpha subunit	2.4e-72
167	KOfam	K03521	electron transfer flavoprotein beta subunit	6.3e-39
168	KOfam	K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]	6.2e-108
169	KOfam	K20882	(R)-2-hydroxy-4-methylpentanoate CoA-transferase [EC:2.8.3.24]	5e-141
170	KOfam	K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]	4.1e-83
171	KOfam	K08177	MFS transporter, OFA family, oxalate/formate antiporter	1.2e-96
173	KOfam	K01223	6-phospho-beta-glucosidase [EC:3.2.1.86]	2.5e-228
174	KOfam	K02757	beta-glucoside PTS system EIICBA component [EC:2.7.1.-]	3.5e-259
174	KOfam	K02777	sugar PTS system EIIA component [EC:2.7.1.-]	4.4e-78
