query	subject	%pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	e-value	bitscore	function
00000001|gene_cluster_GC_00003331|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_2249	sp|Q9GME3|DHB8_CALJA	45.161	31	17	0	1	31	103	133	0.003	36.2	sp|Q9GME3|DHB8_CALJA Estradiol 17-beta-dehydrogenase 8 (Fragment) OS=Callithrix jacchus OX=9483 GN=HSD17B8 PE=2 SV=1
00000001|gene_cluster_GC_00003331|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_2249	sp|Q5TJF5|DHB8_CANLF	48.387	31	16	0	1	31	219	249	0.006	35.4	sp|Q5TJF5|DHB8_CANLF (3R)-3-hydroxyacyl-CoA dehydrogenase OS=Canis lupus familiaris OX=9615 GN=HSD17B8 PE=3 SV=1
00000002|gene_cluster_GC_00004153|genome_name_P3352_Finger_millet_BE|gene_callers_id_701	sp|Q49WS9|Y1627_STAS1	50.400	250	115	3	2	248	3	246	5.74e-78	238	sp|Q49WS9|Y1627_STAS1 Uncharacterized oxidoreductase SSP1627 OS=Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41) OX=342451 GN=SSP1627 PE=3 SV=1
00000002|gene_cluster_GC_00004153|genome_name_P3352_Finger_millet_BE|gene_callers_id_701	sp|P25145|Y432_LISMO	46.614	251	124	3	1	246	1	246	3.44e-69	216	sp|P25145|Y432_LISMO Uncharacterized oxidoreductase Lmo0432 OS=Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e) OX=169963 GN=lmo0432 PE=3 SV=2
00000002|gene_cluster_GC_00004153|genome_name_P3352_Finger_millet_BE|gene_callers_id_701	sp|Q92EK7|Y452_LISIN	46.215	251	125	3	1	246	1	246	3.90e-68	213	sp|Q92EK7|Y452_LISIN Uncharacterized oxidoreductase Lin0452 OS=Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262) OX=272626 GN=lin0452 PE=3 SV=1
00000002|gene_cluster_GC_00004153|genome_name_P3352_Finger_millet_BE|gene_callers_id_701	sp|Q6GDV6|Y2567_STAAR	40.496	242	128	4	3	243	4	230	1.74e-53	175	sp|Q6GDV6|Y2567_STAAR Uncharacterized oxidoreductase SAR2567 OS=Staphylococcus aureus (strain MRSA252) OX=282458 GN=SAR2567 PE=3 SV=1
00000002|gene_cluster_GC_00004153|genome_name_P3352_Finger_millet_BE|gene_callers_id_701	sp|Q99RF5|Y2478_STAAM	39.669	242	130	3	3	243	4	230	5.44e-53	174	sp|Q99RF5|Y2478_STAAM Uncharacterized oxidoreductase SAV2478 OS=Staphylococcus aureus (strain Mu50 / ATCC 700699) OX=158878 GN=SAV2478 PE=3 SV=1
00000005|gene_cluster_GC_00003880|genome_name_Reference|gene_callers_id_2196	sp|P0CL10|PDHR_SALTY	27.632	152	93	4	3	144	7	151	5.86e-08	55.5	sp|P0CL10|PDHR_SALTY Pyruvate dehydrogenase complex repressor OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=pdhR PE=3 SV=1
00000005|gene_cluster_GC_00003880|genome_name_Reference|gene_callers_id_2196	sp|E1W823|PDHR_SALTS	27.632	152	93	4	3	144	7	151	5.86e-08	55.5	sp|E1W823|PDHR_SALTS Pyruvate dehydrogenase complex repressor OS=Salmonella typhimurium (strain SL1344) OX=216597 GN=pdhR PE=3 SV=1
00000005|gene_cluster_GC_00003880|genome_name_Reference|gene_callers_id_2196	sp|P0A2S3|PDHR_SALTI	27.632	152	93	4	3	144	7	151	5.86e-08	55.5	sp|P0A2S3|PDHR_SALTI Pyruvate dehydrogenase complex repressor OS=Salmonella typhi OX=90370 GN=pdhR PE=3 SV=1
00000005|gene_cluster_GC_00003880|genome_name_Reference|gene_callers_id_2196	sp|P0ACL9|PDHR_ECOLI	29.371	143	84	4	3	135	7	142	6.44e-08	55.5	sp|P0ACL9|PDHR_ECOLI Pyruvate dehydrogenase complex repressor OS=Escherichia coli (strain K12) OX=83333 GN=pdhR PE=1 SV=1
00000005|gene_cluster_GC_00003880|genome_name_Reference|gene_callers_id_2196	sp|P0ACM0|PDHR_ECOL6	29.371	143	84	4	3	135	7	142	6.44e-08	55.5	sp|P0ACM0|PDHR_ECOL6 Pyruvate dehydrogenase complex repressor OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=pdhR PE=3 SV=1
00000008|gene_cluster_GC_00003510|genome_name_P2500_SD_IT|gene_callers_id_2552	sp|O88037|RAMC_STRCO	38.621	290	174	4	38	325	68	355	2.73e-52	189	sp|O88037|RAMC_STRCO Probable SapB synthase OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) OX=100226 GN=ramC PE=1 SV=1
00000009|gene_cluster_GC_00004032|genome_name_P3351_Finger_millet_BE|gene_callers_id_2301	sp|P97084|COBD_SALTY	39.886	351	205	4	5	353	8	354	1.41e-79	251	sp|P97084|COBD_SALTY Threonine-phosphate decarboxylase OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=cobD PE=1 SV=2
00000009|gene_cluster_GC_00004032|genome_name_P3351_Finger_millet_BE|gene_callers_id_2301	sp|Q8Z8H8|COBD_SALTI	39.886	351	205	4	5	353	8	354	7.67e-79	249	sp|Q8Z8H8|COBD_SALTI Threonine-phosphate decarboxylase OS=Salmonella typhi OX=90370 GN=cobD PE=3 SV=1
00000009|gene_cluster_GC_00004032|genome_name_P3351_Finger_millet_BE|gene_callers_id_2301	sp|Q8R5U4|COBD_CALS4	37.278	338	202	6	22	355	22	353	2.02e-61	204	sp|Q8R5U4|COBD_CALS4 Putative threonine-phosphate decarboxylase OS=Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) OX=273068 GN=cobD PE=3 SV=1
