items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	AAI_min	AAI_max	AAI_avg
GC_00000001	9	104	30	0	0.942130161135348	0.774945142611447	0.850398570739959	0.0466472303206997	1.0	0.739828034062233
GC_00000002	7	51	19	0	0.89961225747795	0.936796826992905	0.917828075950844	0.0797720797720798	1.0	0.829374895257248
GC_00000003	7	43	22	0	0.92412331123776	0.690919469586011	0.790684674875039	0.104838709677419	1.0	0.783492748187047
GC_00000004	10	35	4	0	0.783819815380283	0.785109246711283	0.784464001183344	0.0853432282003711	1.0	0.579909886032335
GC_00000005	10	33	4	0	0.737282918802458	0.978791901112779	0.841043224197277	0.504587155963303	1.0	0.670460337318135
GC_00000006	10	31	4	0	0.744739195502993	0.72838579294629	0.736471723320177	0.135658914728682	1.0	0.599174793698425
GC_00000007	10	31	4	0	0.739677754229559	0.905305907046993	0.814153545690075	0.0307377049180328	1.0	0.597439626300018
GC_00000008	10	30	3	0	0.779754119025374	0.938822861296627	0.851926915713803	0.510869565217391	1.0	0.688447442945194
GC_00000009	7	29	11	0	0.912317911665307	0.727333765980757	0.809390959689505	0.480225988700565	1.0	0.761153321644263
GC_00000010	6	28	11	0	0.790050266682015	0.8390545767894	0.813815384331785	0.210526315789474	1.0	0.669915529564652
GC_00000011	4	27	16	0	0.961259009107788	0.747088490047917	0.840748784441355	0.0547619047619048	1.0	0.637905304571971
GC_00000012	10	26	5	0	0.922475176780743	0.979722904546434	0.950237589280973	0.552941176470588	1.0	0.872470588235294
GC_00000013	10	26	4	0	0.76851845286631	0.938000411782567	0.844843429726072	0.148936170212766	1.0	0.645499181669394
GC_00000014	10	26	4	0	0.748408572568495	0.836688263946327	0.790090112956992	0.119815668202765	1.0	0.648351648351648
GC_00000015	3	23	15	0	0.934195453952679	0.94426079024689	0.939201155542797	0.0171990171990172	1.0	0.837449378951355
GC_00000016	10	23	3	0	0.81397629614854	0.976894699657544	0.888025023819738	0.535934291581109	1.0	0.751402066373944
GC_00000017	10	23	3	0	0.803903961687298	0.861243359541213	0.831586418673457	0.0652173913043478	1.0	0.611239044509366
GC_00000018	10	23	4	0	0.791733706829029	0.820539039877129	0.80587905113086	0.0319829424307036	1.0	0.560691741743007
GC_00000019	5	23	10	0	0.982557535579039	0.799232870146917	0.88146425833443	0.0469135802469136	1.0	0.721680573854487
GC_00000020	10	23	4	0	0.813755466818787	0.955479439487515	0.878941077348725	0.584022038567493	1.0	0.743866984614379
