gene_callers_id	source	accession	function	e_value
0	KOfam	K00872	homoserine kinase [EC:2.7.1.39]	3e-90
1	KOfam	K00003	homoserine dehydrogenase [EC:1.1.1.3]	1.2e-153
2	KOfam	K03095	SprT-like protein	1.1e-65
3	KOfam	K06959	protein Tex	0
5	KOfam	K01537	P-type Ca2+ transporter type 2C [EC:7.2.2.10]	0
6	KOfam	K01916	NAD+ synthase [EC:6.3.1.5]	6.7e-100
7	KOfam	K00763	nicotinate phosphoribosyltransferase [EC:6.3.4.21]	8.2e-179
8	KOfam	K05946	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]	5.5e-93
9	KOfam	K24967	GntR family transcriptional regulator, N-acetylglucosamine utilization regulator	3.9e-86
9	KOfam	K03710	GntR family transcriptional regulator	1.5e-69
10	KOfam	K01443	N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]	1.3e-111
11	KOfam	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	5.6e-79
12	KOfam	K03811	nicotinamide mononucleotide transporter	1.1e-36
19	KOfam	K03305	proton-dependent oligopeptide transporter, POT family	2.3e-147
21	KOfam	K04567	lysyl-tRNA synthetase, class II [EC:6.1.1.6]	1.3e-227
22	KOfam	K05540	tRNA-dihydrouridine synthase B [EC:1.-.-.-]	4.8e-126
23	KOfam	K04083	molecular chaperone Hsp33	2.7e-97
24	KOfam	K03798	cell division protease FtsH [EC:3.4.24.-]	1.7e-274
25	KOfam	K00760	hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]	1.5e-65
26	KOfam	K04075	tRNA(Ile)-lysidine synthase [EC:6.3.4.19]	5.6e-80
27	KOfam	K07571	S1 RNA binding domain protein	8.3e-59
28	KOfam	K13052	cell division protein DivIC	1.6e-27
29	KOfam	K04762	ribosome-associated heat shock protein Hsp15	1.5e-15
30	KOfam	K03328	polysaccharide transporter, PST family	3.5e-95
31	KOfam	K03723	transcription-repair coupling factor (superfamily II helicase) [EC:5.6.2.4]	0
32	KOfam	K01056	peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]	1e-77
33	KOfam	K00016	L-lactate dehydrogenase [EC:1.1.1.27]	1.3e-115
36	KOfam	K01259	proline iminopeptidase [EC:3.4.11.5]	3.5e-40
37	KOfam	K15580	oligopeptide transport system substrate-binding protein	3.9e-119
40	KOfam	K00611	ornithine carbamoyltransferase [EC:2.1.3.3]	1.1e-132
42	KOfam	K00930	acetylglutamate kinase [EC:2.7.2.8]	3.7e-68
43	KOfam	K00620	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	1.8e-155
44	KOfam	K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	9e-110
45	KOfam	K01956	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	8.3e-140
46	KOfam	K01955	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	0
47	KOfam	K15555	sulfonate transport system ATP-binding protein [EC:7.6.2.14]	1.2e-102
48	KOfam	K02050	NitT/TauT family transport system permease protein	2.5e-53
49	KOfam	K02051	NitT/TauT family transport system substrate-binding protein	1.8e-52
50	KOfam	K03549	KUP system potassium uptake protein	1.3e-168
51	KOfam	K07171	mRNA interferase MazF [EC:3.1.-.-]	2.1e-44
52	KOfam	K01775	alanine racemase [EC:5.1.1.1]	4.8e-131
53	KOfam	K00997	holo-[acyl-carrier protein] synthase [EC:2.7.8.7]	2.1e-34
54	KOfam	K05592	ATP-dependent RNA helicase DeaD [EC:5.6.2.7]	6e-196
55	KOfam	K01929	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	4.3e-150
57	KOfam	K03799	heat shock protein HtpX [EC:3.4.24.-]	2.1e-86
58	KOfam	K03744	LemA protein	5.8e-73
59	KOfam	K07284	sortase A [EC:3.4.22.70]	8.6e-43
61	KOfam	K02909	large subunit ribosomal protein L31	3.3e-25
62	KOfam	K03628	transcription termination factor Rho	3.4e-204
63	KOfam	K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	2e-162
66	KOfam	K01752	L-serine dehydratase [EC:4.3.1.17]	4.3e-90
67	KOfam	K01752	L-serine dehydratase [EC:4.3.1.17]	8e-32
68	KOfam	K03837	serine transporter	4.1e-172
69	KOfam	K01875	seryl-tRNA synthetase [EC:6.1.1.11]	6.7e-179
70	KOfam	K01937	CTP synthase [EC:6.3.4.2]	5.2e-264
71	KOfam	K03048	DNA-directed RNA polymerase subunit delta	8.1e-58
73	KOfam	K16869	octanoyl-[GcvH]:protein N-octanoyltransferase [EC:2.3.1.204]	9.8e-84
74	KOfam	K06885	uncharacterized protein	1.5e-137
75	KOfam	K21064	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	1.2e-59
78	KOfam	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	1.1e-145
79	KOfam	K17836	beta-lactamase class A [EC:3.5.2.6]	1e-36
80	KOfam	K04042	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]	2.3e-197
81	KOfam	K09685	HTH-type transcriptional regulator, purine operon repressor	7.5e-125
84	KOfam	K02075	zinc/manganese transport system permease protein	4.4e-70
86	KOfam	K06889	uncharacterized protein	2.6e-36
87	KOfam	K00919	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]	3.3e-79
89	KOfam	K02528	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]	1.8e-106
90	KOfam	K05985	ribonuclease M5 [EC:3.1.26.8]	2.7e-86
91	KOfam	K03424	TatD DNase family protein [EC:3.1.21.-]	6.8e-85
92	KOfam	K07552	MFS transporter, DHA1 family, multidrug resistance protein	1.8e-78
93	KOfam	K01874	methionyl-tRNA synthetase [EC:6.1.1.10]	4.7e-191
94	KOfam	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	6.2e-17
96	KOfam	K12410	NAD-dependent protein deacetylase/lipoamidase [EC:2.3.1.286 2.3.1.313]	1.2e-68
98	KOfam	K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	7.7e-187
99	KOfam	K01524	exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]	6.1e-77
105	KOfam	K01223	6-phospho-beta-glucosidase [EC:3.2.1.86]	4.5e-229
106	KOfam	K02761	cellobiose PTS system EIIC component	2.4e-140
109	KOfam	K02761	cellobiose PTS system EIIC component	4.9e-143
110	KOfam	K03489	GntR family transcriptional regulator, transcriptional regulator of bglA	2.9e-62
111	KOfam	K01867	tryptophanyl-tRNA synthetase [EC:6.1.1.2]	4e-98
115	KOfam	K07052	CAAX protease family protein	1.6e-13
116	KOfam	K07052	CAAX protease family protein	8e-12
117	KOfam	K07052	CAAX protease family protein	6.6e-20
118	KOfam	K07052	CAAX protease family protein	8.9e-17
120	KOfam	K20345	membrane fusion protein, peptide pheromone/bacteriocin exporter	2.3e-94
121	KOfam	K20344	ATP-binding cassette, subfamily C, bacteriocin exporter	1.6e-284
123	KOfam	K07484	transposase	6.1e-08
126	KOfam	K07052	CAAX protease family protein	1.3e-18
127	KOfam	K07707	two-component system, LytTR family, response regulator AgrA	2.1e-71
128	KOfam	K07707	two-component system, LytTR family, response regulator AgrA	1.2e-71
129	KOfam	K07706	two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]	1.2e-69
132	KOfam	K07052	CAAX protease family protein	6.7e-17
141	KOfam	K26730	Na+:H+ antiporter	2.3e-119
142	KOfam	K03311	branched-chain amino acid:cation transporter, LIVCS family	6.2e-154
143	KOfam	K21064	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	1.4e-58
148	KOfam	K07484	transposase	6.1e-08
150	KOfam	K00661	maltose O-acetyltransferase [EC:2.3.1.79]	2.7e-61
159	KOfam	K02440	glycerol uptake facilitator	4.4e-110
160	KOfam	K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	7e-143
160	KOfam	K00105	alpha-glycerophosphate oxidase [EC:1.1.3.21]	0
161	KOfam	K00864	glycerol kinase [EC:2.7.1.30]	8.3e-220
162	KOfam	K00383	glutathione reductase (NADPH) [EC:1.8.1.7]	1.7e-124
163	KOfam	K05847	osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]	5.7e-126
164	KOfam	K05845	osmoprotectant transport system substrate-binding protein	2e-91
164	KOfam	K05846	osmoprotectant transport system permease protein	8.4e-95
167	KOfam	K02160	acetyl-CoA carboxylase biotin carboxyl carrier protein	5.7e-38
170	KOfam	K09384	uncharacterized protein	1.7e-123
172	KOfam	K08987	putative membrane protein	5.7e-39
174	KOfam	K01807	ribose 5-phosphate isomerase A [EC:5.3.1.6]	3.2e-46
177	KOfam	K00016	L-lactate dehydrogenase [EC:1.1.1.27]	1.7e-75
178	KOfam	K03320	ammonium transporter, Amt family	4e-134
182	KOfam	K09693	teichoic acid transport system ATP-binding protein [EC:7.5.2.4]	8.1e-117
183	KOfam	K09692	teichoic acid transport system permease protein	1.1e-73
185	KOfam	K08969	L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase [EC:2.6.1.117]	1.7e-192
186	KOfam	K03524	BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]	3.4e-61
187	KOfam	K03523	biotin transport system substrate-specific component	6.6e-45
189	KOfam	K08659	dipeptidase [EC:3.4.-.-]	5.9e-177
191	KOfam	K04088	modulator of FtsH protease HflK	6.4e-37
192	KOfam	K03292	glycoside/pentoside/hexuronide:cation symporter, GPH family	5.8e-102
193	KOfam	K07485	transposase	4.9e-91
194	KOfam	K01624	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	8.2e-105
195	KOfam	K04072	acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	3.5e-198
196	KOfam	K16919	acetoin utilization transport system permease protein	3.1e-27
197	KOfam	K16921	acetoin utilization transport system ATP-binding protein	1.2e-100
198	KOfam	K07979	GntR family transcriptional regulator	2.2e-39
204	KOfam	K11072	spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11]	8.5e-165
204	KOfam	K02010	iron(III) transport system ATP-binding protein [EC:7.2.2.7]	9.6e-134
205	KOfam	K11071	spermidine/putrescine transport system permease protein	9.1e-88
206	KOfam	K11070	spermidine/putrescine transport system permease protein	3.8e-96
207	KOfam	K11069	spermidine/putrescine transport system substrate-binding protein	1.7e-118
