layers	Type_strain	Reference	P568_Madre_SD_BE	P527_SD_Italy	P526_SD_Italy	P518_SD_Italy	P516_SD_Italy	P515_SD_Italy	P2800_SD_BE	P2799_SD_BE	P2187_Madre_SD_BE	P2186_Madre_SD_BE	P2185_Madre_SD_BE	P2183_Madre_SD_BE	P2182_Madre_SD_BE	P1194_Madre_SD_BE	P1191_Madre_SD_BE	P1190_Madre_SD_BE
P1190_Madre_SD_BE	7718.0	7986.0	8545.0	8603.0	7691.0	7625.0	7737.0	8607.0	69.0	87.0	1213.0	1193.0	1269.0	33.0	175.0	6940.0	7923.0	0.0
P1191_Madre_SD_BE	6277.0	9307.0	9251.0	8968.0	8392.0	99.0	8349.0	9029.0	8357.0	8341.0	8075.0	8064.0	8060.0	8321.0	8368.0	7442.0	0.0	8334.0
P1194_Madre_SD_BE	7012.0	8464.0	8921.0	8508.0	8241.0	7040.0	8164.0	8523.0	7167.0	7232.0	7405.0	7145.0	7145.0	7179.0	7245.0	0.0	7278.0	7183.0
P2182_Madre_SD_BE	8070.0	8098.0	8637.0	8829.0	7856.0	7682.0	7827.0	8846.0	41.0	32.0	1220.0	1218.0	1250.0	35.0	0.0	6822.0	7992.0	50.0
P2183_Madre_SD_BE	8296.0	8164.0	8872.0	9421.0	7883.0	8259.0	8029.0	9506.0	70.0	87.0	1195.0	1166.0	1232.0	0.0	159.0	7510.0	8551.0	21.0
P2185_Madre_SD_BE	7788.0	9043.0	9059.0	9041.0	8277.0	7532.0	8425.0	9218.0	1328.0	1378.0	51.0	86.0	0.0	1343.0	1387.0	7171.0	8002.0	1353.0
P2186_Madre_SD_BE	7911.0	8691.0	8562.0	9049.0	7811.0	7302.0	7995.0	9224.0	1237.0	1286.0	37.0	0.0	88.0	1297.0	1368.0	7306.0	7852.0	1266.0
P2187_Madre_SD_BE	7612.0	8961.0	9227.0	9157.0	8207.0	7504.0	8473.0	9244.0	1154.0	1209.0	0.0	42.0	62.0	1199.0	1249.0	7239.0	7967.0	1178.0
P2799_SD_BE	8048.0	8123.0	8567.0	8445.0	7527.0	7673.0	7634.0	8524.0	40.0	0.0	1126.0	1092.0	1174.0	30.0	77.0	7166.0	7928.0	32.0
P2800_SD_BE	8067.0	7842.0	8047.0	8628.0	7599.0	7641.0	7574.0	8635.0	0.0	63.0	1284.0	1292.0	1335.0	29.0	98.0	6773.0	7944.0	31.0
P515_SD_Italy	8802.0	7649.0	7021.0	73.0	234.0	8981.0	495.0	0.0	8618.0	8890.0	9250.0	8940.0	9057.0	8897.0	8893.0	8859.0	9310.0	8898.0
P516_SD_Italy	8249.0	6735.0	5980.0	149.0	153.0	8957.0	0.0	225.0	7612.0	8030.0	8308.0	8011.0	8142.0	7976.0	7879.0	8600.0	8893.0	7975.0
P518_SD_Italy	5922.0	9255.0	9156.0	9138.0	8929.0	0.0	8973.0	9199.0	7908.0	7930.0	7421.0	7413.0	7400.0	7912.0	7941.0	7632.0	142.0	7910.0
P526_SD_Italy	8281.0	7336.0	6920.0	183.0	0.0	9035.0	436.0	249.0	8088.0	8610.0	8698.0	8594.0	8732.0	8550.0	8411.0	8915.0	9212.0	8541.0
P527_SD_Italy	8831.0	7800.0	6958.0	0.0	172.0	8973.0	443.0	90.0	8480.0	8958.0	9159.0	8939.0	9016.0	8965.0	8761.0	8964.0	9201.0	8958.0
P568_Madre_SD_BE	8801.0	3781.0	0.0	7269.0	5448.0	8917.0	5366.0	7522.0	7883.0	8349.0	8750.0	8595.0	8750.0	8353.0	8376.0	8493.0	9720.0	8324.0
Reference	8503.0	0.0	4137.0	8583.0	6861.0	9526.0	6727.0	8591.0	8642.0	8861.0	8725.0	8574.0	8709.0	8856.0	8746.0	8653.0	9916.0	8852.0
Type_strain	0.0	9150.0	9910.0	8576.0	8027.0	6296.0	7854.0	8613.0	9058.0	9339.0	9315.0	9267.0	9274.0	9341.0	9325.0	7655.0	6465.0	9342.0
