layers	LBPURC4201_assembly_Sourdough	ASM622828v1_Beer	ASM622820v1_BeerKeg	ASM5041081v1_TomatoeFruit	ASM3988027v1_TenebrioMolitorFeces	ASM276217v1_FemaleGut	ASM211734v1_WheatBeer	ASM211732v1_BrewerySurface	ASM167680v1_TraditionalKoreanKimichi	Reference_45709_F01
ASM167680v1_TraditionalKoreanKimichi	23925.0	26308.0	21945.0	24669.0	25397.0	24846.0	25169.0	66319.0	0.0	25719.0
ASM211732v1_BrewerySurface	67876.0	68048.0	67293.0	68724.0	68800.0	69780.0	71256.0	0.0	67909.0	66048.0
ASM211734v1_WheatBeer	29771.0	31880.0	28437.0	24887.0	31759.0	28701.0	0.0	71344.0	26458.0	23965.0
ASM276217v1_FemaleGut	27769.0	25825.0	26968.0	28906.0	31094.0	0.0	27289.0	68325.0	25078.0	26474.0
ASM3988027v1_TenebrioMolitorFeces	9195.0	28582.0	7823.0	28927.0	0.0	30450.0	31608.0	68650.0	27934.0	25240.0
ASM5041081v1_TomatoeFruit	26441.0	26226.0	25734.0	0.0	27257.0	27813.0	23637.0	65200.0	23994.0	22791.0
ASM622820v1_BeerKeg	8344.0	31248.0	0.0	27945.0	8887.0	27262.0	28001.0	67987.0	22789.0	23402.0
ASM622828v1_Beer	31283.0	0.0	30805.0	28355.0	30485.0	28019.0	32903.0	69080.0	28671.0	25855.0
LBPURC4201_assembly_Sourdough	0.0	28775.0	7893.0	27812.0	8358.0	28918.0	28526.0	67637.0	24815.0	23098.0
Reference_45709_F01	23166.0	23853.0	22646.0	23765.0	23777.0	25875.0	23297.0	65206.0	25319.0	0.0
