contigs_db	P1210_SD_BE	P2216_UniAntwerpt_BE	P2297_SD_Lesaf_BE	P2301_SD_Lale_BE	P2496_SD_IT	P2500_SD_IT	P2531_SD_IT	P2593_Unknown_BE	P2599_Fresh-Strawberry_BE	P2605_Fresh-Strawberry_BE	P2694_LMG_BE	P2695_Unknown_BE	P2710_SD_BE	P2771_Cococa-Vietnam_BE	P2795_Unknown_BE	P2796_Unknown_BE	P2928_Oganic-Rye_SD_BE	P2929_Organic-Rye-SD_BE	P2933_Rye-SD_BE	P2934_Rye-SD_BE	P3349_Bambara_BE	P3350_Sorghum-seso_BE	P3351_Finger-millet_BE	P3352_Finger-millet_BE	P3353_Maize_BE	P3354_OFSP_BE	P3401_Brown-teff_BE	P950_Fermented-Rice_BE	Reference
Total Length	2425899	2355605	2337161	2334867	2454650	2566158	2326149	2349094	2432281	2431979	2518128	2363531	2499932	2440641	2300198	2566197	2413560	2227206	2533785	2273426	2431957	2520318	2499958	2448683	2516071	2387740	2516879	2486616	2494328
Num Contigs	7	81	98	82	127	162	72	95	102	102	184	107	7	46	129	155	171	109	87	101	111	99	37	71	98	97	97	107	1
Num Contigs > 100 kb	1	9	8	8	7	4	9	9	8	8	0	10	1	11	4	9	5	5	11	4	8	10	9	11	9	7	9	8	1
Num Contigs > 50 kb	1	15	18	17	16	14	18	18	18	18	15	17	1	19	14	16	17	16	16	16	18	14	9	13	12	16	12	16	1
Num Contigs > 20 kb	4	23	30	26	28	44	26	26	27	28	44	25	3	24	35	27	36	35	28	31	28	21	12	17	20	33	20	26	1
Num Contigs > 10 kb	5	26	34	31	36	62	29	28	37	38	69	35	3	31	46	38	45	44	33	42	39	26	12	20	25	37	25	28	1
Num Contigs > 5 kb	7	31	39	34	46	77	36	36	51	52	95	41	7	36	70	47	53	53	40	57	54	31	12	25	30	40	30	35	1
Num Contigs > 2.5 kb	7	34	48	39	53	89	40	43	60	61	113	43	7	41	78	58	70	66	45	68	62	36	14	27	35	44	34	47	1
Longest Contig	2281721	310612	189007	310695	258964	149084	239173	239173	175607	175607	83429	212114	2401713	244979	202210	259049	165325	147747	259043	202260	175607	414826	645917	487669	414836	216243	414837	253615	2494328
Shortest Contig	5628	102	101	101	100	105	117	104	116	116	106	101	5018	154	148	101	100	118	108	202	112	106	119	118	106	101	106	100	2494328
Mean Contig Length (trim 10%)	346557.00	12480.06	14001.04	16234.15	8794.17	10060.42	20775.14	13003.47	14243.16	14240.77	9448.47	11817.33	357133.14	44751.05	11177.60	5592.30	6705.61	14036.58	17710.87	14134.77	12509.20	9355.83	36453.42	14726.42	8124.98	14739.73	8236.99	11174.63	2494328.00
L50	1	6	9	8	9	17	8	8	10	10	22	9	1	8	13	8	12	13	8	11	10	6	3	5	5	9	5	8	1
L75	1	11	18	15	17	37	15	15	18	19	47	16	1	15	29	17	25	25	15	23	19	11	6	9	10	18	10	15	1
L90	1	19	27	23	29	58	22	23	30	31	76	26	1	21	51	30	40	39	25	39	32	18	8	13	17	28	17	23	1
N50	2281721	142419	99930	101288	95697	45290	116778	114572	92664	92512	37810	103171	2401713	117785	54453	110370	61351	57371	121776	63235	92671	151645	341518	155723	187694	94522	187693	121450	2494328
N75	2281721	63628	51200	55431	47596	25280	64016	64016	53182	49709	18490	61809	2401713	75734	26175	41453	34218	31929	64009	31736	49709	89595	161572	117568	89595	47976	89595	67484	2494328
N90	2281721	30986	26969	30761	18240	14289	30700	26383	18294	18294	9159	19665	2401713	42629	9195	16558	17001	17446	28773	11125	18294	30004	122545	55368	30004	24440	30004	35845	2494328
Num Genes	2400	2356	2347	2341	2509	2638	2319	2361	2496	2499	2555	2388	2529	2434	2378	2665	2439	2282	2572	2330	2496	2511	2464	2392	2507	2408	2509	2530	2425
Avg Gene Length	865.48	863.51	862.91	863.36	847.21	839.34	867.25	859.04	844.78	843.69	854.82	856.09	850.18	868.30	837.25	832.47	853.33	847.67	850.15	842.30	844.46	866.86	881.93	885.63	866.87	857.61	866.37	852.01	889.91
Avg Gene Length (trim 10%)	792.83	788.05	788.13	788.34	772.52	762.34	796.26	788.12	770.34	769.34	782.86	784.57	777.11	791.89	765.37	754.92	783.18	775.98	773.50	769.09	769.88	790.25	804.65	808.71	791.09	783.95	790.55	773.69	817.73
Min Gene Length	90	75	72	72	63	69	69	69	66	66	60	66	93	66	60	69	69	60	66	72	66	72	90	63	72	69	72	63	93
Max Gene Length	4560	5484	5754	5754	5343	5484	4560	4560	5703	5703	4641	5604	5703	6531	4998	4998	4560	5604	5301	5292	5703	8205	7302	9048	6624	4560	6624	5754	5850
Bacteria_71	68	68	68	68	68	68	68	68	68	68	68	68	68	69	68	68	68	68	68	68	68	68	68	68	68	69	68	68	68
Ribosomal_RNA_16S	6	1	1	1	1	1	1	2	1	1	1	1	5	1	2	1	1	0	1	2	1	1	1	1	1	1	1	1	5
bacteria (Bacteria_71)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
