contigs_db	P1211_Sourdough_BE	P2271_Sourdough_CN	P2302_Sourdough_BE	P2336_Sourdough_BE	P2466_Sourdough_Lib	P2468_Sourdough_Lib	P2474_Sourdough_Lib	P2505_Sourdough_Lib	P2506_Topinambur_IT	P2538_Sourdough_Lib	P2584_Sourdough_BE	P2600_Strawberry_BE	P2603_Strawberry_BE	P2604_Strawberry_BE	P2617_FreshMango_BE	P2620_FreshMango_BE	P2709_Sourdough_BE	P2715_MarsSourdough_BE	P2716_MarsSourdough_BE	P2731_FreshMango_BE	P2732_FreshMango_BE	P2733_FreshMango_BE	P2734_FreshMango_BE	P2811_SweetCherry_BE	P2813_SweetCherry_BE	P2814_SweetCherry_BE	P2827_FermentedMango_BE	P2918_Fermented_IQF_Mango_BE	P3181_GREEN_Injera_BE	P3181_WHITE_Injera_BE	P331_Cacoa_CR	P3336_GreenBanana_BE	P3337_BambaraGroudhut_BE	P3338_BambaraGroudhut_BE	P3340_RedCowpea_BE	P3341_WhiteCowpea_BE	P3342_SorghumSeso_BE	P840_1_Sourdough_BE	P840_2_Sourdough_BE	P840-Sourdough_BE	Reference_reformatted	Type_Strain_reformatted
Total Length	3200753	3292446	3298638	3231974	3219740	3219636	3214001	3376425	3253644	3335497	3292250	3201422	3202006	3202007	3197134	3197204	3201448	3225549	3219868	3219850	3226348	3226376	3225538	3265363	3215646	3291242	3199772	3236013	2584792	2586539	3321333	3224058	3279644	3012425	2993737	3227069	3209379	3200615	3200685	3200572	3223643	3250154
Num Contigs	72	14	140	109	32	42	42	319	155	6	137	48	39	39	35	35	74	35	34	39	75	97	35	57	52	173	66	109	285	288	111	113	198	121	62	92	65	70	71	70	1	2
Num Contigs > 100 kb	10	1	11	9	10	10	10	8	9	1	11	9	10	10	9	9	8	9	9	10	11	11	9	7	8	12	10	14	0	0	12	10	4	6	10	11	8	10	10	10	1	1
Num Contigs > 50 kb	15	2	16	17	12	13	13	21	16	1	16	16	13	13	11	11	15	11	11	12	12	12	11	9	10	22	15	14	2	2	21	16	22	16	14	12	16	15	15	15	1	1
Num Contigs > 20 kb	27	5	27	29	16	18	18	41	27	3	27	21	17	17	14	14	29	14	14	16	12	13	14	12	15	34	26	19	38	38	34	22	50	41	19	12	24	27	27	27	1	1
Num Contigs > 10 kb	32	8	37	33	17	19	19	61	37	4	37	22	18	18	15	15	33	15	15	18	14	15	15	15	17	38	30	26	95	95	41	24	70	53	22	14	28	31	31	31	1	1
Num Contigs > 5 kb	36	11	42	39	17	19	19	79	44	4	42	23	19	19	15	15	37	15	15	18	21	21	15	17	17	49	34	30	134	134	44	30	86	64	27	21	33	35	35	35	1	2
Num Contigs > 2.5 kb	39	11	48	44	19	23	23	104	51	4	48	26	21	21	17	17	41	17	17	20	28	30	17	17	18	60	36	38	165	165	50	41	104	70	30	28	37	38	38	38	1	2
Longest Contig	649251	3042291	452762	385494	665995	665995	665995	207826	727937	3251155	452762	665995	665995	665995	835694	835694	649251	835694	835694	665995	460393	460393	835694	821262	577940	323207	649251	349745	80485	80484	349275	460393	183084	308211	585156	460393	646227	649251	649251	649251	3223643	3242936
Shortest Contig	105	1949	105	110	107	105	105	101	100	1901	105	105	105	105	105	105	105	105	105	105	104	105	105	108	102	100	105	104	100	101	105	100	101	100	100	108	103	105	105	105	3223643	7218
Mean Contig Length (trim 10%)	21445.52	20683.83	6559.55	12115.94	58968.96	39313.88	39314.88	3339.89	5249.37	555916.17	7096.28	33950.95	45925.06	45925.09	45844.21	45846.59	20743.70	46824.03	48293.39	46466.00	13056.56	6061.44	46823.66	12717.06	19137.48	6406.55	24802.74	9384.98	6696.20	6616.10	14593.10	7420.10	9808.40	14050.34	19446.08	6159.47	23414.38	22210.05	21820.60	22209.29	3223643.00	1625077.00
L50	5	1	6	7	3	3	3	14	5	1	6	3	3	3	3	3	5	3	3	3	5	5	3	2	4	9	5	6	39	39	9	5	18	11	4	5	5	5	5	5	1	1
L75	11	1	13	14	7	8	8	32	13	1	13	9	7	7	6	6	12	6	6	7	7	7	6	5	6	19	11	11	80	81	17	10	38	25	8	7	11	11	11	11	1	1
L90	20	1	24	23	11	12	12	59	25	1	24	15	11	11	9	9	22	9	9	11	10	11	9	7	8	31	19	15	123	123	28	17	63	40	13	10	18	20	20	20	1	1
N50	156785	3042291	156785	174577	365646	365646	365646	69973	140040	3251155	156785	365646	365646	365646	365646	365646	156785	365646	365646	365646	302408	302408	365646	820481	428487	127350	156785	194257	19800	19800	130584	296363	57426	77524	279393	302408	200559	156785	156785	156785	3223643	3242936
N75	98910	3042291	89232	77244	156785	137109	137109	28765	78264	3251155	89232	118044	140140	140140	173680	173680	80764	187402	187402	156785	235887	235887	187402	292952	225870	61123	98910	126071	12529	12507	58338	108987	29748	41012	116178	235887	81784	98910	98910	98910	3223643	3242936
N90	38035	3042291	28553	37592	80415	80415	80415	10880	22238	3251155	28553	55177	80405	80405	126724	126695	37220	126695	126695	80415	153943	120092	126695	136355	124928	23721	41928	47823	6402	6402	35904	46903	12438	20999	60552	153943	41391	38035	38035	38035	3223643	3242936
Num Genes	3047	3183	3201	3130	3042	3053	3045	3470	3202	3136	3196	3039	3033	3035	3029	3031	3051	3055	3050	3049	3098	3117	3055	3133	3068	3210	3044	3127	2550	2551	3213	3115	3264	2874	2830	3112	3031	3047	3047	3048	2974	3045
Avg Gene Length	889.29	868.66	872.21	870.09	892.66	889.81	891.26	818.21	857.36	894.45	871.83	891.63	893.17	892.70	893.72	893.28	888.65	889.76	890.47	890.89	880.92	875.65	889.76	882.19	884.97	860.33	889.95	864.17	850.33	850.26	874.14	875.27	843.58	885.60	893.00	876.95	892.32	889.30	889.34	889.03	911.70	894.73
Avg Gene Length (trim 10%)	804.95	782.88	788.11	790.73	806.42	803.78	805.31	733.31	772.82	811.53	787.65	805.96	807.33	806.91	807.99	807.44	804.42	803.65	804.40	804.81	794.00	788.43	803.65	798.58	802.56	775.45	805.62	780.69	770.65	770.56	788.84	790.11	762.68	805.82	808.87	789.77	807.33	804.94	804.94	804.72	828.99	809.02
Min Gene Length	78	72	66	60	90	78	90	60	66	72	66	78	90	78	78	78	78	78	78	78	84	84	78	75	87	63	78	66	60	60	63	78	63	66	60	84	60	84	84	78	90	93
