gene_callers_id	source	accession	function	e_value
952	KOfam	K03100	signal peptidase I [EC:3.4.21.89]	2.5e-48
2234	KOfam	K07727	putative transcriptional regulator	8.4e-09
2449	KOfam	K07497	putative transposase	9.9e-11
2453	KOfam	K01546	potassium-transporting ATPase potassium-binding subunit	3.7e-237
2454	KOfam	K01547	potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]	0
2455	KOfam	K01548	potassium-transporting ATPase KdpC subunit	2.3e-66
2456	KOfam	K07646	two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]	7.8e-233
2558	KOfam	K03431	phosphoglucosamine mutase [EC:5.4.2.10]	7.7e-172
2560	KOfam	K00661	maltose O-acetyltransferase [EC:2.3.1.79]	1.8e-40
2847	KOfam	K03284	magnesium transporter	3e-39
2894	KOfam	K07485	transposase	2.4e-84
2898	KOfam	K22373	lactate racemase [EC:5.1.2.1]	5.7e-137
2899	KOfam	K07241	nickel/cobalt transporter (NiCoT) family protein	6.3e-97
2972	KOfam	K04047	starvation-inducible DNA-binding protein	8.2e-40
2974	KOfam	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	3.8e-149
2994	KOfam	K15773	HTH-type transcriptional regulator / antitoxin HipB	5.3e-15
3034	KOfam	K18367	CoA-dependent NAD(P)H sulfur oxidoreductase [EC:1.8.1.18]	1e-116
3074	KOfam	K06994	putative drug exporter of the RND superfamily	4.6e-149
3076	KOfam	K03496	chromosome partitioning protein	2.4e-44
3155	KOfam	K01155	type II restriction enzyme [EC:3.1.21.4]	8.4e-42
3156	KOfam	K00571	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	4.9e-66
3157	KOfam	K06223	DNA adenine methylase [EC:2.1.1.72]	1.3e-81
3172	KOfam	K03427	type I restriction enzyme M protein [EC:2.1.1.72]	6.6e-33
