query	subject	%pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	e-value	bitscore	function	genome
00000220|gene_cluster_GC_00003863|genome_name_P2297_SD_Lesaf_BE|gene_callers_id_2298	sp|P27489|CB23_SOLLC	100.0	224	0	0	1	224	42	265	2.89e-165	459.0	sp|P27489|CB23_SOLLC Chlorophyll a-b binding protein 13, chloroplastic OS=Solanum lycopersicum OX=4081 GN=CAB13 PE=1 SV=1	P2297_SD_Lesaf_BE
00000220|gene_cluster_GC_00003863|genome_name_P2297_SD_Lesaf_BE|gene_callers_id_2298	sp|P27523|CB23_HORVU	93.304	224	15	0	1	224	45	268	7.280000000000001e-156	435.0	sp|P27523|CB23_HORVU Chlorophyll a-b binding protein of LHCII type III, chloroplastic OS=Hordeum vulgare OX=4513 GN=LHBC PE=2 SV=1	P2297_SD_Lesaf_BE
00000220|gene_cluster_GC_00003863|genome_name_P2297_SD_Lesaf_BE|gene_callers_id_2298	sp|Q9S7M0|CB3_ARATH	93.75	224	14	0	1	224	42	265	7.290000000000001e-156	435.0	sp|Q9S7M0|CB3_ARATH Chlorophyll a-b binding protein 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LHCB3 PE=1 SV=1	P2297_SD_Lesaf_BE
00000220|gene_cluster_GC_00003863|genome_name_P2297_SD_Lesaf_BE|gene_callers_id_2298	sp|Q10HD0|CB23_ORYSJ	79.279	222	42	4	3	223	44	262	7.23e-123	352.0	sp|Q10HD0|CB23_ORYSJ Chlorophyll a-b binding protein, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=RCABP89 PE=2 SV=1	P2297_SD_Lesaf_BE
00000220|gene_cluster_GC_00003863|genome_name_P2297_SD_Lesaf_BE|gene_callers_id_2298	sp|A2XJ35|CB23_ORYSI	79.279	222	42	4	3	223	44	262	7.23e-123	352.0	sp|A2XJ35|CB23_ORYSI Chlorophyll a-b binding protein, chloroplastic OS=Oryza sativa subsp. indica OX=39946 GN=OsI_012078 PE=2 SV=1	P2297_SD_Lesaf_BE
00000224|gene_cluster_GC_00003487|genome_name_P2297_SD_Lesaf_BE|gene_callers_id_2297	sp|P12360|CB11_SOLLC	97.967	246	5	0	9	254	1	246	1.15e-178	493.0	sp|P12360|CB11_SOLLC Chlorophyll a-b binding protein 6A, chloroplastic OS=Solanum lycopersicum OX=4081 GN=CAB6A PE=2 SV=1	P2297_SD_Lesaf_BE
00000224|gene_cluster_GC_00003487|genome_name_P2297_SD_Lesaf_BE|gene_callers_id_2297	sp|Q01667|CAB6_ARATH	86.25	240	32	1	9	248	1	239	3.9999999999999997e-146	411.0	sp|Q01667|CAB6_ARATH Chlorophyll a-b binding protein 6, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LHCA1 PE=1 SV=1	P2297_SD_Lesaf_BE
00000224|gene_cluster_GC_00003487|genome_name_P2297_SD_Lesaf_BE|gene_callers_id_2297	sp|Q9SDM1|CB121_HORVU	74.897	243	59	2	10	252	3	243	1.71e-134	382.0	sp|Q9SDM1|CB121_HORVU Chlorophyll a-b binding protein 1B-21, chloroplastic OS=Hordeum vulgare OX=4513 GN=LHC Ib-21 PE=1 SV=1	P2297_SD_Lesaf_BE
00000224|gene_cluster_GC_00003487|genome_name_P2297_SD_Lesaf_BE|gene_callers_id_2297	sp|Q9XF88|CB4B_ARATH	38.889	270	112	7	25	246	20	284	3.0500000000000002e-49	166.0	sp|Q9XF88|CB4B_ARATH Chlorophyll a-b binding protein CP29.2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LHCB4.2 PE=1 SV=1	P2297_SD_Lesaf_BE
00000224|gene_cluster_GC_00003487|genome_name_P2297_SD_Lesaf_BE|gene_callers_id_2297	sp|Q07473|CB4A_ARATH	40.851	235	89	6	57	246	58	287	1.63e-46	159.0	sp|Q07473|CB4A_ARATH Chlorophyll a-b binding protein CP29.1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LHCB4.1 PE=1 SV=1	P2297_SD_Lesaf_BE
00000643|gene_cluster_GC_00003540|genome_name_P2297_SD_Lesaf_BE|gene_callers_id_2309	sp|Q9XF88|CB4B_ARATH	86.813	273	34	2	6	277	13	284	2.7599999999999998e-174	485.0	sp|Q9XF88|CB4B_ARATH Chlorophyll a-b binding protein CP29.2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LHCB4.2 PE=1 SV=1	P2297_SD_Lesaf_BE
