layers	total_length	gc_content	percent_completion	percent_redundancy	num_genes	avg_gene_length	num_genes_per_kb	singleton_gene_clusters	num_gene_clusters
P1190_Madre_SD_BE	1282203	0.347950363553977	98.5915492957746	-1	1357	846.070744288873	1.0583347566649	0	1240
P1191_Madre_SD_BE	1242874	0.347048856118963	97.1830985915493	-1	1296	862.458333333333	1.04274447771858	3	1204
P1194_Madre_SD_BE	1298568	0.347289475791795	98.5915492957746	-1	1371	849.334792122538	1.05577836509139	64	1263
P2182_Madre_SD_BE	1279661	0.347885885402462	98.5915492957746	-1	1359	843.832229580574	1.06200001406623	0	1241
P2183_Madre_SD_BE	1282308	0.347952286034244	98.5915492957746	-1	1357	846.068533529845	1.05824809640118	0	1240
P2185_Madre_SD_BE	1284102	0.348114869379535	98.5915492957746	-1	1370	838.780291970803	1.06689343992923	0	1241
P2186_Madre_SD_BE	1283205	0.348041037870021	98.5915492957746	-1	1366	841.128843338214	1.06452203661925	0	1242
P2187_Madre_SD_BE	1285706	0.348101354430951	98.5915492957746	-1	1368	841.114035087719	1.06400685693308	0	1242
P2799_SD_BE	1282254	0.347956021193929	98.5915492957746	-1	1355	847.50332103321	1.05673290939237	0	1240
P2800_SD_BE	1278046	0.34790218818415	98.5915492957746	-1	1363	840.323550990462	1.06647178583556	1	1242
P515_SD_Italy	1324406	0.34590450360388	98.5915492957746	-1	1397	853.193987115247	1.05481249707416	42	1301
P516_SD_Italy	1249777	0.346889085012766	98.5915492957746	-1	1320	854.504545454545	1.05618842401484	2	1227
P518_SD_Italy	1226511	0.346556206996921	97.1830985915493	-1	1275	866.607058823529	1.03953409304931	0	1196
P526_SD_Italy	1252026	0.346749188914607	98.5915492957746	-1	1325	852.054339622641	1.0582847321062	3	1230
P527_SD_Italy	1287572	0.346102586884462	98.5915492957746	-1	1349	857.770941438102	1.04770839999627	1	1251
P568_Madre_SD_BE	1404823	0.351522576153722	98.5915492957746	-1	1446	848.184647302905	1.02931116589065	76	1300
Reference	1360847	0.351963887196724	98.5915492957746	-1	1386	863.805194805195	1.01848334162474	17	1258
Type_strain	1231754	0.346999312221427	98.5915492957746	-1	1312	848.77362804878	1.06514774865761	19	1224
