gene_callers_id	source	accession	function	e_value
2	KOfam	K02008	cobalt/nickel transport system permease protein	1.6e-35
3	KOfam	K02007	cobalt/nickel transport system permease protein	2.9e-76
5	KOfam	K22373	lactate racemase [EC:5.1.2.1]	1.8e-158
6	KOfam	K06898	pyridinium-3,5-biscarboxylic acid mononucleotide synthase [EC:2.5.1.143]	1e-114
7	KOfam	K09121	pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]	1.7e-98
8	KOfam	K09121	pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]	2.9e-53
9	KOfam	K02440	glycerol uptake facilitator	2.9e-73
10	KOfam	K06864	cysteine-dependent pyridinium-3,5-bisthiocarboxylic acid mononucleotide synthase [EC:4.4.1.37 4.4.1.45]	1.4e-93
11	KOfam	K00344	NADPH:quinone reductase [EC:1.6.5.5]	6.6e-79
12	KOfam	K00878	hydroxyethylthiazole kinase [EC:2.7.1.50]	1.2e-90
13	KOfam	K00941	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	3.6e-104
14	KOfam	K00788	thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	3.6e-58
16	KOfam	K07010	putative glutamine amidotransferase	3.4e-83
19	KOfam	K03293	amino acid transporter, AAT family	4.1e-174
21	KOfam	K00433	non-heme chloroperoxidase [EC:1.11.1.10]	6.1e-55
26	KOfam	K13993	HSP20 family protein	8.7e-31
28	KOfam	K08161	MFS transporter, DHA1 family, multidrug resistance protein	5.1e-162
30	KOfam	K03449	MFS transporter, CP family, cyanate transporter	1.2e-95
32	KOfam	K06221	2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]	8.7e-96
33	KOfam	K05275	pyridoxine 4-dehydrogenase [EC:1.1.1.65]	9.8e-98
35	KOfam	K10254	oleate hydratase [EC:4.2.1.53]	1.4e-186
39	KOfam	K16785	energy-coupling factor transport system permease protein	1e-46
40	KOfam	K01552	energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]	2.6e-178
41	KOfam	K16924	energy-coupling factor transport system substrate-specific component	8.9e-64
43	KOfam	K03492	GntR family transcriptional regulator, regulator of glucomannan utilization	2.2e-84
48	KOfam	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	4.1e-62
49	KOfam	K01990	ABC-2 type transport system ATP-binding protein	1.3e-85
49	KOfam	K25150	polyether ionophore transport system ATP-binding protein	1.2e-139
50	KOfam	K25149	polyether ionophore transport system permease protein	2.4e-138
57	KOfam	K05878	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]	5.6e-147
58	KOfam	K05879	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]	5.1e-74
59	KOfam	K05881	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM [EC:2.7.1.121]	5.8e-37
60	KOfam	K02440	glycerol uptake facilitator	4.5e-94
61	KOfam	K02529	LacI family transcriptional regulator, galactose operon repressor	1.7e-72
62	KOfam	K02529	LacI family transcriptional regulator, galactose operon repressor	4.5e-69
63	KOfam	K01187	alpha-glucosidase [EC:3.2.1.20]	8.1e-62
64	KOfam	K15770	arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein	1.9e-106
65	KOfam	K15771	arabinogalactan oligomer / maltooligosaccharide transport system permease protein	1.3e-127
66	KOfam	K15772	arabinogalactan oligomer / maltooligosaccharide transport system permease protein	7.2e-99
68	KOfam	K16147	starch synthase (maltosyl-transferring) [EC:2.4.99.16]	3.3e-65
69	KOfam	K10112	multiple sugar transport system ATP-binding protein [EC:7.5.2.-]	3.5e-165
70	KOfam	K00691	maltose phosphorylase [EC:2.4.1.8]	0
71	KOfam	K01227	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]	4e-78
73	KOfam	K02810	sucrose PTS system EIIBCA or EIIBC component [EC:2.7.1.211]	2e-220
74	KOfam	K01193	beta-fructofuranosidase [EC:3.2.1.26]	2.5e-116
75	KOfam	K03484	LacI family transcriptional regulator, sucrose operon repressor	2.6e-115
75	KOfam	K02529	LacI family transcriptional regulator, galactose operon repressor	1.2e-86
76	KOfam	K01182	oligo-1,6-glucosidase [EC:3.2.1.10]	1.2e-280
78	KOfam	K03315	Na+:H+ antiporter, NhaC family	4.2e-167
79	KOfam	K01182	oligo-1,6-glucosidase [EC:3.2.1.10]	4.5e-272
83	KOfam	K20391	HTH-type transcriptional regulator, pleiotropic regulator of extracellular virulence genes	3.1e-29
84	KOfam	K02035	peptide/nickel transport system substrate-binding protein	1.5e-86
84	KOfam	K15580	oligopeptide transport system substrate-binding protein	8.8e-150
85	KOfam	K02035	peptide/nickel transport system substrate-binding protein	5.1e-88
85	KOfam	K15580	oligopeptide transport system substrate-binding protein	9.1e-149
86	KOfam	K03826	putative acetyltransferase [EC:2.3.1.-]	9.2e-49
87	KOfam	K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	1.6e-92
88	KOfam	K00831	phosphoserine aminotransferase [EC:2.6.1.52]	7.2e-146
89	KOfam	K02226	alpha-ribazole phosphatase [EC:3.1.3.73]	8.7e-38
