key	ASM167680v1_TraditionalKoreanKimichi	ASM211732v1_BrewerySurface	ASM211734v1_WheatBeer	ASM276217v1_FemaleGut	ASM3988027v1_TenebrioMolitorFeces	ASM5041081v1_TomatoeFruit	ASM622820v1_BeerKeg	ASM622828v1_Beer	LBPURC4201_assembly_Sourdough	Reference_45709_F01
ASM167680v1_TraditionalKoreanKimichi	2552671.0	2131085.0	2285585.0	2431709.0	2329959.0	2281160.0	2296863.0	2199919.0	2309927.0	2327219.0
ASM211732v1_BrewerySurface	2131939.0	2667873.0	2223277.0	2154274.0	2191009.0	2159608.0	2170840.0	2147958.0	2160826.0	2134865.0
ASM211734v1_WheatBeer	2299058.0	2201528.0	2917978.0	2347239.0	2359312.0	2372426.0	2383005.0	2332940.0	2404297.0	2293083.0
ASM276217v1_FemaleGut	2437150.0	2143454.0	2345097.0	2785111.0	2387038.0	2293046.0	2351999.0	2228127.0	2360590.0	2348562.0
ASM3988027v1_TenebrioMolitorFeces	2356139.0	2189835.0	2360906.0	2378315.0	2745725.0	2278764.0	2432440.0	2245195.0	2480799.0	2342365.0
ASM5041081v1_TomatoeFruit	2279107.0	2130996.0	2363671.0	2280390.0	2261244.0	2550312.0	2255092.0	2213682.0	2276970.0	2268085.0
ASM622820v1_BeerKeg	2312845.0	2165089.0	2400252.0	2353498.0	2423454.0	2280334.0	2728238.0	2276933.0	2470408.0	2310081.0
ASM622828v1_Beer	2216179.0	2159162.0	2377259.0	2247373.0	2269510.0	2236274.0	2293809.0	2775071.0	2274310.0	2236097.0
LBPURC4201_assembly_Sourdough	2320247.0	2159858.0	2394804.0	2360099.0	2458282.0	2289769.0	2469482.0	2239611.0	2724248.0	2307499.0
Reference_45709_F01	2326491.0	2129212.0	2286922.0	2348230.0	2326998.0	2272683.0	2307420.0	2220636.0	2312053.0	2494328.0
