gene_callers_id	source	accession	function	e_value
5	KOfam	K24042	methionine synthase / methylenetetrahydrofolate reductase (NADH) [EC:2.1.1.13 1.5.1.54]	3.3e-227
6	KOfam	K00549	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	6.9e-287
8	KOfam	K00958	sulfate adenylyltransferase [EC:2.7.7.4]	4.4e-158
9	KOfam	K00860	adenylylsulfate kinase [EC:2.7.1.25]	9e-106
10	KOfam	K06881	bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]	3.9e-86
11	KOfam	K01023	arylsulfate sulfotransferase [EC:2.8.2.22]	1.5e-144
13	KOfam	K26937	MATE family, multidrug efflux pump	1.4e-108
15	KOfam	K02348	ElaA protein	2.8e-57
16	KOfam	K01887	arginyl-tRNA synthetase [EC:6.1.1.19]	1.1e-173
18	KOfam	K02004	putative ABC transport system permease protein	1.1e-26
18	KOfam	K02003	putative ABC transport system ATP-binding protein	3.8e-95
22	KOfam	K02759	cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205]	8e-32
23	KOfam	K02760	cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205]	4.4e-29
24	KOfam	K02761	cellobiose PTS system EIIC component	9.5e-99
25	KOfam	K01223	6-phospho-beta-glucosidase [EC:3.2.1.86]	5.2e-209
28	KOfam	K14188	D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13]	9.2e-33
29	KOfam	K18907	GntR family transcriptional regulator, regulator for abcA and norABC	4.4e-174
30	KOfam	K06895	L-lysine exporter family protein LysE/ArgO	1.2e-38
32	KOfam	K03402	transcriptional regulator of arginine metabolism	2.2e-52
34	KOfam	K12555	penicillin-binding protein 2A [EC:2.4.99.28 3.4.16.4]	1.2e-282
36	KOfam	K03547	DNA repair protein SbcD/Mre11	2.3e-44
38	KOfam	K03698	3'-5' exoribonuclease [EC:3.1.-.-]	1.1e-119
42	KOfam	K19784	chromate reductase, NAD(P)H dehydrogenase (quinone)	3.6e-49
43	KOfam	K17363	urocanate reductase [EC:1.3.99.33]	8.4e-257
43	KOfam	K19784	chromate reductase, NAD(P)H dehydrogenase (quinone)	1.3e-44
51	KOfam	K00986	RNA-directed DNA polymerase [EC:2.7.7.49]	1.2e-96
52	KOfam	K01535	H+-transporting ATPase [EC:7.1.2.1]	5.6e-179
53	KOfam	K01689	enolase 1/2/3 [EC:4.2.1.11]	4.1e-181
57	KOfam	K20534	polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]	2.7e-134
61	KOfam	K11752	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]	1.6e-110
62	KOfam	K00793	riboflavin synthase [EC:2.5.1.9]	5.6e-81
63	KOfam	K14652	3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]	1.1e-162
63	KOfam	K01497	GTP cyclohydrolase II [EC:3.5.4.25]	4.9e-93
64	KOfam	K00794	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	1.1e-66
65	KOfam	K09962	uncharacterized protein	1.5e-56
67	KOfam	K21562	CRP/FNR family transcriptional regulator, anaerobic regulatory protein	4.1e-63
69	KOfam	K05910	NADH peroxidase [EC:1.11.1.1]	7.1e-153
75	KOfam	K07533	foldase protein PrsA [EC:5.2.1.8]	7.3e-77
77	KOfam	K02503	histidine triad (HIT) family protein [EC:3.9.1.-]	9.5e-34
78	KOfam	K25158	ABC-2 type transport system ATP-binding protein	6.8e-116
79	KOfam	K25157	ABC-2 type transport system permease protein	9.1e-122
81	KOfam	K03439	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]	6.4e-53
84	KOfam	K03466	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	1.8e-195
85	KOfam	K01924	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	7.8e-144
87	KOfam	K04759	ferrous iron transport protein B	1.3e-231
88	KOfam	K04758	ferrous iron transport protein A	4.3e-08
89	KOfam	K09013	Fe-S cluster assembly ATP-binding protein	4.4e-116
90	KOfam	K09015	Fe-S cluster assembly protein SufD	1.1e-90
91	KOfam	K11717	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	3.9e-214
92	KOfam	K04488	nitrogen fixation protein NifU and related proteins	9.6e-53
93	KOfam	K09014	Fe-S cluster assembly protein SufB	2.6e-222
96	KOfam	K06890	uncharacterized protein	7.6e-62
97	KOfam	K02335	DNA polymerase I [EC:2.7.7.7]	0
98	KOfam	K10563	formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]	1.7e-99
99	KOfam	K00859	dephospho-CoA kinase [EC:2.7.1.24]	2.1e-75
100	KOfam	K07738	transcriptional repressor NrdR	1.1e-74
101	KOfam	K03346	replication initiation and membrane attachment protein	3.1e-108
102	KOfam	K11144	primosomal protein DnaI	1.1e-109
103	KOfam	K01868	threonyl-tRNA synthetase [EC:6.1.1.3]	9.8e-229
104	KOfam	K02520	translation initiation factor IF-3	4.1e-79
105	KOfam	K02916	large subunit ribosomal protein L35	6.2e-10
106	KOfam	K02887	large subunit ribosomal protein L20	3.9e-56
108	KOfam	K07478	putative ATPase	1.2e-122
111	KOfam	K01779	aspartate racemase [EC:5.1.1.13]	4.3e-66
112	KOfam	K11936	poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]	1.3e-132
114	KOfam	K07015	putative phosphatase [EC:3.1.3.-]	5.9e-66
115	KOfam	K06948	30S ribosome assembly GTPase	1e-156
116	KOfam	K07574	RNA-binding protein	3.3e-30
117	KOfam	K00969	nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	3.1e-80
118	KOfam	K06950	uncharacterized protein	2.4e-11
119	KOfam	K09710	ribosome-associated protein	8.4e-51
121	KOfam	K27343	tRNAmet cytidine acetate ligase [EC:6.3.1.22]	4.8e-127
122	KOfam	K07040	DUF177 domain-containing protein	1.3e-24
123	KOfam	K02911	large subunit ribosomal protein L32	6.1e-23
126	KOfam	K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	2.9e-225
127	KOfam	K07478	putative ATPase	2.1e-208
128	KOfam	K02483	two-component system, OmpR family, response regulator	4.1e-75
128	KOfam	K18941	two-component system, OmpR family, response regulator ArlR	5.9e-104
129	KOfam	K18940	two-component system, OmpR family, sensor histidine kinase ArlS [EC:2.7.13.3]	3.8e-165
131	KOfam	K03546	DNA repair protein SbcC/Rad50	2.1e-161
132	KOfam	K03547	DNA repair protein SbcD/Mre11	1.5e-77
133	KOfam	K26996	immunity protein, SdpI family	4.6e-17
134	KOfam	K03217	YidC/Oxa1 family membrane protein insertase	6.8e-57
135	KOfam	K01512	acylphosphatase [EC:3.6.1.7]	5.4e-19
136	KOfam	K03437	RNA methyltransferase, TrmH family	1.5e-84
137	KOfam	K06950	uncharacterized protein	5e-15
139	KOfam	K01889	phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	4.4e-108
140	KOfam	K01890	phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	6.6e-212
141	KOfam	K07082	peptidoglycan lytic transglycosylase G [EC:4.2.2.29]	5.3e-93
142	KOfam	K00876	uridine kinase [EC:2.7.1.48]	2.1e-85
143	KOfam	K03624	transcription elongation factor GreA	2.7e-58
149	KOfam	K02913	large subunit ribosomal protein L33	5.6e-13
150	KOfam	K01934	5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	1.5e-47
151	KOfam	K19225	rhomboid protease GluP [EC:3.4.21.105]	8.5e-73
153	KOfam	K25026	glucokinase [EC:2.7.1.2]	2.3e-95
154	KOfam	K05995	dipeptidase E [EC:3.4.13.21]	2.7e-24
155	KOfam	K03972	phage shock protein E	1.7e-19
157	KOfam	K01126	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	4.8e-61
158	KOfam	K00791	tRNA dimethylallyltransferase [EC:2.5.1.75]	5.1e-105
159	KOfam	K03713	MerR family transcriptional regulator, glutamine synthetase repressor	2.7e-52
160	KOfam	K01915	glutamine synthetase [EC:6.3.1.2]	1.3e-117
169	KOfam	K02888	large subunit ribosomal protein L21	1.3e-42
170	KOfam	K07584	uncharacterized protein	4.5e-31
171	KOfam	K02899	large subunit ribosomal protein L27	1.6e-39
172	KOfam	K01262	Xaa-Pro aminopeptidase [EC:3.4.11.9]	4.7e-72
173	KOfam	K02356	elongation factor P	5.1e-89
175	KOfam	K03625	transcription antitermination protein NusB	8.8e-47
176	KOfam	K01491	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	9.3e-129
177	KOfam	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	3.8e-165
178	KOfam	K03602	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	2.4e-25
180	KOfam	K06442	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]	3.4e-110
181	KOfam	K03402	transcriptional regulator of arginine metabolism	2.9e-45
182	KOfam	K03631	DNA repair protein RecN (Recombination protein N)	1.5e-213
183	KOfam	K05847	osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]	2.2e-136
184	KOfam	K05846	osmoprotectant transport system permease protein	8.2e-90
185	KOfam	K05845	osmoprotectant transport system substrate-binding protein	7.7e-86
186	KOfam	K05846	osmoprotectant transport system permease protein	2.6e-74
188	KOfam	K00942	guanylate kinase [EC:2.7.4.8]	7.1e-74
189	KOfam	K03060	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	3.9e-21
190	KOfam	K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]	7e-164
191	KOfam	K04066	primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:5.6.2.4]	1.8e-262
192	KOfam	K00604	methionyl-tRNA formyltransferase [EC:2.1.2.9]	1e-104
193	KOfam	K03500	16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]	3.4e-134
194	KOfam	K20074	PPM family protein phosphatase [EC:3.1.3.16]	1.2e-92
195	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	1.3e-110
196	KOfam	K06949	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	1.1e-91
197	KOfam	K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	3.7e-93
198	KOfam	K00949	thiamine pyrophosphokinase [EC:2.7.6.2]	1.6e-29
199	KOfam	K02902	large subunit ribosomal protein L28	2.7e-14
201	KOfam	K07030	fatty acid kinase [EC:2.7.2.18]	1e-173
202	KOfam	K03655	ATP-dependent DNA helicase RecG [EC:5.6.2.4]	2.3e-227
203	KOfam	K03621	phosphate acyltransferase [EC:2.3.1.274]	1.5e-132
204	KOfam	K02078	acyl carrier protein	1.8e-27
205	KOfam	K03685	ribonuclease III [EC:3.1.26.3]	1.2e-74
206	KOfam	K03529	chromosome segregation protein	0
207	KOfam	K03110	fused signal recognition particle receptor	6.1e-147
208	KOfam	K09787	uncharacterized protein	5e-41
209	KOfam	K03106	signal recognition particle subunit SRP54 [EC:3.6.5.4]	5.3e-201
210	KOfam	K02959	small subunit ribosomal protein S16	6e-46
211	KOfam	K06960	uncharacterized protein	7.2e-27
212	KOfam	K02860	16S rRNA processing protein RimM	2.1e-55
213	KOfam	K00554	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	3.3e-116
214	KOfam	K02884	large subunit ribosomal protein L19	3.9e-54
219	KOfam	K01990	ABC-2 type transport system ATP-binding protein	3.9e-83
222	KOfam	K01658	anthranilate synthase component II [EC:4.1.3.27]	4.9e-75
223	KOfam	K00766	anthranilate phosphoribosyltransferase [EC:2.4.2.18]	3.2e-133
224	KOfam	K01609	indole-3-glycerol phosphate synthase [EC:4.1.1.48]	1.1e-95
225	KOfam	K01817	phosphoribosylanthranilate isomerase [EC:5.3.1.24]	7.7e-58
226	KOfam	K01696	tryptophan synthase beta chain [EC:4.2.1.20]	7.6e-221
227	KOfam	K01695	tryptophan synthase alpha chain [EC:4.2.1.20]	1.1e-98
229	KOfam	K00344	NADPH:quinone reductase [EC:1.6.5.5]	2.1e-78
234	KOfam	K26996	immunity protein, SdpI family	8.2e-08
235	KOfam	K04708	3-dehydrosphinganine reductase [EC:1.1.1.102]	1.7e-64
