query	subject	%pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	e-value	bitscore	function	genome
00000008|gene_cluster_GC_00003510|genome_name_P2500_SD_IT|gene_callers_id_2552	sp|O88037|RAMC_STRCO	38.621	290	174	4	38	325	68	355	2.7299999999999998e-52	189.0	sp|O88037|RAMC_STRCO Probable SapB synthase OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) OX=100226 GN=ramC PE=1 SV=1	P2500_SD_IT
00000017|gene_cluster_GC_00004106|genome_name_P2500_SD_IT|gene_callers_id_1344	sp|P0AE70|MAZF_ECOLI	32.584	89	51	2	10	98	7	86	3.67e-10	56.2	sp|P0AE70|MAZF_ECOLI Endoribonuclease toxin MazF OS=Escherichia coli (strain K12) OX=83333 GN=mazF PE=1 SV=1	P2500_SD_IT
00000017|gene_cluster_GC_00004106|genome_name_P2500_SD_IT|gene_callers_id_1344	sp|P0AE71|MAZF_ECO57	32.584	89	51	2	10	98	7	86	3.67e-10	56.2	sp|P0AE71|MAZF_ECO57 Endoribonuclease MazF OS=Escherichia coli O157:H7 OX=83334 GN=mazF PE=3 SV=1	P2500_SD_IT
00000017|gene_cluster_GC_00004106|genome_name_P2500_SD_IT|gene_callers_id_1344	sp|P33647|CHPB_ECOLI	29.825	114	61	4	11	120	8	106	6.75e-05	42.7	sp|P33647|CHPB_ECOLI Endoribonuclease toxin ChpB OS=Escherichia coli (strain K12) OX=83333 GN=chpB PE=1 SV=1	P2500_SD_IT
00000045|gene_cluster_GC_00003987|genome_name_P2500_SD_IT|gene_callers_id_2334	sp|O88037|RAMC_STRCO	22.505	551	355	20	1	508	378	899	3.84e-15	82.4	sp|O88037|RAMC_STRCO Probable SapB synthase OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) OX=100226 GN=ramC PE=1 SV=1	P2500_SD_IT
00000055|gene_cluster_GC_00003832|genome_name_P2500_SD_IT|gene_callers_id_1497	sp|Q8R5S4|FTSK_CALS4	25.253	396	255	12	383	769	265	628	2.19e-21	103.0	sp|Q8R5S4|FTSK_CALS4 DNA translocase FtsK OS=Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) OX=273068 GN=ftsK PE=3 SV=1	P2500_SD_IT
00000055|gene_cluster_GC_00003832|genome_name_P2500_SD_IT|gene_callers_id_1497	sp|Q9Z726|FTSK_CHLPN	21.991	432	310	10	340	762	311	724	4.42e-17	89.7	sp|Q9Z726|FTSK_CHLPN DNA translocase FtsK OS=Chlamydia pneumoniae OX=83558 GN=ftsK PE=2 SV=1	P2500_SD_IT
00000055|gene_cluster_GC_00003832|genome_name_P2500_SD_IT|gene_callers_id_1497	sp|C0SP86|SFTA_BACSU	29.304	273	156	8	446	704	570	819	8.67e-17	89.0	sp|C0SP86|SFTA_BACSU DNA translocase SftA OS=Bacillus subtilis (strain 168) OX=224308 GN=sftA PE=1 SV=1	P2500_SD_IT
00000055|gene_cluster_GC_00003832|genome_name_P2500_SD_IT|gene_callers_id_1497	sp|Q9JZG4|FTSK2_NEIMB	28.254	315	158	10	479	761	649	927	6.33e-16	86.3	sp|Q9JZG4|FTSK2_NEIMB DNA translocase FtsK 2 OS=Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58) OX=122586 GN=ftsK2 PE=3 SV=1	P2500_SD_IT
00000055|gene_cluster_GC_00003832|genome_name_P2500_SD_IT|gene_callers_id_1497	sp|Q0PA12|FTSK_CAMJE	26.377	345	224	9	367	705	493	813	8.86e-16	85.9	sp|Q0PA12|FTSK_CAMJE DNA translocase FtsK OS=Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168) OX=192222 GN=ftsK PE=3 SV=1	P2500_SD_IT
00000078|gene_cluster_GC_00003526|genome_name_P2500_SD_IT|gene_callers_id_2448	sp|C0H3S6|YWZG_BACSU	28.395	81	51	2	16	89	12	92	0.003	37.7	sp|C0H3S6|YWZG_BACSU Putative DNA-binding protein YwzG OS=Bacillus subtilis (strain 168) OX=224308 GN=ywzG PE=4 SV=1	P2500_SD_IT
00000103|gene_cluster_GC_00003561|genome_name_P2500_SD_IT|gene_callers_id_1158	sp|O14248|TEA3_SCHPO	29.412	102	57	4	25	113	992	1091	0.006	40.0	sp|O14248|TEA3_SCHPO Tip elongation aberrant protein 3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tea3 PE=1 SV=1	P2500_SD_IT
00000120|gene_cluster_GC_00004084|genome_name_P2500_SD_IT|gene_callers_id_1490	sp|P24043|LAMA2_HUMAN	20.911	483	307	16	93	523	1613	2072	0.006	44.3	sp|P24043|LAMA2_HUMAN Laminin subunit alpha-2 OS=Homo sapiens OX=9606 GN=LAMA2 PE=1 SV=4	P2500_SD_IT
00000126|gene_cluster_GC_00003766|genome_name_P2500_SD_IT|gene_callers_id_1161	sp|P43640|MUNC_MYCSP	41.27	63	36	1	4	65	10	72	1.07e-08	50.1	sp|P43640|MUNC_MYCSP Control protein C.MunI OS=Mycoplasma sp. OX=2108 GN=munIC PE=4 SV=1	P2500_SD_IT
00000126|gene_cluster_GC_00003766|genome_name_P2500_SD_IT|gene_callers_id_1161	sp|O28646|Y1627_ARCFU	37.705	61	38	0	2	62	1	61	3.32e-07	46.2	sp|O28646|Y1627_ARCFU Uncharacterized HTH-type transcriptional regulator AF_1627 OS=Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16) OX=224325 GN=AF_1627 PE=4 SV=1	P2500_SD_IT
00000126|gene_cluster_GC_00003766|genome_name_P2500_SD_IT|gene_callers_id_1161	sp|Q57720|Y272_METJA	42.623	61	35	0	2	62	1	61	9.11e-07	44.7	sp|Q57720|Y272_METJA Uncharacterized HTH-type transcriptional regulator MJ0272 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ0272 PE=4 SV=2	P2500_SD_IT
00000126|gene_cluster_GC_00003766|genome_name_P2500_SD_IT|gene_callers_id_1161	sp|P45903|YQAF_BACSU	31.944	72	48	1	1	72	1	71	9.85e-06	42.4	sp|P45903|YQAF_BACSU Uncharacterized HTH-type transcriptional regulator YqaF OS=Bacillus subtilis (strain 168) OX=224308 GN=yqaF PE=4 SV=1	P2500_SD_IT
00000126|gene_cluster_GC_00003766|genome_name_P2500_SD_IT|gene_callers_id_1161	sp|O28481|Y1793_ARCFU	32.787	61	41	0	2	62	1	61	1.4e-05	42.0	sp|O28481|Y1793_ARCFU Uncharacterized HTH-type transcriptional regulator AF_1793 OS=Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16) OX=224325 GN=AF_1793 PE=4 SV=1	P2500_SD_IT
00000162|gene_cluster_GC_00003330|genome_name_P2500_SD_IT|gene_callers_id_647	sp|P58235|YEFM_SYNY3	40.741	81	48	0	1	81	1	81	6.42e-15	66.6	sp|P58235|YEFM_SYNY3 Antitoxin YefM OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=yefM PE=3 SV=1	P2500_SD_IT
00000162|gene_cluster_GC_00003330|genome_name_P2500_SD_IT|gene_callers_id_647	sp|P69346|YEFM_ECOLI	40.0	75	45	0	1	75	1	75	1.3e-12	60.5	sp|P69346|YEFM_ECOLI Antitoxin YefM OS=Escherichia coli (strain K12) OX=83333 GN=yefM PE=1 SV=1	P2500_SD_IT
00000162|gene_cluster_GC_00003330|genome_name_P2500_SD_IT|gene_callers_id_647	sp|P69347|YEFM_ECOL6	40.0	75	45	0	1	75	1	75	1.3e-12	60.5	sp|P69347|YEFM_ECOL6 Antitoxin YefM OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=yefM PE=3 SV=1	P2500_SD_IT
00000162|gene_cluster_GC_00003330|genome_name_P2500_SD_IT|gene_callers_id_647	sp|Q83KJ8|YEFM_SHIFL	40.0	75	45	0	1	75	1	75	2.43e-12	60.1	sp|Q83KJ8|YEFM_SHIFL Antitoxin YefM OS=Shigella flexneri OX=623 GN=yefM PE=3 SV=1	P2500_SD_IT
00000162|gene_cluster_GC_00003330|genome_name_P2500_SD_IT|gene_callers_id_647	sp|P58236|Y761_SYNY3	30.488	82	57	0	1	82	12	93	6.1e-08	48.9	sp|P58236|Y761_SYNY3 Uncharacterized protein ssr0761 OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=ssr0761 PE=3 SV=1	P2500_SD_IT
00000165|gene_cluster_GC_00003875|genome_name_P2500_SD_IT|gene_callers_id_1482	sp|B3QJM1|IHFA_RHOPT	30.097	103	70	1	17	117	11	113	9.61e-10	55.5	sp|B3QJM1|IHFA_RHOPT Integration host factor subunit alpha OS=Rhodopseudomonas palustris (strain TIE-1) OX=395960 GN=ihfA PE=3 SV=1	P2500_SD_IT
