gene_callers_id	source	accession	function	e_value
16	KOfam	K07741	anti-repressor protein	6e-20
20	KOfam	K10716	voltage-gated potassium channel	3.2e-37
25	KOfam	K14059	integrase	1.6e-58
34	KOfam	K00759	adenine phosphoribosyltransferase [EC:2.4.2.7]	4.5e-75
35	KOfam	K07462	single-stranded-DNA-specific exonuclease [EC:3.1.-.-]	1.5e-213
36	KOfam	K08992	lipopolysaccharide assembly protein A	1.5e-13
38	KOfam	K00784	ribonuclease Z [EC:3.1.26.11]	5.9e-85
40	KOfam	K03979	GTPase [EC:3.6.5.-]	2.2e-160
41	KOfam	K03436	DeoR family transcriptional regulator, fructose operon transcriptional repressor	2e-84
42	KOfam	K00882	1-phosphofructokinase [EC:2.7.1.56]	1e-102
43	KOfam	K02768	fructose PTS system EIIA component [EC:2.7.1.202]	1.6e-54
43	KOfam	K02770	fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]	3.4e-245
44	KOfam	K03651	3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]	1.2e-25
46	KOfam	K19423	glycosyltransferase EpsE [EC:2.4.-.-]	1.8e-52
53	KOfam	K00903	protein-tyrosine kinase [EC:2.7.10.3]	6.6e-80
54	KOfam	K19420	protein tyrosine kinase modulator	4.4e-64
55	KOfam	K03703	excinuclease ABC subunit C	1.1e-208
56	KOfam	K02028	polar amino acid transport system ATP-binding protein [EC:7.4.2.1]	1.7e-133
57	KOfam	K17077	arginine/lysine/histidine transport system permease protein	5.4e-144
57	KOfam	K23059	arginine/lysine/histidine transporter system substrate-binding protein	4.1e-176
57	KOfam	K02030	polar amino acid transport system substrate-binding protein	3.5e-42
57	KOfam	K02029	polar amino acid transport system permease protein	4.9e-89
61	KOfam	K03978	GTP-binding protein	1.4e-78
62	KOfam	K03544	ATP-dependent Clp protease ATP-binding subunit ClpX	1.8e-197
63	KOfam	K03545	trigger factor	1.6e-137
64	KOfam	K02358	elongation factor Tu	5.8e-239
66	KOfam	K12574	ribonuclease J [EC:3.1.-.-]	7.2e-201
67	KOfam	K01714	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	4.5e-97
68	KOfam	K08161	MFS transporter, DHA1 family, multidrug resistance protein	3.3e-118
69	KOfam	K02956	small subunit ribosomal protein S15	9.7e-35
70	KOfam	K02968	small subunit ribosomal protein S20	5.2e-25
71	KOfam	K02340	DNA polymerase III subunit delta [EC:2.7.7.7]	3.5e-68
72	KOfam	K02238	competence protein ComEC	6.5e-107
73	KOfam	K01493	dCMP deaminase [EC:3.5.4.12]	3.4e-45
74	KOfam	K02237	competence protein ComEA	4.5e-56
75	KOfam	K07177	Lon-like protease	1.3e-101
76	KOfam	K00954	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	4.3e-69
77	KOfam	K08316	16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]	3.6e-64
79	KOfam	K01958	pyruvate carboxylase [EC:6.4.1.1]	0
80	KOfam	K03588	peptidoglycan glycosyltransferase [EC:2.4.99.28]	9.8e-111
82	KOfam	K11936	poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]	1.1e-87
85	KOfam	K06207	GTP-binding protein	6.4e-294
86	KOfam	K01092	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]	6e-54
89	KOfam	K00382	dihydrolipoyl dehydrogenase [EC:1.8.1.4]	1.8e-177
