query,genome,gene_cluster,gene_callers_id,subject,pident,alignment_length,evalue,bitscore,function
00000000|gene_cluster_GC_00002586|genome_name_P3124_LMG_BE|gene_callers_id_1885,P3124_LMG_BE,GC_00002586,1885,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000002|gene_cluster_GC_00002827|genome_name_P3124_LMG_BE|gene_callers_id_1914,P3124_LMG_BE,GC_00002827,1914,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000015|gene_cluster_GC_00003153|genome_name_P3124_LMG_BE|gene_callers_id_1055,P3124_LMG_BE,GC_00003153,1055,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000030|gene_cluster_GC_00002595|genome_name_P3124_LMG_BE|gene_callers_id_1633,P3124_LMG_BE,GC_00002595,1633,sp|Q9CI63|P2IN_LACLA,29.902,204.0,2.38e-14,74.3,sp|Q9CI63|P2IN_LACLA Prophage ps2 probable integrase OS=Lactococcus lactis subsp. lactis (strain IL1403) OX=272623 GN=ps201 PE=3 SV=1
00000037|gene_cluster_GC_00002895|genome_name_P3124_LMG_BE|gene_callers_id_1803,P3124_LMG_BE,GC_00002895,1803,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000038|gene_cluster_GC_00003039|genome_name_P3124_LMG_BE|gene_callers_id_1972,P3124_LMG_BE,GC_00003039,1972,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000050|gene_cluster_GC_00002940|genome_name_P3124_LMG_BE|gene_callers_id_1890,P3124_LMG_BE,GC_00002940,1890,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000052|gene_cluster_GC_00003078|genome_name_P3124_LMG_BE|gene_callers_id_1435,P3124_LMG_BE,GC_00003078,1435,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000053|gene_cluster_GC_00002673|genome_name_P3124_LMG_BE|gene_callers_id_1941,P3124_LMG_BE,GC_00002673,1941,sp|Q1BWI2|NODI_BURO1,35.216,301.0,7.76e-45,157.0,sp|Q1BWI2|NODI_BURO1 Nod factor export ATP-binding protein I OS=Burkholderia orbicola (strain AU 1054) OX=331271 GN=nodI PE=3 SV=1
00000063|gene_cluster_GC_00002970|genome_name_P3124_LMG_BE|gene_callers_id_585,P3124_LMG_BE,GC_00002970,585,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000069|gene_cluster_GC_00002816|genome_name_P3124_LMG_BE|gene_callers_id_1678,P3124_LMG_BE,GC_00002816,1678,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000086|gene_cluster_GC_00002754|genome_name_P3124_LMG_BE|gene_callers_id_1568,P3124_LMG_BE,GC_00002754,1568,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000091|gene_cluster_GC_00003058|genome_name_P3124_LMG_BE|gene_callers_id_2017,P3124_LMG_BE,GC_00003058,2017,sp|B8DBU4|LEU1_LISMH,80.769,26.0,7.4e-08,48.1,sp|B8DBU4|LEU1_LISMH 2-isopropylmalate synthase OS=Listeria monocytogenes serotype 4a (strain HCC23) OX=552536 GN=leuA PE=3 SV=1
00000098|gene_cluster_GC_00002860|genome_name_P3124_LMG_BE|gene_callers_id_1945,P3124_LMG_BE,GC_00002860,1945,sp|O31844|CZRA_BACSU,39.241,79.0,1.91e-08,51.6,sp|O31844|CZRA_BACSU HTH-type transcriptional repressor CzrA OS=Bacillus subtilis (strain 168) OX=224308 GN=czrA PE=1 SV=1
00000108|gene_cluster_GC_00002495|genome_name_P3124_LMG_BE|gene_callers_id_1040,P3124_LMG_BE,GC_00002495,1040,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000109|gene_cluster_GC_00002495|genome_name_P3124_LMG_BE|gene_callers_id_200,P3124_LMG_BE,GC_00002495,200,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000113|gene_cluster_GC_00002832|genome_name_P3124_LMG_BE|gene_callers_id_1931,P3124_LMG_BE,GC_00002832,1931,sp|Q38441|YOR5_BPSPP,55.263,38.0,1.2e-06,43.5,sp|Q38441|YOR5_BPSPP Uncharacterized 10.3 kDa protein in GP2-GP6 intergenic region OS=Bacillus phage SPP1 OX=10724 PE=4 SV=1
00000130|gene_cluster_GC_00002523|genome_name_P3124_LMG_BE|gene_callers_id_225,P3124_LMG_BE,GC_00002523,225,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000138|gene_cluster_GC_00003106|genome_name_P3124_LMG_BE|gene_callers_id_1911,P3124_LMG_BE,GC_00003106,1911,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000142|gene_cluster_GC_00003030|genome_name_P3124_LMG_BE|gene_callers_id_1032,P3124_LMG_BE,GC_00003030,1032,sp|Q0PDK7|TMP_BPSPP,32.812,320.0,7.659999999999999e-41,166.0,sp|Q0PDK7|TMP_BPSPP Tail tape measure protein gp18 OS=Bacillus phage SPP1 OX=10724 PE=4 SV=1
00000145|gene_cluster_GC_00002689|genome_name_P3124_LMG_BE|gene_callers_id_583,P3124_LMG_BE,GC_00002689,583,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000154|gene_cluster_GC_00002694|genome_name_P3124_LMG_BE|gene_callers_id_1954,P3124_LMG_BE,GC_00002694,1954,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000160|gene_cluster_GC_00002872|genome_name_P3124_LMG_BE|gene_callers_id_1061,P3124_LMG_BE,GC_00002872,1061,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000170|gene_cluster_GC_00002651|genome_name_P3124_LMG_BE|gene_callers_id_113,P3124_LMG_BE,GC_00002651,113,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000171|gene_cluster_GC_00002813|genome_name_P3124_LMG_BE|gene_callers_id_1807,P3124_LMG_BE,GC_00002813,1807,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
