gene_callers_id	source	accession	function	e_value
1271	KOfam	K07729	putative transcriptional regulator	5e-14
2133	KOfam	K12990	rhamnosyltransferase [EC:2.4.1.-]	3.8e-37
2137	KOfam	K16649	rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase [EC:2.4.1.287]	3.7e-52
2139	KOfam	K23684	dolichol-phosphate hexosyltransferase [EC:2.4.1.-]	7e-65
2844	KOfam	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	3.6e-10
2851	KOfam	K06904	Escherichia/Staphylococcus phage prohead protease	6.7e-37
2888	KOfam	K07241	nickel/cobalt transporter (NiCoT) family protein	6e-120
3086	KOfam	K14059	integrase	3.8e-65
3125	KOfam	K05338	holin-like protein	1.1e-53
3125	KOfam	K06518	holin-like protein	3.8e-30
3126	KOfam	K02477	two-component system, LytTR family, response regulator	1.1e-63
3127	KOfam	K07704	two-component system, LytTR family, sensor histidine kinase LytS [EC:2.7.13.3]	1.8e-203
