,Total Length,Num Contigs,Num Contigs > 100 kb,Num Contigs > 50 kb,Num Contigs > 20 kb,Num Contigs > 10 kb,Num Contigs > 5 kb,Num Contigs > 2.5 kb,Longest Contig,Shortest Contig,Mean Contig Length (trim 10%),L50,L75,L90,N50,N75,N90,Num Genes,Avg Gene Length,Avg Gene Length (trim 10%),Min Gene Length,Max Gene Length,Bacteria_71,Ribosomal_RNA_16S,bacteria (Bacteria_71)
P1211_Sourdough_BE,3200753.0,72.0,10.0,15.0,27.0,32.0,36.0,39.0,649251.0,105.0,21445.52,5.0,11.0,20.0,156785.0,98910.0,38035.0,3047.0,889.29,804.95,78.0,8754.0,72.0,1.0,1.0
P2271_Sourdough_CN,3292446.0,14.0,1.0,2.0,5.0,8.0,11.0,11.0,3042291.0,1949.0,20683.83,1.0,1.0,1.0,3042291.0,3042291.0,3042291.0,3183.0,868.66,782.88,72.0,9801.0,72.0,5.0,1.0
P2302_Sourdough_BE,3298638.0,140.0,11.0,16.0,27.0,37.0,42.0,48.0,452762.0,105.0,6559.55,6.0,13.0,24.0,156785.0,89232.0,28553.0,3201.0,872.21,788.11,66.0,8754.0,72.0,1.0,1.0
P2336_Sourdough_BE,3231974.0,109.0,9.0,17.0,29.0,33.0,39.0,44.0,385494.0,110.0,12115.94,7.0,14.0,23.0,174577.0,77244.0,37592.0,3130.0,870.09,790.73,60.0,6072.0,72.0,1.0,1.0
P2466_Sourdough_Lib,3219740.0,32.0,10.0,12.0,16.0,17.0,17.0,19.0,665995.0,107.0,58968.96,3.0,7.0,11.0,365646.0,156785.0,80415.0,3042.0,892.66,806.42,90.0,8754.0,72.0,1.0,1.0
P2468_Sourdough_Lib,3219636.0,42.0,10.0,13.0,18.0,19.0,19.0,23.0,665995.0,105.0,39313.88,3.0,8.0,12.0,365646.0,137109.0,80415.0,3053.0,889.81,803.78,78.0,8754.0,72.0,1.0,1.0
P2474_Sourdough_Lib,3214001.0,42.0,10.0,13.0,18.0,19.0,19.0,23.0,665995.0,105.0,39314.88,3.0,8.0,12.0,365646.0,137109.0,80415.0,3045.0,891.26,805.31,90.0,8754.0,72.0,1.0,1.0
P2505_Sourdough_Lib,3376425.0,319.0,8.0,21.0,41.0,61.0,79.0,104.0,207826.0,101.0,3339.89,14.0,32.0,59.0,69973.0,28765.0,10880.0,3470.0,818.21,733.31,60.0,6885.0,72.0,1.0,1.0
P2506_Topinambur_IT,3253644.0,155.0,9.0,16.0,27.0,37.0,44.0,51.0,727937.0,100.0,5249.37,5.0,13.0,25.0,140040.0,78264.0,22238.0,3202.0,857.36,772.82,66.0,8274.0,72.0,1.0,1.0
P2538_Sourdough_Lib,3335497.0,6.0,1.0,1.0,3.0,4.0,4.0,4.0,3251155.0,1901.0,555916.17,1.0,1.0,1.0,3251155.0,3251155.0,3251155.0,3136.0,894.45,811.53,72.0,7950.0,72.0,5.0,1.0
