query	subject	pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	evalue	bitscore	function	genome
00000024|gene_cluster:GC_00004182|genome_name:P2505_Sourdough_Lib|gene_callers_id:2503	sp|Q9S4X2|YUBD_ECOLI	29.252	147	95	3	100	246	68	205	3.79e-12	67.4	sp|Q9S4X2|YUBD_ECOLI Putative methylase YubD OS=Escherichia coli (strain K12) OX=83333 GN=yubD PE=3 SV=1	P2505_Sourdough_Lib
00000024|gene_cluster:GC_00004182|genome_name:P2505_Sourdough_Lib|gene_callers_id:2503	sp|Q58392|MTM1_METJA	28.824	170	95	4	102	246	116	284	1.16e-09	61.2	sp|Q58392|MTM1_METJA Type II methyltransferase M.MjaI OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=mjaIM PE=1 SV=1	P2505_Sourdough_Lib
00000024|gene_cluster:GC_00004182|genome_name:P2505_Sourdough_Lib|gene_callers_id:2503	sp|P09358|MTD22_STREE	35.802	81	46	1	166	246	187	261	1.51e-07	54.7	sp|P09358|MTD22_STREE Type II methyltransferase M2.DpnII OS=Streptococcus pneumoniae OX=1313 GN=dpnA PE=1 SV=1	P2505_Sourdough_Lib
00000024|gene_cluster:GC_00004182|genome_name:P2505_Sourdough_Lib|gene_callers_id:2503	sp|Q04845|MTC1_CITFR	33.333	81	54	0	175	255	295	375	1.66e-07	55.1	sp|Q04845|MTC1_CITFR Type II methyltransferase M.CfrBI OS=Citrobacter freundii OX=546 GN=cfrBIM PE=1 SV=1	P2505_Sourdough_Lib
00000024|gene_cluster:GC_00004182|genome_name:P2505_Sourdough_Lib|gene_callers_id:2503	sp|P28638|YHDJ_ECOLI	27.465	142	85	3	117	246	121	256	1.96e-07	54.3	sp|P28638|YHDJ_ECOLI DNA adenine methyltransferase YhdJ OS=Escherichia coli (strain K12) OX=83333 GN=yhdJ PE=1 SV=3	P2505_Sourdough_Lib
00000034|gene_cluster:GC_00004326|genome_name:P2505_Sourdough_Lib|gene_callers_id:3023	sp|C5D6U5|MENE_GEOSW	44.215	484	255	6	3	473	5	486	2.76e-127	381.0	sp|C5D6U5|MENE_GEOSW 2-succinylbenzoate--CoA ligase OS=Geobacillus sp. (strain WCH70) OX=471223 GN=menE PE=3 SV=1	P2505_Sourdough_Lib
00000034|gene_cluster:GC_00004326|genome_name:P2505_Sourdough_Lib|gene_callers_id:3023	sp|Q65FT5|MENE_BACLD	41.667	480	263	5	1	467	3	478	2.93e-119	360.0	sp|Q65FT5|MENE_BACLD 2-succinylbenzoate--CoA ligase OS=Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46) OX=279010 GN=menE PE=3 SV=1	P2505_Sourdough_Lib
00000034|gene_cluster:GC_00004326|genome_name:P2505_Sourdough_Lib|gene_callers_id:3023	sp|Q71YZ5|MENE_LISMF	41.189	471	265	7	3	469	1	463	4.06e-119	360.0	sp|Q71YZ5|MENE_LISMF 2-succinylbenzoate--CoA ligase OS=Listeria monocytogenes serotype 4b (strain F2365) OX=265669 GN=menE PE=3 SV=1	P2505_Sourdough_Lib
00000034|gene_cluster:GC_00004326|genome_name:P2505_Sourdough_Lib|gene_callers_id:3023	sp|Q5KVX9|MENE_GEOKA	43.595	484	254	7	3	471	4	483	3.55e-118	358.0	sp|Q5KVX9|MENE_GEOKA 2-succinylbenzoate--CoA ligase OS=Geobacillus kaustophilus (strain HTA426) OX=235909 GN=menE PE=3 SV=1	P2505_Sourdough_Lib
00000034|gene_cluster:GC_00004326|genome_name:P2505_Sourdough_Lib|gene_callers_id:3023	sp|P58730|MENE_LISMO	40.127	471	270	7	3	469	1	463	5.78e-117	354.0	sp|P58730|MENE_LISMO 2-succinylbenzoate--CoA ligase OS=Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e) OX=169963 GN=menE PE=3 SV=2	P2505_Sourdough_Lib
00000036|gene_cluster:GC_00005151|genome_name:P2505_Sourdough_Lib|gene_callers_id:3274	sp|Q851R5|TRH22_ORYSJ	23.729	118	82	3	19	132	5	118	3.39e-05	44.3	sp|Q851R5|TRH22_ORYSJ Thioredoxin H2-2 OS=Oryza sativa subsp. japonica OX=39947 GN=Os03g0800700 PE=2 SV=1	P2505_Sourdough_Lib
00000036|gene_cluster:GC_00005151|genome_name:P2505_Sourdough_Lib|gene_callers_id:3274	sp|O84544|THIO_CHLTR	30.435	69	44	1	61	129	23	87	0.001	39.7	sp|O84544|THIO_CHLTR Thioredoxin OS=Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx) OX=272561 GN=trxA PE=3 SV=1	P2505_Sourdough_Lib
00000036|gene_cluster:GC_00005151|genome_name:P2505_Sourdough_Lib|gene_callers_id:3274	sp|P22803|TRX2_YEAST	24.691	81	57	1	55	135	20	96	0.002	38.9	sp|P22803|TRX2_YEAST Thioredoxin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRX2 PE=1 SV=3	P2505_Sourdough_Lib
00000036|gene_cluster:GC_00005151|genome_name:P2505_Sourdough_Lib|gene_callers_id:3274	sp|P68570|BDBA_BPSPB	27.907	129	89	3	14	141	7	132	0.005	38.5	sp|P68570|BDBA_BPSPB Disulfide bond formation protein A OS=Bacillus phage SPbeta OX=2932878 GN=bdbA PE=3 SV=1	P2505_Sourdough_Lib
00000036|gene_cluster:GC_00005151|genome_name:P2505_Sourdough_Lib|gene_callers_id:3274	sp|P68569|BDBA_BACSU	27.907	129	89	3	14	141	7	132	0.005	38.5	sp|P68569|BDBA_BACSU SPbeta prophage-derived disulfide bond formation protein A OS=Bacillus subtilis (strain 168) OX=224308 GN=bdbA PE=3 SV=1	P2505_Sourdough_Lib
00000074|gene_cluster:GC_00004442|genome_name:P2505_Sourdough_Lib|gene_callers_id:3086	sp|P23648|NSR_LACLL	35.548	301	191	2	8	305	16	316	2.3400000000000002e-64	208.0	sp|P23648|NSR_LACLL Nisin-resistance protein OS=Lactococcus lactis subsp. lactis OX=1360 GN=nsr PE=4 SV=1	P2505_Sourdough_Lib
00000074|gene_cluster:GC_00004442|genome_name:P2505_Sourdough_Lib|gene_callers_id:3086	sp|Q55669|CTPA_SYNY3	22.596	208	138	4	89	296	200	384	5.82e-05	48.1	sp|Q55669|CTPA_SYNY3 Carboxyl-terminal-processing protease OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=ctpA PE=3 SV=1	P2505_Sourdough_Lib
00000074|gene_cluster:GC_00004442|genome_name:P2505_Sourdough_Lib|gene_callers_id:3086	sp|O04073|CTPA_TETOB	23.656	186	119	6	110	292	274	439	0.001	44.3	sp|O04073|CTPA_TETOB C-terminal processing peptidase, chloroplastic OS=Tetradesmus obliquus OX=3088 GN=ctpA PE=1 SV=1	P2505_Sourdough_Lib
00000082|gene_cluster:GC_00005031|genome_name:P2505_Sourdough_Lib|gene_callers_id:290	sp|O31695|YKUC_BACSU	23.894	226	154	4	3	215	5	225	2.2e-10	63.9	sp|O31695|YKUC_BACSU Uncharacterized MFS-type transporter YkuC OS=Bacillus subtilis (strain 168) OX=224308 GN=ykuC PE=3 SV=2	P2505_Sourdough_Lib
00000082|gene_cluster:GC_00005031|genome_name:P2505_Sourdough_Lib|gene_callers_id:290	sp|O31561|YFIS_BACSU	22.433	263	194	3	2	259	7	264	3.75e-10	63.2	sp|O31561|YFIS_BACSU Uncharacterized MFS-type transporter YfiS OS=Bacillus subtilis (strain 168) OX=224308 GN=yfiS PE=3 SV=1	P2505_Sourdough_Lib
