query	subject	pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	evalue	bitscore	function	genome
00000019|gene_cluster:GC_00004593|genome_name:P3337_BambaraGroudhut_BE|gene_callers_id:2946	sp|D9J041|MERA_LYSSH	34.884	86	55	1	1	86	210	294	3e-10	58.2	sp|D9J041|MERA_LYSSH Mercuric reductase OS=Lysinibacillus sphaericus OX=1421 GN=merA PE=1 SV=2	P3337_BambaraGroudhut_BE
00000019|gene_cluster:GC_00004593|genome_name:P3337_BambaraGroudhut_BE|gene_callers_id:2946	sp|A8MS68|PLPD1_ARATH	38.372	86	52	1	1	86	215	299	2.32e-09	55.8	sp|A8MS68|PLPD1_ARATH Dihydrolipoyl dehydrogenase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LPD1 PE=2 SV=1	P3337_BambaraGroudhut_BE
00000019|gene_cluster:GC_00004593|genome_name:P3337_BambaraGroudhut_BE|gene_callers_id:2946	sp|F4JLP5|PLPD2_ARATH	38.372	86	52	1	1	86	212	296	3.61e-09	55.1	sp|F4JLP5|PLPD2_ARATH Dihydrolipoyl dehydrogenase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LPD2 PE=2 SV=2	P3337_BambaraGroudhut_BE
00000019|gene_cluster:GC_00004593|genome_name:P3337_BambaraGroudhut_BE|gene_callers_id:2946	sp|O84561|DLDH_CHLTR	39.726	73	44	0	16	88	148	220	1.42e-08	53.5	sp|O84561|DLDH_CHLTR Dihydrolipoyl dehydrogenase OS=Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx) OX=272561 GN=lpdA PE=3 SV=1	P3337_BambaraGroudhut_BE
00000019|gene_cluster:GC_00004593|genome_name:P3337_BambaraGroudhut_BE|gene_callers_id:2946	sp|P21880|DLDH1_BACSU	36.923	65	41	0	27	91	162	226	2.1e-08	52.8	sp|P21880|DLDH1_BACSU Dihydrolipoyl dehydrogenase OS=Bacillus subtilis (strain 168) OX=224308 GN=pdhD PE=3 SV=1	P3337_BambaraGroudhut_BE
00000022|gene_cluster:GC_00004096|genome_name:P3337_BambaraGroudhut_BE|gene_callers_id:312	sp|Q6QGD3|ENDO1_BPT5	31.092	119	70	7	12	126	62	172	0.000597	44.7	sp|Q6QGD3|ENDO1_BPT5 Putative endonuclease OS=Escherichia phage T5 OX=2695836 GN=T5.154 PE=2 SV=1	P3337_BambaraGroudhut_BE
00000022|gene_cluster:GC_00004096|genome_name:P3337_BambaraGroudhut_BE|gene_callers_id:312	sp|Q6QGD3|ENDO1_BPT5	24.576	118	80	5	73	189	61	170	0.000782	44.7	sp|Q6QGD3|ENDO1_BPT5 Putative endonuclease OS=Escherichia phage T5 OX=2695836 GN=T5.154 PE=2 SV=1	P3337_BambaraGroudhut_BE
00000022|gene_cluster:GC_00004096|genome_name:P3337_BambaraGroudhut_BE|gene_callers_id:312	sp|Q6QGE6|ENDO2_BPT5	31.507	73	48	1	70	140	11	83	0.000618	44.7	sp|Q6QGE6|ENDO2_BPT5 Putative endonuclease OS=Escherichia phage T5 OX=2695836 GN=T5.141 PE=2 SV=1	P3337_BambaraGroudhut_BE
00000040|gene_cluster:GC_00004169|genome_name:P3337_BambaraGroudhut_BE|gene_callers_id:2801	sp|Q4WKX1|FGNC_ASPFU	34.572	269	136	12	6	250	9	261	5.16e-30	115.0	sp|Q4WKX1|FGNC_ASPFU Short-chain dehydrogenase/reductase AFUA_1G00990 OS=Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) OX=330879 GN=AFUA_1G00980 PE=2 SV=1	P3337_BambaraGroudhut_BE
00000040|gene_cluster:GC_00004169|genome_name:P3337_BambaraGroudhut_BE|gene_callers_id:2801	sp|W6QCN3|ANUI_PENRF	36.771	223	128	8	3	218	6	222	7.54e-29	112.0	sp|W6QCN3|ANUI_PENRF Short-chain dehydrogenase anuI OS=Penicillium roqueforti (strain FM164) OX=1365484 GN=anuI PE=3 SV=1	P3337_BambaraGroudhut_BE
