query	subject	%pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	e-value	bitscore	function	genome
00000246|gene_cluster_GC_00004086|genome_name_P2933_Rye_SD_BE|gene_callers_id_2263	sp|Q796S4|YHJH_BACSU	27.0	100	70	1	31	127	43	142	4.41e-06	47.8	sp|Q796S4|YHJH_BACSU Uncharacterized HTH-type transcriptional regulator YhjH OS=Bacillus subtilis (strain 168) OX=224308 GN=yhjH PE=4 SV=1	P2933_Rye_SD_BE
00000246|gene_cluster_GC_00004086|genome_name_P2933_Rye_SD_BE|gene_callers_id_2263	sp|Q4L8Q3|SARZ_STAHJ	29.358	109	72	2	29	137	28	131	0.001	40.8	sp|Q4L8Q3|SARZ_STAHJ HTH-type transcriptional regulator SarZ OS=Staphylococcus haemolyticus (strain JCSC1435) OX=279808 GN=sarZ PE=3 SV=1	P2933_Rye_SD_BE
00000301|gene_cluster_GC_00003391|genome_name_P2933_Rye_SD_BE|gene_callers_id_2332	sp|P26907|GSIB_BACSU	70.833	120	35	0	5	124	3	122	5.09e-54	168.0	sp|P26907|GSIB_BACSU Glucose starvation-inducible protein B OS=Bacillus subtilis (strain 168) OX=224308 GN=gsiB PE=1 SV=3	P2933_Rye_SD_BE
00000301|gene_cluster_GC_00003391|genome_name_P2933_Rye_SD_BE|gene_callers_id_2332	sp|P26907|GSIB_BACSU	64.198	81	29	0	4	84	42	122	1.02e-26	99.4	sp|P26907|GSIB_BACSU Glucose starvation-inducible protein B OS=Bacillus subtilis (strain 168) OX=224308 GN=gsiB PE=1 SV=3	P2933_Rye_SD_BE
00000301|gene_cluster_GC_00003391|genome_name_P2933_Rye_SD_BE|gene_callers_id_2332	sp|Q07187|EM1_ARATH	32.331	133	78	2	1	124	1	130	2.5e-08	52.4	sp|Q07187|EM1_ARATH Em-like protein GEA1 OS=Arabidopsis thaliana OX=3702 GN=EM1 PE=2 SV=1	P2933_Rye_SD_BE
00000301|gene_cluster_GC_00003391|genome_name_P2933_Rye_SD_BE|gene_callers_id_2332	sp|Q05191|LE194_HORVU	28.814	118	83	1	8	124	13	130	2.51e-06	47.4	sp|Q05191|LE194_HORVU Late embryogenesis abundant protein B19.4 OS=Hordeum vulgare OX=4513 GN=B19.4 PE=2 SV=1	P2933_Rye_SD_BE
00000301|gene_cluster_GC_00003391|genome_name_P2933_Rye_SD_BE|gene_callers_id_2332	sp|Q02400|LE193_HORVU	33.824	68	45	0	17	84	43	110	0.002	39.3	sp|Q02400|LE193_HORVU Late embryogenesis abundant protein B19.3 OS=Hordeum vulgare OX=4513 GN=B19.3 PE=2 SV=1	P2933_Rye_SD_BE
00000327|gene_cluster_GC_00003931|genome_name_P2933_Rye_SD_BE|gene_callers_id_2522	sp|P40397|YHXC_BACSU	53.169	284	124	3	7	290	11	285	6.27e-101	300.0	sp|P40397|YHXC_BACSU Uncharacterized oxidoreductase YhxC OS=Bacillus subtilis (strain 168) OX=224308 GN=yhxC PE=3 SV=2	P2933_Rye_SD_BE
00000327|gene_cluster_GC_00003931|genome_name_P2933_Rye_SD_BE|gene_callers_id_2522	sp|O07575|YHDF_BACSU	49.47	283	136	2	7	289	13	288	1.41e-91	276.0	sp|O07575|YHDF_BACSU Uncharacterized oxidoreductase YhdF OS=Bacillus subtilis (strain 168) OX=224308 GN=yhdF PE=3 SV=1	P2933_Rye_SD_BE
00000327|gene_cluster_GC_00003931|genome_name_P2933_Rye_SD_BE|gene_callers_id_2522	sp|P80873|GS39_BACSU	47.518	282	146	1	7	288	5	284	8.600000000000001e-88	266.0	sp|P80873|GS39_BACSU General stress protein 39 OS=Bacillus subtilis (strain 168) OX=224308 GN=ydaD PE=1 SV=3	P2933_Rye_SD_BE
00000327|gene_cluster_GC_00003931|genome_name_P2933_Rye_SD_BE|gene_callers_id_2522	sp|Q9FZ42|ADRC1_ARATH	43.403	288	154	4	9	289	2	287	1.02e-85	261.0	sp|Q9FZ42|ADRC1_ARATH NADPH-dependent aldehyde reductase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ChlADR1 PE=1 SV=1	P2933_Rye_SD_BE
00000327|gene_cluster_GC_00003931|genome_name_P2933_Rye_SD_BE|gene_callers_id_2522	sp|Q9MA93|GRDH2_ARATH	43.581	296	152	6	1	289	1	288	8.94e-81	248.0	sp|Q9MA93|GRDH2_ARATH Glucose and ribitol dehydrogenase homolog 2 OS=Arabidopsis thaliana OX=3702 GN=At3g05260 PE=2 SV=1	P2933_Rye_SD_BE
00000350|gene_cluster_GC_00003859|genome_name_P2933_Rye_SD_BE|gene_callers_id_2176	sp|P71059|EPSJ_BACSU	27.434	226	151	3	4	228	5	218	5.72e-21	95.5	sp|P71059|EPSJ_BACSU Uncharacterized glycosyltransferase EpsJ OS=Bacillus subtilis (strain 168) OX=224308 GN=epsJ PE=2 SV=1	P2933_Rye_SD_BE
00000350|gene_cluster_GC_00003859|genome_name_P2933_Rye_SD_BE|gene_callers_id_2176	sp|A0A0H2URH7|GLYAT_STRPN	39.496	119	71	1	3	121	6	123	7.88e-20	94.0	sp|A0A0H2URH7|GLYAT_STRPN Glycosyltransferase GlyA OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=glyA PE=3 SV=1	P2933_Rye_SD_BE
00000350|gene_cluster_GC_00003859|genome_name_P2933_Rye_SD_BE|gene_callers_id_2176	sp|Q57022|Y868_HAEIN	40.385	104	62	0	1	104	3	106	1.62e-18	87.0	sp|Q57022|Y868_HAEIN Uncharacterized glycosyltransferase HI_0868 OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=HI_0868 PE=3 SV=1	P2933_Rye_SD_BE
00000350|gene_cluster_GC_00003859|genome_name_P2933_Rye_SD_BE|gene_callers_id_2176	sp|P71057|EPSH_BACSU	34.884	129	73	3	4	132	6	123	3.38e-18	87.4	sp|P71057|EPSH_BACSU Putative glycosyltransferase EpsH OS=Bacillus subtilis (strain 168) OX=224308 GN=epsH PE=2 SV=1	P2933_Rye_SD_BE
00000350|gene_cluster_GC_00003859|genome_name_P2933_Rye_SD_BE|gene_callers_id_2176	sp|P11290|YIBD_ECOLI	27.586	232	158	6	3	234	7	228	6.22e-18	86.7	sp|P11290|YIBD_ECOLI Uncharacterized glycosyltransferase YibD OS=Escherichia coli (strain K12) OX=83333 GN=yibD PE=3 SV=2	P2933_Rye_SD_BE
00000401|gene_cluster_GC_00003805|genome_name_P2933_Rye_SD_BE|gene_callers_id_2356	sp|P58008|Y562A_THEMA	29.245	106	67	3	55	158	47	146	6.74e-05	46.2	sp|P58008|Y562A_THEMA Uncharacterized protein TM_0562.1 OS=Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8) OX=243274 GN=TM_0562.1 PE=4 SV=1	P2933_Rye_SD_BE
00000478|gene_cluster_GC_00003889|genome_name_P2933_Rye_SD_BE|gene_callers_id_2334	sp|Q68W27|DNLJ_RICTY	37.5	80	39	2	4	80	615	686	1.1e-06	48.1	sp|Q68W27|DNLJ_RICTY DNA ligase OS=Rickettsia typhi (strain ATCC VR-144 / Wilmington) OX=257363 GN=ligA PE=3 SV=1	P2933_Rye_SD_BE
00000478|gene_cluster_GC_00003889|genome_name_P2933_Rye_SD_BE|gene_callers_id_2334	sp|Q30ZK6|DNLJ_OLEA2	40.26	77	38	2	4	80	612	680	4.78e-06	46.2	sp|Q30ZK6|DNLJ_OLEA2 DNA ligase OS=Oleidesulfovibrio alaskensis (strain ATCC BAA-1058 / DSM 17464 / G20) OX=207559 GN=ligA PE=3 SV=1	P2933_Rye_SD_BE
00000478|gene_cluster_GC_00003889|genome_name_P2933_Rye_SD_BE|gene_callers_id_2334	sp|B5Y6V5|DNLJ_COPPD	40.26	77	38	2	4	80	589	657	7.31e-06	45.8	sp|B5Y6V5|DNLJ_COPPD DNA ligase OS=Coprothermobacter proteolyticus (strain ATCC 35245 / DSM 5265 / OCM 4 / BT) OX=309798 GN=ligA PE=3 SV=1	P2933_Rye_SD_BE
00000478|gene_cluster_GC_00003889|genome_name_P2933_Rye_SD_BE|gene_callers_id_2334	sp|A1UTB5|DNLJ_BARBK	40.506	79	36	2	6	84	643	710	9.2e-06	45.4	sp|A1UTB5|DNLJ_BARBK DNA ligase OS=Bartonella bacilliformis (strain ATCC 35685 / KC583 / Herrer 020/F12,63) OX=360095 GN=ligA PE=3 SV=1	P2933_Rye_SD_BE
