query	subject	%pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	e-value	bitscore	function	genome
00000102|gene_cluster_GC_00003615|genome_name_P2771_Cococa_Vietnam_BE|gene_callers_id_2339	sp|P45907|YQAJ_BACSU	40.925	281	151	4	17	285	14	291	3.22e-70	223.0	sp|P45907|YQAJ_BACSU Uncharacterized protein YqaJ OS=Bacillus subtilis (strain 168) OX=224308 GN=yqaJ PE=4 SV=1	P2771_Cococa_Vietnam_BE
00000136|gene_cluster_GC_00003341|genome_name_P2771_Cococa_Vietnam_BE|gene_callers_id_2340	sp|P45908|YQAK_BACSU	45.956	272	119	5	1	270	1	246	8.32e-80	247.0	sp|P45908|YQAK_BACSU Uncharacterized protein YqaK OS=Bacillus subtilis (strain 168) OX=224308 GN=yqaK PE=4 SV=1	P2771_Cococa_Vietnam_BE
00000136|gene_cluster_GC_00003341|genome_name_P2771_Cococa_Vietnam_BE|gene_callers_id_2340	sp|P33228|RECT_ECOLI	33.163	196	121	5	63	256	69	256	2.36e-20	92.0	sp|P33228|RECT_ECOLI Protein RecT OS=Escherichia coli (strain K12) OX=83333 GN=recT PE=1 SV=1	P2771_Cococa_Vietnam_BE
00000424|gene_cluster_GC_00003453|genome_name_P2771_Cococa_Vietnam_BE|gene_callers_id_2366	sp|Q7YSI9|UNC53_CAEEL	27.0	100	61	2	8	95	1268	1367	0.004	38.1	sp|Q7YSI9|UNC53_CAEEL Adapter protein unc-53 OS=Caenorhabditis elegans OX=6239 GN=unc-53 PE=1 SV=1	P2771_Cococa_Vietnam_BE
00000472|gene_cluster_GC_00003963|genome_name_P2771_Cococa_Vietnam_BE|gene_callers_id_1763	sp|Q9ZUC1|AOR_ARATH	27.778	180	116	5	11	178	88	265	2.02e-07	53.5	sp|Q9ZUC1|AOR_ARATH NADPH-dependent alkenal/one oxidoreductase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=AOR PE=1 SV=2	P2771_Cococa_Vietnam_BE
00000472|gene_cluster_GC_00003963|genome_name_P2771_Cococa_Vietnam_BE|gene_callers_id_1763	sp|Q7T3C7|RT4I1_DANRE	30.37	135	83	4	58	182	100	233	5.64e-06	49.3	sp|Q7T3C7|RT4I1_DANRE NAD(P)H oxidoreductase RTN4IP1, mitochondrial OS=Danio rerio OX=7955 GN=rtn4ip1 PE=2 SV=2	P2771_Cococa_Vietnam_BE
00000472|gene_cluster_GC_00003963|genome_name_P2771_Cococa_Vietnam_BE|gene_callers_id_1763	sp|P34055|INC11_HYPAT	34.167	120	75	3	60	176	63	181	4.01e-05	46.6	sp|P34055|INC11_HYPAT Protein indc11 OS=Hypocrea atroviridis OX=63577 GN=indc11 PE=2 SV=1	P2771_Cococa_Vietnam_BE
00000472|gene_cluster_GC_00003963|genome_name_P2771_Cococa_Vietnam_BE|gene_callers_id_1763	sp|P0DTN5|MPSG_MACPH	30.851	188	93	8	24	181	23	203	0.00019	44.7	sp|P0DTN5|MPSG_MACPH Trans-enoyl reductase mpsG OS=Macrophomina phaseolina (strain MS6) OX=1126212 GN=mpsG PE=1 SV=1	P2771_Cococa_Vietnam_BE
00000472|gene_cluster_GC_00003963|genome_name_P2771_Cococa_Vietnam_BE|gene_callers_id_1763	sp|A1CLZ2|CCSC_ASPCL	29.016	193	97	8	13	175	20	202	0.000285	44.3	sp|A1CLZ2|CCSC_ASPCL Trans-enoyl reductase ccsC OS=Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107) OX=344612 GN=ccsC PE=3 SV=1	P2771_Cococa_Vietnam_BE
00000524|gene_cluster_GC_00004033|genome_name_P2771_Cococa_Vietnam_BE|gene_callers_id_2364	sp|Q12404|MPD1_YEAST	37.931	58	33	1	55	112	54	108	0.000307	42.7	sp|Q12404|MPD1_YEAST Protein disulfide-isomerase MPD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MPD1 PE=1 SV=1	P2771_Cococa_Vietnam_BE
