P1211_Sourdough_BE: contigs=72, bases=3200753, CDS=2989

P2271_Sourdough_CN: contigs=14, bases=3292446, CDS=3137

P2302_Sourdough_BE: contigs=140, bases=3298638, CDS=3074

P2336_Sourdough_BE: contigs=109, bases=3231974, CDS=3041

P2466_Sourdough_Lib: contigs=32, bases=3219740, CDS=3010

P2468_Sourdough_Lib: contigs=42, bases=3219636, CDS=3008

P2474_Sourdough_Lib: contigs=42, bases=3214001, CDS=3002

P2505_Sourdough_Lib: contigs=319, bases=3376425, CDS=3232

P2506_Topinambur_IT: contigs=155, bases=3253644, CDS=3073

P2538_Sourdough_Lib: contigs=6, bases=3335497, CDS=3117

P2584_Sourdough_BE: contigs=137, bases=3292250, CDS=3069

P2600_Strawberry_BE: contigs=48, bases=3201422, CDS=2990

P2603_Strawberry_BE: contigs=39, bases=3202006, CDS=2992

P2604_Strawberry_BE: contigs=39, bases=3202007, CDS=2994

P2617_FreshMango_BE: contigs=35, bases=3197134, CDS=2989

P2620_FreshMango_BE: contigs=35, bases=3197204, CDS=2989

P2709_Sourdough_BE: contigs=74, bases=3201448, CDS=2991

P2715_MarsSourdough_BE: contigs=35, bases=3225549, CDS=3013

P2716_MarsSourdough_BE: contigs=34, bases=3219868, CDS=3007

P2731_FreshMango_BE: contigs=39, bases=3219850, CDS=3010

P2732_FreshMango_BE: contigs=75, bases=3226348, CDS=3020

P2733_FreshMango_BE: contigs=97, bases=3226376, CDS=3016

P2734_FreshMango_BE: contigs=35, bases=3225538, CDS=3013

P2811_SweetCherry_BE: contigs=57, bases=3265363, CDS=3085

P2813_SweetCherry_BE: contigs=52, bases=3215646, CDS=3011

P2814_SweetCherry_BE: contigs=173, bases=3291242, CDS=3087

P2827_FermentedMango_BE: contigs=66, bases=3199772, CDS=2989

P2918_Fermented_IQF_Mango_BE: contigs=109, bases=3236013, CDS=3027

P3181_GREEN_Injera_BE: contigs=285, bases=2584792, CDS=2427

P3181_WHITE_Injera_BE: contigs=288, bases=2586539, CDS=2424

P331_Cacoa_CR: contigs=111, bases=3321333, CDS=3130

P3336_GreenBanana_BE: contigs=113, bases=3224058, CDS=3018

P3337_BambaraGroudhut_BE: contigs=198, bases=3279644, CDS=3150

P3338_BambaraGroudhut_BE: contigs=121, bases=3012425, CDS=2807

P3340_RedCowpea_BE: contigs=62, bases=2993737, CDS=2784

P3341_WhiteCowpea_BE: contigs=92, bases=3227069, CDS=3016

P3342_SorghumSeso_BE: contigs=65, bases=3209379, CDS=2989

P840_1_Sourdough_BE: contigs=70, bases=3200615, CDS=2991

P840_2_Sourdough_BE: contigs=71, bases=3200685, CDS=2990

P840-Sourdough_BE: contigs=70, bases=3200572, CDS=2990

