query	subject	pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	evalue	bitscore	function	genome
00000012|gene_cluster:GC_00004991|genome_name:P2918_Fermented_IQF_Mango_BE|gene_callers_id:2464	sp|Q54LN9|ACMSD_DICDI	25.0	252	178	5	96	344	113	356	2.12e-13	73.9	sp|Q54LN9|ACMSD_DICDI 2-amino-3-carboxymuconate-6-semialdehyde decarboxylase OS=Dictyostelium discoideum OX=44689 GN=acmsd PE=3 SV=1	P2918_Fermented_IQF_Mango_BE
00000012|gene_cluster:GC_00004991|genome_name:P2918_Fermented_IQF_Mango_BE|gene_callers_id:2464	sp|Q8R5M5|ACMSD_RAT	24.128	344	232	11	1	335	1	324	1.41e-10	65.1	sp|Q8R5M5|ACMSD_RAT 2-amino-3-carboxymuconate-6-semialdehyde decarboxylase OS=Rattus norvegicus OX=10116 GN=Acmsd PE=1 SV=1	P2918_Fermented_IQF_Mango_BE
00000012|gene_cluster:GC_00004991|genome_name:P2918_Fermented_IQF_Mango_BE|gene_callers_id:2464	sp|Q0II68|ACMSD_BOVIN	23.596	356	219	14	1	335	1	324	1.1e-09	62.4	sp|Q0II68|ACMSD_BOVIN 2-amino-3-carboxymuconate-6-semialdehyde decarboxylase OS=Bos taurus OX=9913 GN=ACMSD PE=2 SV=1	P2918_Fermented_IQF_Mango_BE
00000012|gene_cluster:GC_00004991|genome_name:P2918_Fermented_IQF_Mango_BE|gene_callers_id:2464	sp|Q8TDX5|ACMSD_HUMAN	23.887	247	168	6	95	334	89	322	1.62e-09	62.0	sp|Q8TDX5|ACMSD_HUMAN 2-amino-3-carboxymuconate-6-semialdehyde decarboxylase OS=Homo sapiens OX=9606 GN=ACMSD PE=1 SV=1	P2918_Fermented_IQF_Mango_BE
00000012|gene_cluster:GC_00004991|genome_name:P2918_Fermented_IQF_Mango_BE|gene_callers_id:2464	sp|Q60GU1|GRDC_RHIS5	22.388	335	206	13	47	341	4	324	7.09e-09	60.1	sp|Q60GU1|GRDC_RHIS5 Gamma-resorcylate decarboxylase OS=Rhizobium sp. (strain MTP-10005) OX=267998 GN=graF PE=1 SV=1	P2918_Fermented_IQF_Mango_BE
00000029|gene_cluster:GC_00005023|genome_name:P2918_Fermented_IQF_Mango_BE|gene_callers_id:2649	sp|P71039|MTA_BACSU	29.762	252	172	2	2	248	1	252	3.53e-35	129.0	sp|P71039|MTA_BACSU HTH-type transcriptional activator mta OS=Bacillus subtilis (strain 168) OX=224308 GN=mta PE=1 SV=1	P2918_Fermented_IQF_Mango_BE
00000029|gene_cluster:GC_00005023|genome_name:P2918_Fermented_IQF_Mango_BE|gene_callers_id:2649	sp|B8H172|SKGA_CAUVN	34.167	240	143	6	1	231	1	234	1.68e-33	125.0	sp|B8H172|SKGA_CAUVN HTH-type transcriptional regulator SkgA OS=Caulobacter vibrioides (strain NA1000 / CB15N) OX=565050 GN=skgA PE=3 SV=1	P2918_Fermented_IQF_Mango_BE
00000029|gene_cluster:GC_00005023|genome_name:P2918_Fermented_IQF_Mango_BE|gene_callers_id:2649	sp|P0CAV4|SKGA_CAUVC	34.167	240	143	6	1	231	1	234	1.68e-33	125.0	sp|P0CAV4|SKGA_CAUVC HTH-type transcriptional regulator SkgA OS=Caulobacter vibrioides (strain ATCC 19089 / CIP 103742 / CB 15) OX=190650 GN=skgA PE=1 SV=1	P2918_Fermented_IQF_Mango_BE
00000029|gene_cluster:GC_00005023|genome_name:P2918_Fermented_IQF_Mango_BE|gene_callers_id:2649	sp|P0A4T9|TIPA_STRLI	31.373	255	159	6	2	246	1	249	3.520000000000001e-27	108.0	sp|P0A4T9|TIPA_STRLI HTH-type transcriptional activator TipA OS=Streptomyces lividans OX=1916 GN=tipA PE=1 SV=1	P2918_Fermented_IQF_Mango_BE
00000029|gene_cluster:GC_00005023|genome_name:P2918_Fermented_IQF_Mango_BE|gene_callers_id:2649	sp|P0A4T8|TIPA_STRCO	31.373	255	159	6	2	246	1	249	3.520000000000001e-27	108.0	sp|P0A4T8|TIPA_STRCO HTH-type transcriptional activator TipA OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) OX=100226 GN=tipA PE=3 SV=1	P2918_Fermented_IQF_Mango_BE
00000047|gene_cluster:GC_00004138|genome_name:P2918_Fermented_IQF_Mango_BE|gene_callers_id:2091	sp|Q8NUR1|ATRF2_STAAW	36.17	141	86	2	2	142	63	199	1.84e-25	102.0	sp|Q8NUR1|ATRF2_STAAW Putative acetyltransferase MW2476 OS=Staphylococcus aureus (strain MW2) OX=196620 GN=MW2476 PE=3 SV=1	P2918_Fermented_IQF_Mango_BE
00000047|gene_cluster:GC_00004138|genome_name:P2918_Fermented_IQF_Mango_BE|gene_callers_id:2091	sp|Q6G6B9|ATRF2_STAAS	36.17	141	86	2	2	142	63	199	1.84e-25	102.0	sp|Q6G6B9|ATRF2_STAAS Putative acetyltransferase SAS2441 OS=Staphylococcus aureus (strain MSSA476) OX=282459 GN=SAS2441 PE=3 SV=1	P2918_Fermented_IQF_Mango_BE
00000047|gene_cluster:GC_00004138|genome_name:P2918_Fermented_IQF_Mango_BE|gene_callers_id:2091	sp|Q5HCZ5|ATRF2_STAAC	36.17	141	86	2	2	142	63	199	1.84e-25	102.0	sp|Q5HCZ5|ATRF2_STAAC Putative acetyltransferase SACOL2570 OS=Staphylococcus aureus (strain COL) OX=93062 GN=SACOL2570 PE=1 SV=1	P2918_Fermented_IQF_Mango_BE
00000047|gene_cluster:GC_00004138|genome_name:P2918_Fermented_IQF_Mango_BE|gene_callers_id:2091	sp|Q7A3E8|ATRF2_STAAN	36.17	141	86	2	2	142	63	199	2.02e-25	101.0	sp|Q7A3E8|ATRF2_STAAN Putative acetyltransferase SA2342 OS=Staphylococcus aureus (strain N315) OX=158879 GN=SA2342 PE=1 SV=1	P2918_Fermented_IQF_Mango_BE
00000047|gene_cluster:GC_00004138|genome_name:P2918_Fermented_IQF_Mango_BE|gene_callers_id:2091	sp|Q7A2K9|ATRF2_STAAM	36.17	141	86	2	2	142	63	199	2.02e-25	101.0	sp|Q7A2K9|ATRF2_STAAM Putative acetyltransferase SAV2555 OS=Staphylococcus aureus (strain Mu50 / ATCC 700699) OX=158878 GN=SAV2555 PE=3 SV=1	P2918_Fermented_IQF_Mango_BE
