layers	Type_strain	Reference	P568_Madre_SD_BE	P527_SD_Italy	P526_SD_Italy	P518_SD_Italy	P516_SD_Italy	P515_SD_Italy	P2800_SD_BE	P2799_SD_BE	P2187_Madre_SD_BE	P2186_Madre_SD_BE	P2185_Madre_SD_BE	P2183_Madre_SD_BE	P2182_Madre_SD_BE	P1194_Madre_SD_BE	P1191_Madre_SD_BE	P1190_Madre_SD_BE
P1190_Madre_SD_BE	0.870016880971626	0.917957025267209	0.914671845908539	0.894790109859504	0.881738766830602	0.879002700673428	0.88518297596242	0.897481459514765	0.987498954039473	0.999790384424059	0.984629161292107	0.980883508101433	0.984225631548235	0.999392223102174	0.992545013259404	0.884647964235045	0.893592567839274	1.0
P1191_Madre_SD_BE	0.920068891493753	0.93393844157088	0.91570683531771	0.922186444749582	0.908736768721273	0.973641195468606	0.91254831812543	0.923892794079464	0.924628798830288	0.927206546328248	0.937076696587634	0.936276610809261	0.933735042438355	0.926928522428565	0.927485052824416	0.907771634877573	1.0	0.926304378884578
P1194_Madre_SD_BE	0.859250792588355	0.876233165759519	0.86780853205215	0.861410076486288	0.851775810703765	0.862602625719122	0.85125734079744	0.862268817515041	0.876556518974308	0.880224320269695	0.887647211114354	0.884781721432038	0.884295945545978	0.880002830471037	0.876706982923004	1.0	0.869744156892494	0.879327335155522
P2182_Madre_SD_BE	0.869849993904809	0.916526467646173	0.913692631460369	0.899367172828194	0.88433102115682	0.880108775664383	0.886439883894347	0.901168205425982	0.994530207783464	0.999149370798964	0.984732109780137	0.982529606954617	0.983784005772717	0.998765739582022	1.0	0.884073783871626	0.896186182937011	0.99815460957902
P2183_Madre_SD_BE	0.869836481260718	0.916065413301901	0.915112415045224	0.89727155455243	0.884114520414468	0.881215565147085	0.88780916405298	0.900359135758527	0.986515433319135	0.999690249249733	0.98454922113394	0.98042539456973	0.98421055151803	1.0	0.991756671575613	0.886976717219504	0.896444399196035	0.998942162370474
P2185_Madre_SD_BE	0.864317845590018	0.923051375586883	0.912240190275156	0.891405378045128	0.877196175304316	0.882958320535651	0.880286848601781	0.894656211518758	0.969422496794066	0.9807957172074	0.99967147169927	0.994722373762187	1.0	0.980382971373616	0.972405503717348	0.884670706679727	0.899424395648633	0.980416233028485
P2186_Madre_SD_BE	0.86812722306686	0.927254783262389	0.915281213251305	0.891253854328394	0.87550786135889	0.883597095963454	0.877716413102859	0.893084178598457	0.968274472523167	0.977419810594913	0.999614183707519	1.0	0.996134420561822	0.977133877536838	0.972030834902374	0.891514942776975	0.901129110578041	0.97641778590754
P2187_Madre_SD_BE	0.864869429625276	0.923016083267232	0.915362935668643	0.889678206214628	0.876543024849304	0.881438201082659	0.876804730470729	0.891986267785384	0.965361102149636	0.977401206146908	1.0	0.992533356208573	0.99521556620072	0.976585150098097	0.96899557630824	0.886941185768154	0.897942109689831	0.975401770220575
P2799_SD_BE	0.870905879343801	0.916208870261774	0.915068892404252	0.894283275268382	0.880729323532611	0.877757167214762	0.882230461191633	0.895929586766024	0.987200293051818	1.0	0.983919974782955	0.979831264992642	0.983230906529102	0.999067276808225	0.990902987911463	0.885232572600183	0.891735451907613	0.998042347381207
P2800_SD_BE	0.871916968878475	0.916428324500267	0.912009926601718	0.895353798116805	0.879495339013697	0.881184321802364	0.881761316415294	0.897278602424834	1.0	0.999918645740098	0.985507077536756	0.983598488543618	0.984825981663819	0.999433347700703	0.999326335318713	0.886464004109301	0.895967600780762	0.99936510269734
P515_SD_Italy	0.849952225453527	0.911751179019992	0.89331284836937	0.968197190546324	0.928583852740135	0.856954830904429	0.929551257799199	1.0	0.869129959216401	0.871943242194793	0.872879626504368	0.870801894274983	0.870283996685076	0.87151311733097	0.870432130784341	0.847603993919159	0.86832618306034	0.872443066239938
P516_SD_Italy	0.90032060064944	0.962074746313776	0.937947681037303	0.996232837608645	0.991404720369319	0.908638994644754	1.0	0.996642704764417	0.916432343054524	0.91900323919552	0.918234283054006	0.916129028404544	0.916743144162265	0.918645755920481	0.917488718116551	0.891583755950707	0.915092786327432	0.919027895207093
