query	subject	%pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	e-value	bitscore	function	genome
00000001|gene_cluster_GC_00003331|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_2249	sp|Q9GME3|DHB8_CALJA	45.161	31	17	0	1	31	103	133	0.003	36.2	sp|Q9GME3|DHB8_CALJA Estradiol 17-beta-dehydrogenase 8 (Fragment) OS=Callithrix jacchus OX=9483 GN=HSD17B8 PE=2 SV=1	P2928_Oganic_Rye_SD_BE
00000001|gene_cluster_GC_00003331|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_2249	sp|Q5TJF5|DHB8_CANLF	48.387	31	16	0	1	31	219	249	0.006	35.4	sp|Q5TJF5|DHB8_CANLF (3R)-3-hydroxyacyl-CoA dehydrogenase OS=Canis lupus familiaris OX=9615 GN=HSD17B8 PE=3 SV=1	P2928_Oganic_Rye_SD_BE
00000023|gene_cluster_GC_00003637|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_2092	sp|P37746|RFBX_ECOLI	26.699	412	277	7	6	403	10	410	4.79e-26	112.0	sp|P37746|RFBX_ECOLI Putative O-antigen transporter OS=Escherichia coli (strain K12) OX=83333 GN=rfbX PE=1 SV=4	P2928_Oganic_Rye_SD_BE
00000023|gene_cluster_GC_00003637|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_2092	sp|Q03583|RFBX_SHIDY	22.955	379	278	7	20	392	17	387	2.27e-17	87.4	sp|Q03583|RFBX_SHIDY Putative O-antigen transporter OS=Shigella dysenteriae OX=622 GN=rfbX PE=3 SV=1	P2928_Oganic_Rye_SD_BE
00000023|gene_cluster_GC_00003637|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_2092	sp|D4GU68|AGL15_HALVD	20.642	218	153	5	193	402	192	397	0.006	42.7	sp|D4GU68|AGL15_HALVD Probable low-salt glycan biosynthesis flippase Agl15 OS=Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) OX=309800 GN=agl15 PE=3 SV=1	P2928_Oganic_Rye_SD_BE
00000049|gene_cluster_GC_00004022|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_2263	sp|P32153|FRVX_ECOLI	37.5	40	25	0	2	41	310	349	0.000243	38.9	sp|P32153|FRVX_ECOLI Putative aminopeptidase FrvX OS=Escherichia coli (strain K12) OX=83333 GN=frvX PE=3 SV=1	P2928_Oganic_Rye_SD_BE
00000111|gene_cluster_GC_00003533|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_2099	sp|P9WER1|BRAB_ANNTR	25.339	221	140	9	54	256	33	246	0.000608	44.7	sp|P9WER1|BRAB_ANNTR O-glycosyltransferase braB OS=Annulohypoxylon truncatum OX=327061 GN=braB PE=1 SV=1	P2928_Oganic_Rye_SD_BE
00000114|gene_cluster_GC_00004121|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_771	sp|F7V5D5|CAS1_CLOSS	54.515	299	135	1	17	314	3	301	1.07e-127	369.0	sp|F7V5D5|CAS1_CLOSS CRISPR-associated endonuclease Cas1 OS=Clostridium sp. (strain SY8519) OX=1042156 GN=cas1 PE=3 SV=2	P2928_Oganic_Rye_SD_BE
00000114|gene_cluster_GC_00004121|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_771	sp|Q53WG8|CAS1B_THET8	42.322	267	152	1	14	280	12	276	9.93e-69	220.0	sp|Q53WG8|CAS1B_THET8 CRISPR-associated endonuclease Cas1 2 OS=Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8) OX=300852 GN=cas1-2 PE=1 SV=1	P2928_Oganic_Rye_SD_BE
00000114|gene_cluster_GC_00004121|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_771	sp|Q74DC4|CAS1_GEOSL	38.148	270	164	2	18	286	13	280	4.93e-60	197.0	sp|Q74DC4|CAS1_GEOSL CRISPR-associated endonuclease Cas1 OS=Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA) OX=243231 GN=cas1 PE=3 SV=1	P2928_Oganic_Rye_SD_BE
00000114|gene_cluster_GC_00004121|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_771	sp|Q46896|CAS1_ECOLI	35.336	283	175	3	18	294	11	291	1.21e-58	193.0	sp|Q46896|CAS1_ECOLI CRISPR-associated endonuclease Cas1 OS=Escherichia coli (strain K12) OX=83333 GN=ygbT PE=1 SV=1	P2928_Oganic_Rye_SD_BE
00000114|gene_cluster_GC_00004121|genome_name_P2928_Oganic_Rye_SD_BE|gene_callers_id_771	sp|Q2RY21|CAS1A_RHORT	38.806	268	159	2	18	280	14	281	1.62e-58	193.0	sp|Q2RY21|CAS1A_RHORT CRISPR-associated endonuclease Cas1 1 OS=Rhodospirillum rubrum (strain ATCC 11170 / ATH 1.1.1 / DSM 467 / LMG 4362 / NCIMB 8255 / S1) OX=269796 GN=cas1-1 PE=3 SV=1	P2928_Oganic_Rye_SD_BE
