query,genome,gene_cluster,gene_callers_id,subject,pident,alignment_length,evalue,bitscore,function
00000001|gene_cluster_GC_00002788|genome_name_P2740_Qu_CN|gene_callers_id_1429,P2740_Qu_CN,GC_00002788,1429,sp|A0A150XSC5|CDNG_ROSEK,22.727,352.0,1.47e-13,75.1,sp|A0A150XSC5|CDNG_ROSEK c-di-GMP synthase OS=Roseivirga ehrenbergii (strain DSM 102268 / JCM 13514 / KCTC 12282 / NCIMB 14502 / KMM 6017) OX=279360 GN=cdnG PE=1 SV=1
00000019|gene_cluster_GC_00003028|genome_name_P2740_Qu_CN|gene_callers_id_1562,P2740_Qu_CN,GC_00003028,1562,sp|A2RI75|DPPB_LACLM,50.331,302.0,8.76e-93,280.0,sp|A2RI75|DPPB_LACLM Dipeptide transport system permease protein DppB OS=Lactococcus lactis subsp. cremoris (strain MG1363) OX=416870 GN=dppB PE=1 SV=1
00000041|gene_cluster_GC_00002984|genome_name_P2740_Qu_CN|gene_callers_id_1554,P2740_Qu_CN,GC_00002984,1554,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000043|gene_cluster_GC_00002538|genome_name_P2740_Qu_CN|gene_callers_id_1814,P2740_Qu_CN,GC_00002538,1814,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000044|gene_cluster_GC_00002776|genome_name_P2740_Qu_CN|gene_callers_id_1546,P2740_Qu_CN,GC_00002776,1546,sp|P37782|RFBF_SHIFL,30.112,269.0,5.03e-17,82.4,sp|P37782|RFBF_SHIFL dTDP-rhamnosyl transferase RfbF OS=Shigella flexneri OX=623 GN=rfbF PE=3 SV=2
00000049|gene_cluster_GC_00002658|genome_name_P2740_Qu_CN|gene_callers_id_1648,P2740_Qu_CN,GC_00002658,1648,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000057|gene_cluster_GC_00002934|genome_name_P2740_Qu_CN|gene_callers_id_1921,P2740_Qu_CN,GC_00002934,1921,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000058|gene_cluster_GC_00002775|genome_name_P2740_Qu_CN|gene_callers_id_1556,P2740_Qu_CN,GC_00002775,1556,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000062|gene_cluster_GC_00002790|genome_name_P2740_Qu_CN|gene_callers_id_1778,P2740_Qu_CN,GC_00002790,1778,sp|Q60296|T1SH_METJA,39.796,196.0,3.94e-46,164.0,sp|Q60296|T1SH_METJA Type I restriction enzyme MjaIX specificity subunit OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=hsdS PE=3 SV=1
00000085|gene_cluster_GC_00002908|genome_name_P2740_Qu_CN|gene_callers_id_1565,P2740_Qu_CN,GC_00002908,1565,sp|P72479|OPPF_STRMU,60.811,296.0,3.29e-125,362.0,sp|P72479|OPPF_STRMU Oligopeptide transport ATP-binding protein OppF OS=Streptococcus mutans serotype c (strain ATCC 700610 / UA159) OX=210007 GN=oppF PE=3 SV=2
