layers	Reference	P815_Cocoa_CR	P800_Unknown_BE	P363_Unknown_BE	P360_Cocoa_CR	P3378_Banana_BE	P3335_RedCowpea_BE	P3334_WhiteCowpea_BE	P3333_Amaranth_BE	P3124_LMG_BE	P2809_Apricot_BE	P2764_Cocoa_VN	P2763_Cocoa_VN	P2746_Cocoa_VN	P2740_Qu_CN	P2712_SD_BE	P2711_SD_BE	P240_SD_IT	P2176_Unknown_BE	P2052_Cocoa_CR	P2029_Cocoa_CR	P2024_Cocoa_CR	P2020_Cocoa_CR	P187_SD_IT
P187_SD_IT	0.7796085549819607	0.7583999741245219	0.8421875168460145	0.7474543528141053	0.7723555800370686	0.790477726015931	0.8621655422921949	0.861042311307486	0.8575025654948538	0.7623312825710032	0.8573486848102122	0.7707246408062172	0.7509029463740516	0.7699650387005021	0.7578020937574429	0.7817006462008623	0.8856509692032803	0.9969439492056522	0.8244108673087837	0.7470069226705454	0.75985792010162	0.7452343544019187	0.7759722661920215	1.0
P2020_Cocoa_CR	0.8052802638614643	0.9000583893944769	0.8415847593216366	0.9000719926584231	0.9054719652426142	0.8257055646767184	0.8251494004623017	0.8247794963234563	0.8231172821097198	0.7900032752473963	0.8232229690065327	0.835415155919565	0.8866235966402031	0.9013208769291783	0.7984582269924334	0.8146100101187356	0.8320943899093081	0.8288630915196206	0.8043212337532556	0.9027167810910446	0.9038024261944451	0.8968035468941132	1.0	0.8295929589505814
P2024_Cocoa_CR	0.8268647876528585	0.9301945789638714	0.8453455431487997	0.97604834424973	0.9209582839772846	0.8369285222799011	0.8370858446852245	0.8367804541337143	0.8341429902797617	0.8082751585200153	0.8345637868863882	0.8411430207643801	0.9119489905236386	0.9242860066891962	0.823406960944849	0.8276078502247152	0.8551675783019197	0.8253062615406055	0.8328169093822946	0.9510226500714211	0.9407574992161098	1.0	0.9315516888478557	0.8262001140995715
P2029_Cocoa_CR	0.8093594457635611	0.9160496383665175	0.841212805290868	0.9257978092768296	0.9412148438715436	0.8289979517628895	0.8407498328900315	0.8401602538998585	0.8369569998959251	0.7955207017867623	0.8373931488668174	0.8328058058777645	0.9032736386841069	0.9199336710224341	0.815963374215817	0.8208929841709576	0.8437663958215533	0.8301315099123303	0.8213387895766298	0.9162052142601937	1.0	0.9251030824412755	0.9215849213697974	0.8303337585741094
P2052_Cocoa_CR	0.8186114960891417	0.9283282451115629	0.8444149123787591	0.9568980767498473	0.9197929475401261	0.8387968860733941	0.8384756389399278	0.8380648550209516	0.8373225136719958	0.8124855520187018	0.8371797974623647	0.8440220358168848	0.9090246568027879	0.9196589136854535	0.8274566452031616	0.832618305226018	0.8494799812027015	0.8284958145622628	0.8369122724002045	1.0	0.9296702115998433	0.9520739432760045	0.9355134364869455	0.829588163345485
P2176_Unknown_BE	0.8020765021070297	0.7943946716564847	0.861376010284739	0.7924028355840734	0.7934304773801791	0.824048586238441	0.867959990618088	0.8671450540318039	0.8664086467528131	0.808169544254385	0.8658521808004684	0.7999130456941757	0.7828009375671204	0.7895378160219549	0.8019870515053444	0.8204003538499383	0.8838676359922178	0.8714912091381071	1.0	0.7926639065262014	0.7881757745928047	0.7895554981176369	0.7940529911605123	0.8731954511248673
P240_SD_IT	0.778767633230762	0.7540975405438014	0.8439702467892095	0.7435355038437279	0.7694685287109853	0.7901654122357774	0.8624325986583001	0.8616164747173239	0.8583362842622465	0.7596289382639514	0.8579728540697805	0.7724529723292786	0.7481109967796455	0.7679176970394908	0.7553722437424776	0.7794650660697452	0.884406147218165	1.0	0.8242150447347745	0.7440921749212568	0.7557935481086425	0.7420763880237735	0.7734775413873911	0.9985197944387824
P2711_SD_BE	0.7845355337976451	0.7588783135718975	0.8387494541677695	0.7435997886422943	0.7571693928816788	0.7809815329548897	0.8362316984961307	0.8336174368196207	0.8279269267997176	0.7638627053977433	0.8282866744317373	0.75927341488887	0.74438951352374	0.7418779686345929	0.7512763158020461	0.8000987992168681	1.0	0.8490507535590173	0.8072397658248349	0.735441209210686	0.743080949427987	0.7370994881359721	0.7494489124919858	0.8520132968075622
P2712_SD_BE	0.8093282175316335	0.725630365193879	0.7636109827325136	0.7263829765091607	0.7132990818709605	0.7941553652766615	0.7672396951143652	0.7661313555092709	0.7535890950357454	0.7820104608715438	0.7535890950357454	0.7569860163776926	0.7010690297368982	0.7174807814480129	0.7601596614526297	1.0	0.7944477058127043	0.7466618542431716	0.7453860574378197	0.72117098941188	0.7255589357101534	0.7125582966291433	0.7249056634119736	0.7482990558535989
P2740_Qu_CN	0.8684782776988503	0.8202932255720546	0.8300960636487743	0.8167978178661409	0.8182702990717176	0.8734990221721073	0.8385000979696524	0.8384354967274933	0.8355433898781065	0.858809981052082	0.8355439237726698	0.8557934767694467	0.7970415834458516	0.8143974279095518	1.0	0.8815149151454675	0.8453163298592814	0.8306112719023571	0.8285039900610188	0.8161336530293979	0.8190375055591771	0.8126206268028952	0.8168944527820978	0.8307789147952328
P2746_Cocoa_VN	0.7902369002229637	0.9136637470806785	0.8252174345527022	0.9037615992431722	0.8882980580890733	0.8169607945845331	0.8108655371392713	0.8106512507447113	0.8092142091456375	0.7764273325735426	0.8090628859139235	0.8223031395866865	0.9142579288611499	1.0	0.7988496259776486	0.8032189520178371	0.8301359686856149	0.8275132090366425	0.8061967392489077	0.8898663170359271	0.9049573702350378	0.8978282470738003	0.9060118709371564	0.8282544812311573
P2763_Cocoa_VN	0.8219922144108102	0.9402092204173895	0.8532031861707573	0.9317070471479124	0.9304371162885925	0.8367178789111243	0.8535141670609262	0.8532502206470284	0.8515636196626245	0.8089343371043917	0.8514999847829635	0.8511712967958455	1.0	0.9588570068919341	0.8295398644853736	0.8343429145328232	0.8615293951643025	0.8447131865304327	0.8385295362677313	0.9239330782404679	0.9302644720933385	0.9275331523889364	0.9380821553963762	0.8455968813375498
P2764_Cocoa_VN	0.8520894404960246	0.8377570280701014	0.8589899192272814	0.8294319547841491	0.8404675538309045	0.8746810215745408	0.8474560811523293	0.8466146107935972	0.8448952907185187	0.8305660417149967	0.8448847459771812	1.0	0.8178380116835734	0.8317191091802518	0.8464274416348567	0.8654169390724845	0.8574445873842714	0.8435123478921062	0.8316073349220744	0.8313474070481051	0.8322753442858046	0.8269128160786215	0.8492123078220891	0.8442536432081321
P2809_Apricot_BE	0.80615110439056	0.7972576958857797	0.8527818903791621	0.788894142149845	0.808726504252594	0.8281074708503455	0.9989759537640577	0.9993198498880682	0.9993707974619956	0.8049574027334392	1.0	0.8083275847487419	0.7896379767291861	0.7877101205317704	0.7932277427881161	0.8250954502797532	0.9042338452885212	0.8977171411074576	0.853974063609065	0.7851815924377497	0.7985476884576234	0.7856961629344172	0.8007623794962507	0.897916346121514
P3124_LMG_BE	0.8252004782523743	0.7510617425435049	0.7976083331730385	0.7594063555731486	0.7652680855630348	0.833793126488844	0.80584208965106	0.8054482704859364	0.8041134361177732	1.0	0.8042936412884467	0.7873918136233085	0.7382611010940884	0.7480665908725068	0.8070630303018032	0.8537685659414253	0.8135048589590823	0.7913077327253603	0.7921009391929036	0.7566081134847125	0.7513112963332297	0.7548728794255302	0.7591360478171383	0.7917688757323366
P3333_Amaranth_BE	0.8106778484136975	0.7969918913315139	0.8520317010883048	0.7904461678046584	0.8087389408144126	0.8289461685688101	0.9987692063163761	0.9990794519096405	1.0	0.8058789756902964	0.9984635456333569	0.8116712456335098	0.7894558271916763	0.7869733530110888	0.7958563618940977	0.8226887849529358	0.9027127895052424	0.8968486893015195	0.8514743797762666	0.7872229759022212	0.7963535699384756	0.7868169566282773	0.7989272328894971	0.8970483876144254
P3334_WhiteCowpea_BE	0.807377105419239	0.7924350516186971	0.8487518556861884	0.7853375760634397	0.8037071540419017	0.827448247891722	0.9993260828796082	1.0	0.9894307839851677	0.8007004468893846	0.9884997009048074	0.8064119707196733	0.7839236715167354	0.7822495516113277	0.7940095578321011	0.8217982202692518	0.8990354243568691	0.8958869201631835	0.8495787509764429	0.7798852511256094	0.7939617839185892	0.7809067997017688	0.7952603195464935	0.8959372352423077
P3335_RedCowpea_BE	0.8072928759519112	0.7906183936508937	0.8448947988519908	0.7824589730002434	0.7985339461874523	0.8228323554052606	1.0	0.9988111429438031	0.988813566383187	0.7985878003959809	0.9883918777692368	0.8043522329428225	0.7813559778425496	0.7790727626243664	0.7906864734994109	0.8231590370664291	0.896305753712511	0.893546487613278	0.8484415557363115	0.7767280723190892	0.7890805003564031	0.7775724656641316	0.794911488576049	0.8936836634274545
P3378_Banana_BE	0.8541559328346627	0.7963680850843705	0.8395382641712447	0.798045666635629	0.8138841470353932	1.0	0.846805715054264	0.8454798928168679	0.842697890478703	0.851559638722493	0.8426409882367547	0.8551868980001448	0.7803175145100717	0.79867935069369	0.8464674053612258	0.8816014360056695	0.8485598559855986	0.8360346379465533	0.8255703156522549	0.7976489028213166	0.7978703042718065	0.795599904818068	0.8141076176583175	0.8366295250214677
P360_Cocoa_CR	0.8207570155033548	0.9027292896424681	0.8477578626077369	0.9098218391577362	1.0	0.8424482661252369	0.8477320460932353	0.8475174463164405	0.8460260047599198	0.8069064554732356	0.8464605827540305	0.8422428096973282	0.8983022952494925	0.8994516679888667	0.815957833026314	0.824216966290624	0.8585099030536096	0.838869989646502	0.8227863011119926	0.9051667988866628	0.9370039397076818	0.9069572817361606	0.9222605585510482	0.8405319277675438
