layers	total_length	gc_content	percent_completion	percent_redundancy	num_genes	avg_gene_length	num_genes_per_kb	singleton_gene_clusters	num_gene_clusters
ASM167680v1_TraditionalKoreanKimichi	2552671	0.458061526214925	95.7746478873239	-1.0	2456	897.357899022801	0.962129471443833	25	2350
ASM211732v1_BrewerySurface	2667873	0.457351605567431	95.7746478873239	-1.0	2721	837.919514884234	1.0199136165777	153	2366
ASM211734v1_WheatBeer	2917978	0.452927335298621	95.7746478873239	2.8169014084507	2931	849.624360286592	1.00446267929368	193	2683
ASM276217v1_FemaleGut	2785111	0.455721513433396	95.7746478873239	-1.0	2807	855.897755610973	1.00785929178406	131	2599
ASM3988027v1_TenebrioMolitorFeces	2745725	0.455188702437425	95.7746478873239	-1.0	2693	877.135165243223	0.980797421446066	100	2493
ASM5041081v1_TomatoeFruit	2550312	0.458726226438177	95.7746478873239	-1.0	2507	875.473474272038	0.983016979883246	62	2374
ASM622820v1_BeerKeg	2728238	0.455809940335117	95.7746478873239	-1.0	2698	870.36471460341	0.988916656098185	45	2441
ASM622828v1_Beer	2775071	0.454189460377771	95.7746478873239	-1.0	2755	861.755716878403	0.992767392257712	117	2440
LBPURC4201_assembly_Sourdough	2724248	0.45435511010745	95.7746478873239	-1.0	2655	879.294915254237	0.974580875162614	67	2486
Reference_45709_F01	2494328	0.460001250837901	95.7746478873239	-1.0	2425	889.908865979381	0.972205740383783	50	2316
