query	subject	%pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	e-value	bitscore	function	genome
00000019|gene_cluster_GC_00003785|genome_name_P3354_OFSP_BE|gene_callers_id_1908	sp|C0CMQ8|HPR_BLAHS	50.156	321	158	2	1	319	1	321	2.2499999999999997e-115	339.0	sp|C0CMQ8|HPR_BLAHS Hydroxypyruvate reductase OS=Blautia hydrogenotrophica (strain DSM 10507 / JCM 14656 / S5a33) OX=476272 GN=hpr PE=1 SV=1	P3354_OFSP_BE
00000019|gene_cluster_GC_00003785|genome_name_P3354_OFSP_BE|gene_callers_id_1908	sp|Q59516|DHGY_METEA	34.146	287	171	3	39	318	37	312	3.1499999999999994e-54	182.0	sp|Q59516|DHGY_METEA Glycerate dehydrogenase OS=Methylorubrum extorquens (strain ATCC 14718 / DSM 1338 / JCM 2805 / NCIMB 9133 / AM1) OX=272630 GN=hprA PE=1 SV=3	P3354_OFSP_BE
00000019|gene_cluster_GC_00003785|genome_name_P3354_OFSP_BE|gene_callers_id_1908	sp|Q9YAW4|GYAR_AERPE	35.688	269	165	4	57	319	58	324	2.2799999999999997e-52	178.0	sp|Q9YAW4|GYAR_AERPE Glyoxylate reductase OS=Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1) OX=272557 GN=gyaR PE=3 SV=2	P3354_OFSP_BE
00000019|gene_cluster_GC_00003785|genome_name_P3354_OFSP_BE|gene_callers_id_1908	sp|B1L765|GYAR_KORCO	36.458	288	169	6	40	319	39	320	3.01e-51	175.0	sp|B1L765|GYAR_KORCO Glyoxylate reductase OS=Korarchaeum cryptofilum (strain OPF8) OX=374847 GN=gyaR PE=3 SV=1	P3354_OFSP_BE
00000019|gene_cluster_GC_00003785|genome_name_P3354_OFSP_BE|gene_callers_id_1908	sp|A1RYE4|GYAR_THEPD	35.069	288	180	4	37	319	38	323	5.52e-50	172.0	sp|A1RYE4|GYAR_THEPD Glyoxylate reductase OS=Thermofilum pendens (strain DSM 2475 / Hrk 5) OX=368408 GN=gyaR PE=3 SV=1	P3354_OFSP_BE
00000073|gene_cluster_GC_00003350|genome_name_P3354_OFSP_BE|gene_callers_id_994	sp|Q9ZD18|Y532_RICPR	25.714	70	52	0	61	130	33	102	0.007	38.1	sp|Q9ZD18|Y532_RICPR Uncharacterized protein RP532 OS=Rickettsia prowazekii (strain Madrid E) OX=272947 GN=RP532 PE=4 SV=1	P3354_OFSP_BE
00000084|gene_cluster_GC_00003505|genome_name_P3354_OFSP_BE|gene_callers_id_2326	sp|P71059|EPSJ_BACSU	24.887	221	139	8	337	537	5	218	2.31e-06	53.9	sp|P71059|EPSJ_BACSU Uncharacterized glycosyltransferase EpsJ OS=Bacillus subtilis (strain 168) OX=224308 GN=epsJ PE=2 SV=1	P3354_OFSP_BE
00000084|gene_cluster_GC_00003505|genome_name_P3354_OFSP_BE|gene_callers_id_2326	sp|Q57022|Y868_HAEIN	32.979	94	57	2	337	428	6	95	2.55e-05	49.7	sp|Q57022|Y868_HAEIN Uncharacterized glycosyltransferase HI_0868 OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=HI_0868 PE=3 SV=1	P3354_OFSP_BE
00000084|gene_cluster_GC_00003505|genome_name_P3354_OFSP_BE|gene_callers_id_2326	sp|P71057|EPSH_BACSU	22.17	212	135	7	23	213	19	221	5.47e-05	49.7	sp|P71057|EPSH_BACSU Putative glycosyltransferase EpsH OS=Bacillus subtilis (strain 168) OX=224308 GN=epsH PE=2 SV=1	P3354_OFSP_BE
00000084|gene_cluster_GC_00003505|genome_name_P3354_OFSP_BE|gene_callers_id_2326	sp|P39614|YWDF_BACSU	25.0	216	143	8	348	551	11	219	6.08e-05	48.9	sp|P39614|YWDF_BACSU Uncharacterized glycosyltransferase YwdF OS=Bacillus subtilis (strain 168) OX=224308 GN=ywdF PE=3 SV=1	P3354_OFSP_BE
00000084|gene_cluster_GC_00003505|genome_name_P3354_OFSP_BE|gene_callers_id_2326	sp|A0A0H3JPC6|TARS_STAAM	33.684	95	59	4	336	428	3	95	0.00029	47.8	sp|A0A0H3JPC6|TARS_STAAM Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarS OS=Staphylococcus aureus (strain Mu50 / ATCC 700699) OX=158878 GN=tarS PE=1 SV=1	P3354_OFSP_BE
00000116|gene_cluster_GC_00003218|genome_name_P3354_OFSP_BE|gene_callers_id_2371	sp|O32182|MDTP_BACSU	33.962	371	234	5	2	368	10	373	4.08e-50	179.0	sp|O32182|MDTP_BACSU Multidrug transporter protein MdtP OS=Bacillus subtilis (strain 168) OX=224308 GN=mdtP PE=2 SV=1	P3354_OFSP_BE
00000116|gene_cluster_GC_00003218|genome_name_P3354_OFSP_BE|gene_callers_id_2371	sp|P39886|TCMA_STRGA	30.084	359	251	0	9	367	27	385	5.5799999999999996e-42	157.0	sp|P39886|TCMA_STRGA Tetracenomycin C resistance and export protein OS=Streptomyces glaucescens OX=1907 GN=tcmA PE=3 SV=1	P3354_OFSP_BE
00000116|gene_cluster_GC_00003218|genome_name_P3354_OFSP_BE|gene_callers_id_2371	sp|P54585|YHCA_BACSU	28.0	350	251	1	17	366	23	371	7.38e-40	151.0	sp|P54585|YHCA_BACSU Uncharacterized MFS-type transporter YhcA OS=Bacillus subtilis (strain 168) OX=224308 GN=yhcA PE=3 SV=2	P3354_OFSP_BE
00000116|gene_cluster_GC_00003218|genome_name_P3354_OFSP_BE|gene_callers_id_2371	sp|P0A0J9|QACA_STAAU	31.804	327	221	2	1	325	12	338	6.26e-39	148.0	sp|P0A0J9|QACA_STAAU Antiseptic resistance protein OS=Staphylococcus aureus OX=1280 GN=qacA PE=1 SV=1	P3354_OFSP_BE
00000116|gene_cluster_GC_00003218|genome_name_P3354_OFSP_BE|gene_callers_id_2371	sp|P0A0J8|QACA_STAAM	31.804	327	221	2	1	325	12	338	6.26e-39	148.0	sp|P0A0J8|QACA_STAAM Antiseptic resistance protein OS=Staphylococcus aureus (strain Mu50 / ATCC 700699) OX=158878 GN=qacA PE=3 SV=1	P3354_OFSP_BE
00000117|gene_cluster_GC_00003218|genome_name_P3354_OFSP_BE|gene_callers_id_2370	sp|O32182|MDTP_BACSU	33.693	371	235	5	2	368	10	373	2.78e-50	179.0	sp|O32182|MDTP_BACSU Multidrug transporter protein MdtP OS=Bacillus subtilis (strain 168) OX=224308 GN=mdtP PE=2 SV=1	P3354_OFSP_BE
00000117|gene_cluster_GC_00003218|genome_name_P3354_OFSP_BE|gene_callers_id_2370	sp|P39886|TCMA_STRGA	29.805	359	252	0	9	367	27	385	9.089999999999999e-42	157.0	sp|P39886|TCMA_STRGA Tetracenomycin C resistance and export protein OS=Streptomyces glaucescens OX=1907 GN=tcmA PE=3 SV=1	P3354_OFSP_BE
00000117|gene_cluster_GC_00003218|genome_name_P3354_OFSP_BE|gene_callers_id_2370	sp|P54585|YHCA_BACSU	28.571	350	249	1	17	366	23	371	2.5999999999999997e-40	152.0	sp|P54585|YHCA_BACSU Uncharacterized MFS-type transporter YhcA OS=Bacillus subtilis (strain 168) OX=224308 GN=yhcA PE=3 SV=2	P3354_OFSP_BE
00000117|gene_cluster_GC_00003218|genome_name_P3354_OFSP_BE|gene_callers_id_2370	sp|P0A0J9|QACA_STAAU	32.024	331	215	3	1	325	12	338	2.12e-39	150.0	sp|P0A0J9|QACA_STAAU Antiseptic resistance protein OS=Staphylococcus aureus OX=1280 GN=qacA PE=1 SV=1	P3354_OFSP_BE
00000117|gene_cluster_GC_00003218|genome_name_P3354_OFSP_BE|gene_callers_id_2370	sp|P0A0J8|QACA_STAAM	32.024	331	215	3	1	325	12	338	2.12e-39	150.0	sp|P0A0J8|QACA_STAAM Antiseptic resistance protein OS=Staphylococcus aureus (strain Mu50 / ATCC 700699) OX=158878 GN=qacA PE=3 SV=1	P3354_OFSP_BE
00000169|gene_cluster_GC_00003871|genome_name_P3354_OFSP_BE|gene_callers_id_2310	sp|Q039H8|Y1366_LACP3	87.582	153	19	0	1	153	1	153	4.68e-89	259.0	sp|Q039H8|Y1366_LACP3 UPF0756 membrane protein LSEI_1366 OS=Lacticaseibacillus paracasei (strain ATCC 334 / BCRC 17002 / CCUG 31169 / CIP 107868 / KCTC 3260 / NRRL B-441) OX=321967 GN=LSEI_1366 PE=3 SV=1	P3354_OFSP_BE
00000169|gene_cluster_GC_00003871|genome_name_P3354_OFSP_BE|gene_callers_id_2310	sp|B3WE66|Y1586_LACCB	86.928	153	20	0	1	153	1	153	1.7100000000000002e-88	257.0	sp|B3WE66|Y1586_LACCB UPF0756 membrane protein LCABL_15860 OS=Lacticaseibacillus casei (strain BL23) OX=543734 GN=LCABL_15860 PE=3 SV=1	P3354_OFSP_BE
00000169|gene_cluster_GC_00003871|genome_name_P3354_OFSP_BE|gene_callers_id_2310	sp|Q38WU8|Y1031_LATSS	66.667	153	51	0	1	153	1	153	8.09e-68	205.0	sp|Q38WU8|Y1031_LATSS UPF0756 membrane protein LCA_1031 OS=Latilactobacillus sakei subsp. sakei (strain 23K) OX=314315 GN=LCA_1031 PE=3 SV=2	P3354_OFSP_BE
00000169|gene_cluster_GC_00003871|genome_name_P3354_OFSP_BE|gene_callers_id_2310	sp|Q1WTL2|Y936_LIGS1	61.333	150	57	1	1	149	1	150	2.93e-57	178.0	sp|Q1WTL2|Y936_LIGS1 UPF0756 membrane protein LSL_0936 OS=Ligilactobacillus salivarius (strain UCC118) OX=362948 GN=LSL_0936 PE=3 SV=1	P3354_OFSP_BE
00000169|gene_cluster_GC_00003871|genome_name_P3354_OFSP_BE|gene_callers_id_2310	sp|Q88VY3|Y1894_LACPL	57.718	149	63	0	1	149	1	149	1.15e-56	177.0	sp|Q88VY3|Y1894_LACPL UPF0756 membrane protein lp_1894 OS=Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) OX=220668 GN=lp_1894 PE=3 SV=1	P3354_OFSP_BE
00000189|gene_cluster_GC_00003833|genome_name_P3354_OFSP_BE|gene_callers_id_936	sp|P16117|RPC1_BP434	38.333	60	37	0	1	60	1	60	6.13e-05	40.4	sp|P16117|RPC1_BP434 Repressor protein CI (Fragment) OS=Enterobacteria phage 434 OX=10712 GN=CI PE=1 SV=3	P3354_OFSP_BE
00000189|gene_cluster_GC_00003833|genome_name_P3354_OFSP_BE|gene_callers_id_936	sp|O28481|Y1793_ARCFU	34.483	58	37	1	6	62	4	61	0.000129	38.9	sp|O28481|Y1793_ARCFU Uncharacterized HTH-type transcriptional regulator AF_1793 OS=Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16) OX=224325 GN=AF_1793 PE=4 SV=1	P3354_OFSP_BE
00000189|gene_cluster_GC_00003833|genome_name_P3354_OFSP_BE|gene_callers_id_936	sp|O28487|Y1787_ARCFU	42.857	49	28	0	6	54	130	178	0.000132	40.8	sp|O28487|Y1787_ARCFU Putative HTH-type transcriptional regulatory protein AF_1787 OS=Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16) OX=224325 GN=AF_1787 PE=3 SV=1	P3354_OFSP_BE
00000189|gene_cluster_GC_00003833|genome_name_P3354_OFSP_BE|gene_callers_id_936	sp|O27383|Y1328_METTH	42.857	49	27	1	7	54	5	53	0.000442	37.7	sp|O27383|Y1328_METTH Uncharacterized HTH-type transcriptional regulator MTH_1328 OS=Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) OX=187420 GN=MTH_1328 PE=4 SV=1	P3354_OFSP_BE
00000189|gene_cluster_GC_00003833|genome_name_P3354_OFSP_BE|gene_callers_id_936	sp|P03034|RPC1_LAMBD	40.351	57	33	1	11	66	27	83	0.00061	38.9	sp|P03034|RPC1_LAMBD Repressor protein cI OS=Escherichia phage lambda OX=2681611 GN=cI PE=1 SV=2	P3354_OFSP_BE
00000217|gene_cluster_GC_00003663|genome_name_P3354_OFSP_BE|gene_callers_id_110	sp|P71054|EPSE_BACSU	31.061	264	177	4	8	271	7	265	7.87e-35	129.0	sp|P71054|EPSE_BACSU Putative glycosyltransferase EpsE OS=Bacillus subtilis (strain 168) OX=224308 GN=epsE PE=2 SV=2	P3354_OFSP_BE
00000217|gene_cluster_GC_00003663|genome_name_P3354_OFSP_BE|gene_callers_id_110	sp|Q58457|Y1057_METJA	31.771	192	120	4	7	188	9	199	1.03e-20	92.4	sp|Q58457|Y1057_METJA Uncharacterized glycosyltransferase MJ1057 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1057 PE=3 SV=2	P3354_OFSP_BE
00000217|gene_cluster_GC_00003663|genome_name_P3354_OFSP_BE|gene_callers_id_110	sp|B5L3F2|WFGD_ECOLX	31.25	144	87	4	7	143	5	143	6.24e-16	78.6	sp|B5L3F2|WFGD_ECOLX UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfgD OS=Escherichia coli OX=562 GN=wfgD PE=1 SV=1	P3354_OFSP_BE
00000217|gene_cluster_GC_00003663|genome_name_P3354_OFSP_BE|gene_callers_id_110	sp|Q46635|AMSE_ERWAM	24.632	272	184	6	9	271	3	262	3.74e-15	76.6	sp|Q46635|AMSE_ERWAM Amylovoran biosynthesis glycosyltransferase AmsE OS=Erwinia amylovora OX=552 GN=amsE PE=3 SV=2	P3354_OFSP_BE
