gene_callers_id	source	accession	function	e_value
199	KOfam	K03292	glycoside/pentoside/hexuronide:cation symporter, GPH family	1.8e-97
200	KOfam	K03292	glycoside/pentoside/hexuronide:cation symporter, GPH family	1.1e-91
202	KOfam	K02099	AraC family transcriptional regulator, arabinose operon regulatory protein	4.8e-42
207	KOfam	K02466	glucitol operon activator protein	1e-21
905	KOfam	K01154	type I restriction enzyme, S subunit [EC:3.1.21.3]	1.3e-10
906	KOfam	K01154	type I restriction enzyme, S subunit [EC:3.1.21.3]	1.8e-09
1127	KOfam	K07727	putative transcriptional regulator	5.2e-21
1387	KOfam	K15580	oligopeptide transport system substrate-binding protein	9.7e-90
1569	KOfam	K25904	exopolysaccharide biosynthesis glucuronosyltransferase PssE	1.9e-36
1570	KOfam	K00980	glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39]	3.2e-47
1572	KOfam	K19424	glycosyltransferase EpsF [EC:2.4.-.-]	6e-96
1575	KOfam	K16710	colanic acid/amylovoran biosynthesis protein WcaK/AmsJ	1.8e-47
1586	KOfam	K19424	glycosyltransferase EpsF [EC:2.4.-.-]	1.1e-70
1587	KOfam	K19423	glycosyltransferase EpsE [EC:2.4.-.-]	1.3e-92
1591	KOfam	K00980	glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39]	1.3e-49
1592	KOfam	K01953	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	1.2e-21
2325	KOfam	K02774	galactitol PTS system EIIB component [EC:2.7.1.200]	5.7e-33
2326	KOfam	K02773	galactitol PTS system EIIA component [EC:2.7.1.200]	4.6e-52
2328	KOfam	K02775	galactitol PTS system EIIC component	2.9e-175
2330	KOfam	K01635	tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]	1e-145
2331	KOfam	K00917	tagatose 6-phosphate kinase [EC:2.7.1.144]	8.4e-120
2332	KOfam	K01785	aldose 1-epimerase [EC:5.1.3.3]	4.4e-17
2837	KOfam	K16702	amylovoran biosynthesis glycosyltransferase AmsE [EC:2.4.-.-]	6.5e-90
2840	KOfam	K16710	colanic acid/amylovoran biosynthesis protein WcaK/AmsJ	2e-44
2842	KOfam	K07497	putative transposase	1.6e-08
2950	KOfam	K18220	ribosomal protection tetracycline resistance protein	8.1e-217
2978	KOfam	K05593	aminoglycoside 6-adenylyltransferase [EC:2.7.7.-]	1.3e-123
2981	KOfam	K19271	chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]	1.4e-69
2993	KOfam	K04708	3-dehydrosphinganine reductase [EC:1.1.1.102]	2.3e-65
2995	KOfam	K00287	dihydrofolate reductase [EC:1.5.1.3]	2.3e-33
2996	KOfam	K03465	thymidylate synthase (FAD) [EC:2.1.1.148]	8.1e-55
2997	KOfam	K00561	23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]	3.5e-58
