query	subject	pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	evalue	bitscore	function	genome
00000003|gene_cluster:GC_00004416|genome_name:P3342_SorghumSeso_BE|gene_callers_id:1586	sp|P71055|EPSF_BACSU	25.429	350	247	8	14	351	11	358	2.26e-25	108.0	sp|P71055|EPSF_BACSU Putative glycosyltransferase EpsF OS=Bacillus subtilis (strain 168) OX=224308 GN=epsF PE=2 SV=1	P3342_SorghumSeso_BE
00000003|gene_cluster:GC_00004416|genome_name:P3342_SorghumSeso_BE|gene_callers_id:1586	sp|Q8CWR6|AMGDS_STRR6	24.057	212	151	5	168	373	174	381	2.02e-09	62.4	sp|Q8CWR6|AMGDS_STRR6 Alpha-monoglucosyldiacylglycerol synthase OS=Streptococcus pneumoniae (strain ATCC BAA-255 / R6) OX=171101 GN=spr0982 PE=1 SV=1	P3342_SorghumSeso_BE
00000003|gene_cluster:GC_00004416|genome_name:P3342_SorghumSeso_BE|gene_callers_id:1586	sp|B5T072|WCLR_ECOLX	22.333	300	210	8	22	304	21	314	5.08e-08	57.8	sp|B5T072|WCLR_ECOLX UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol alpha-1,3-galactosyltransferase OS=Escherichia coli OX=562 GN=wclR PE=1 SV=1	P3342_SorghumSeso_BE
00000003|gene_cluster:GC_00004416|genome_name:P3342_SorghumSeso_BE|gene_callers_id:1586	sp|P54490|YQGM_BACSU	34.286	105	66	2	203	305	180	283	1.47e-07	56.2	sp|P54490|YQGM_BACSU Uncharacterized glycosyltransferase YqgM OS=Bacillus subtilis (strain 168) OX=224308 GN=yqgM PE=3 SV=2	P3342_SorghumSeso_BE
00000003|gene_cluster:GC_00004416|genome_name:P3342_SorghumSeso_BE|gene_callers_id:1586	sp|B8QSK0|GNACT_ECOLX	24.681	235	165	7	140	374	129	351	4.31e-07	55.1	sp|B8QSK0|GNACT_ECOLX O-antigen biosynthesis glycosyltransferase WclY OS=Escherichia coli OX=562 GN=wclY PE=1 SV=1	P3342_SorghumSeso_BE
00000016|gene_cluster:GC_00004656|genome_name:P3342_SorghumSeso_BE|gene_callers_id:1570	sp|A9AB01|RIBL_METM6	36.559	93	59	0	5	97	4	96	2.91e-16	73.6	sp|A9AB01|RIBL_METM6 FAD synthase OS=Methanococcus maripaludis (strain C6 / ATCC BAA-1332) OX=444158 GN=ribL PE=3 SV=1	P3342_SorghumSeso_BE
00000016|gene_cluster:GC_00004656|genome_name:P3342_SorghumSeso_BE|gene_callers_id:1570	sp|D7DTT8|RIBL_METV3	36.842	95	60	0	3	97	25	119	7.57e-16	73.2	sp|D7DTT8|RIBL_METV3 FAD synthase OS=Methanococcus voltae (strain ATCC BAA-1334 / A3) OX=456320 GN=ribL PE=3 SV=1	P3342_SorghumSeso_BE
00000016|gene_cluster:GC_00004656|genome_name:P3342_SorghumSeso_BE|gene_callers_id:1570	sp|A4FXX6|RIBL_METM5	35.484	93	60	0	5	97	4	96	1.01e-15	72.4	sp|A4FXX6|RIBL_METM5 FAD synthase OS=Methanococcus maripaludis (strain C5 / ATCC BAA-1333) OX=402880 GN=ribL PE=3 SV=1	P3342_SorghumSeso_BE
00000016|gene_cluster:GC_00004656|genome_name:P3342_SorghumSeso_BE|gene_callers_id:1570	sp|Q6LYP5|RIBL_METMP	35.484	93	60	0	5	97	4	96	1.06e-15	72.4	sp|Q6LYP5|RIBL_METMP FAD synthase OS=Methanococcus maripaludis (strain DSM 14266 / JCM 13030 / NBRC 101832 / S2 / LL) OX=267377 GN=ribL PE=3 SV=1	P3342_SorghumSeso_BE
00000016|gene_cluster:GC_00004656|genome_name:P3342_SorghumSeso_BE|gene_callers_id:1570	sp|Q8RKI6|TARD_BACSH	33.846	130	77	3	5	133	2	123	1.28e-15	71.6	sp|Q8RKI6|TARD_BACSH Glycerol-3-phosphate cytidylyltransferase OS=Bacillus spizizenii (strain ATCC 23059 / NRRL B-14472 / W23) OX=655816 GN=tarD PE=3 SV=1	P3342_SorghumSeso_BE
