gene_callers_id	source	accession	function	e_value
8	KOfam	K02315	DNA replication protein DnaC	1.7e-38
16	KOfam	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]	4.8e-13
22	KOfam	K06904	Escherichia/Staphylococcus phage prohead protease	1.2e-38
31	KOfam	K21471	peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]	1e-34
38	KOfam	K07273	lysozyme	4.6e-19
46	KOfam	K24042	methionine synthase / methylenetetrahydrofolate reductase (NADH) [EC:2.1.1.13 1.5.1.54]	3.8e-227
47	KOfam	K00549	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	7.8e-287
49	KOfam	K00958	sulfate adenylyltransferase [EC:2.7.7.4]	5e-158
50	KOfam	K00860	adenylylsulfate kinase [EC:2.7.1.25]	1e-105
51	KOfam	K06881	bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]	4.4e-86
52	KOfam	K01023	arylsulfate sulfotransferase [EC:2.8.2.22]	1.7e-144
54	KOfam	K26937	MATE family, multidrug efflux pump	1.6e-108
56	KOfam	K02348	ElaA protein	3.2e-57
57	KOfam	K01887	arginyl-tRNA synthetase [EC:6.1.1.19]	1.2e-173
59	KOfam	K02004	putative ABC transport system permease protein	1.3e-26
59	KOfam	K02003	putative ABC transport system ATP-binding protein	4.3e-95
63	KOfam	K02759	cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205]	9.1e-32
64	KOfam	K02760	cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205]	5e-29
65	KOfam	K02761	cellobiose PTS system EIIC component	1.1e-98
66	KOfam	K01223	6-phospho-beta-glucosidase [EC:3.2.1.86]	5.8e-209
69	KOfam	K14188	D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13]	1e-32
70	KOfam	K18907	GntR family transcriptional regulator, regulator for abcA and norABC	5e-174
71	KOfam	K06895	L-lysine exporter family protein LysE/ArgO	1.3e-38
73	KOfam	K03402	transcriptional regulator of arginine metabolism	2.5e-52
75	KOfam	K12555	penicillin-binding protein 2A [EC:2.4.99.28 3.4.16.4]	1.3e-282
77	KOfam	K03547	DNA repair protein SbcD/Mre11	2.6e-44
79	KOfam	K03698	3'-5' exoribonuclease [EC:3.1.-.-]	1.2e-119
83	KOfam	K19784	chromate reductase, NAD(P)H dehydrogenase (quinone)	4e-49
84	KOfam	K17363	urocanate reductase [EC:1.3.99.33]	9.5e-257
84	KOfam	K19784	chromate reductase, NAD(P)H dehydrogenase (quinone)	1.5e-44
92	KOfam	K00986	RNA-directed DNA polymerase [EC:2.7.7.49]	1.3e-96
93	KOfam	K01535	H+-transporting ATPase [EC:7.1.2.1]	6.3e-179
94	KOfam	K01689	enolase 1/2/3 [EC:4.2.1.11]	4.6e-181
98	KOfam	K20534	polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]	3.1e-134
102	KOfam	K11752	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]	1.9e-110
103	KOfam	K00793	riboflavin synthase [EC:2.5.1.9]	6.3e-81
104	KOfam	K14652	3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]	1.2e-162
104	KOfam	K01497	GTP cyclohydrolase II [EC:3.5.4.25]	5.6e-93
105	KOfam	K00794	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	1.2e-66
106	KOfam	K09962	uncharacterized protein	1.7e-56
108	KOfam	K21562	CRP/FNR family transcriptional regulator, anaerobic regulatory protein	4.7e-63
110	KOfam	K05910	NADH peroxidase [EC:1.11.1.1]	8e-153
116	KOfam	K07533	foldase protein PrsA [EC:5.2.1.8]	8.3e-77
118	KOfam	K02503	histidine triad (HIT) family protein [EC:3.9.1.-]	1.1e-33
119	KOfam	K25158	ABC-2 type transport system ATP-binding protein	7.7e-116
120	KOfam	K25157	ABC-2 type transport system permease protein	1e-121
122	KOfam	K03439	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]	7.3e-53
125	KOfam	K03466	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	2e-195
126	KOfam	K01924	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	8.8e-144
128	KOfam	K04759	ferrous iron transport protein B	1.2e-155
129	KOfam	K04759	ferrous iron transport protein B	1.6e-69
130	KOfam	K04758	ferrous iron transport protein A	4.9e-08
131	KOfam	K09013	Fe-S cluster assembly ATP-binding protein	5e-116
132	KOfam	K09015	Fe-S cluster assembly protein SufD	1.2e-90
133	KOfam	K11717	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	4.5e-214
134	KOfam	K04488	nitrogen fixation protein NifU and related proteins	1.1e-52
135	KOfam	K09014	Fe-S cluster assembly protein SufB	2.9e-222
138	KOfam	K06890	uncharacterized protein	8.6e-62
139	KOfam	K02335	DNA polymerase I [EC:2.7.7.7]	0
140	KOfam	K10563	formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]	2e-99
141	KOfam	K00859	dephospho-CoA kinase [EC:2.7.1.24]	2.4e-75
142	KOfam	K07738	transcriptional repressor NrdR	1.2e-74
143	KOfam	K03346	replication initiation and membrane attachment protein	3.5e-108
144	KOfam	K11144	primosomal protein DnaI	1.2e-109
145	KOfam	K01868	threonyl-tRNA synthetase [EC:6.1.1.3]	1.1e-228
146	KOfam	K02520	translation initiation factor IF-3	4.6e-79
147	KOfam	K02916	large subunit ribosomal protein L35	7e-10
148	KOfam	K02887	large subunit ribosomal protein L20	4.4e-56
150	KOfam	K07478	putative ATPase	1.4e-122
153	KOfam	K01779	aspartate racemase [EC:5.1.1.13]	4.9e-66
154	KOfam	K11936	poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]	1.5e-132
156	KOfam	K07015	putative phosphatase [EC:3.1.3.-]	6.7e-66
157	KOfam	K06948	30S ribosome assembly GTPase	1.1e-156
158	KOfam	K07574	RNA-binding protein	3.7e-30
159	KOfam	K00969	nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	3.6e-80
160	KOfam	K06950	uncharacterized protein	2.7e-11
161	KOfam	K09710	ribosome-associated protein	9.5e-51
163	KOfam	K27343	tRNAmet cytidine acetate ligase [EC:6.3.1.22]	5.5e-127
164	KOfam	K07040	DUF177 domain-containing protein	1.5e-24
165	KOfam	K02911	large subunit ribosomal protein L32	6.8e-23
168	KOfam	K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	3.3e-225
169	KOfam	K07478	putative ATPase	2.4e-208
170	KOfam	K02483	two-component system, OmpR family, response regulator	4.6e-75
170	KOfam	K18941	two-component system, OmpR family, response regulator ArlR	6.7e-104
171	KOfam	K18940	two-component system, OmpR family, sensor histidine kinase ArlS [EC:2.7.13.3]	4.3e-165
173	KOfam	K03546	DNA repair protein SbcC/Rad50	2.4e-161
174	KOfam	K03547	DNA repair protein SbcD/Mre11	1.7e-77
175	KOfam	K26996	immunity protein, SdpI family	5.2e-17
176	KOfam	K03217	YidC/Oxa1 family membrane protein insertase	7.7e-57
177	KOfam	K01512	acylphosphatase [EC:3.6.1.7]	6.1e-19
178	KOfam	K03437	RNA methyltransferase, TrmH family	1.7e-84
179	KOfam	K06950	uncharacterized protein	5.6e-15
181	KOfam	K01889	phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	5e-108
182	KOfam	K01890	phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	7.5e-212
183	KOfam	K07082	peptidoglycan lytic transglycosylase G [EC:4.2.2.29]	6e-93
184	KOfam	K00876	uridine kinase [EC:2.7.1.48]	2.4e-85
185	KOfam	K03624	transcription elongation factor GreA	3e-58
191	KOfam	K02913	large subunit ribosomal protein L33	6.3e-13
192	KOfam	K01934	5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]	1.7e-47
193	KOfam	K19225	rhomboid protease GluP [EC:3.4.21.105]	9.7e-73
195	KOfam	K25026	glucokinase [EC:2.7.1.2]	2.6e-95
196	KOfam	K05995	dipeptidase E [EC:3.4.13.21]	3e-24
197	KOfam	K03972	phage shock protein E	1.9e-19
199	KOfam	K01126	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	5.4e-61
200	KOfam	K00791	tRNA dimethylallyltransferase [EC:2.5.1.75]	5.8e-105
201	KOfam	K03713	MerR family transcriptional regulator, glutamine synthetase repressor	3.1e-52
202	KOfam	K01915	glutamine synthetase [EC:6.3.1.2]	1.5e-117
211	KOfam	K02888	large subunit ribosomal protein L21	1.5e-42
212	KOfam	K07584	uncharacterized protein	5.1e-31
213	KOfam	K02899	large subunit ribosomal protein L27	1.8e-39
214	KOfam	K01262	Xaa-Pro aminopeptidase [EC:3.4.11.9]	5.4e-72
215	KOfam	K02356	elongation factor P	5.8e-89
217	KOfam	K03625	transcription antitermination protein NusB	1e-46
218	KOfam	K01491	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	1.1e-128
219	KOfam	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	4.2e-165
220	KOfam	K03602	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	2.7e-25
222	KOfam	K06442	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]	3.8e-110
223	KOfam	K03402	transcriptional regulator of arginine metabolism	3.3e-45
224	KOfam	K03631	DNA repair protein RecN (Recombination protein N)	1.7e-213
225	KOfam	K05847	osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]	2.5e-136
226	KOfam	K05846	osmoprotectant transport system permease protein	9.3e-90
227	KOfam	K05845	osmoprotectant transport system substrate-binding protein	8.7e-86
228	KOfam	K05846	osmoprotectant transport system permease protein	3e-74
230	KOfam	K00942	guanylate kinase [EC:2.7.4.8]	8.1e-74
231	KOfam	K03060	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	4.4e-21
232	KOfam	K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]	7.9e-164
233	KOfam	K04066	primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:5.6.2.4]	2.1e-262
234	KOfam	K00604	methionyl-tRNA formyltransferase [EC:2.1.2.9]	1.2e-104
235	KOfam	K03500	16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]	3.9e-134
236	KOfam	K20074	PPM family protein phosphatase [EC:3.1.3.16]	1.4e-92
237	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	1.5e-110
238	KOfam	K06949	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	1.3e-91
239	KOfam	K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	4.2e-93
240	KOfam	K00949	thiamine pyrophosphokinase [EC:2.7.6.2]	1.8e-29
241	KOfam	K02902	large subunit ribosomal protein L28	3.1e-14
243	KOfam	K07030	fatty acid kinase [EC:2.7.2.18]	1.2e-173
244	KOfam	K03655	ATP-dependent DNA helicase RecG [EC:5.6.2.4]	2.7e-227
245	KOfam	K03621	phosphate acyltransferase [EC:2.3.1.274]	1.7e-132
246	KOfam	K02078	acyl carrier protein	2e-27
247	KOfam	K03685	ribonuclease III [EC:3.1.26.3]	1.3e-74
248	KOfam	K03529	chromosome segregation protein	0
249	KOfam	K03110	fused signal recognition particle receptor	6.9e-147
250	KOfam	K09787	uncharacterized protein	5.7e-41
251	KOfam	K03106	signal recognition particle subunit SRP54 [EC:3.6.5.4]	6e-201
252	KOfam	K02959	small subunit ribosomal protein S16	6.8e-46
253	KOfam	K06960	uncharacterized protein	8.2e-27
254	KOfam	K02860	16S rRNA processing protein RimM	2.4e-55
255	KOfam	K00554	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	3.7e-116
256	KOfam	K02884	large subunit ribosomal protein L19	4.4e-54
261	KOfam	K01990	ABC-2 type transport system ATP-binding protein	4.4e-83
264	KOfam	K01658	anthranilate synthase component II [EC:4.1.3.27]	5.6e-75
265	KOfam	K00766	anthranilate phosphoribosyltransferase [EC:2.4.2.18]	3.6e-133
266	KOfam	K01609	indole-3-glycerol phosphate synthase [EC:4.1.1.48]	1.2e-95
267	KOfam	K01817	phosphoribosylanthranilate isomerase [EC:5.3.1.24]	8.7e-58
268	KOfam	K01696	tryptophan synthase beta chain [EC:4.2.1.20]	8.6e-221
269	KOfam	K01695	tryptophan synthase alpha chain [EC:4.2.1.20]	1.2e-98
271	KOfam	K00344	NADPH:quinone reductase [EC:1.6.5.5]	2.4e-78
276	KOfam	K26996	immunity protein, SdpI family	9.3e-08
277	KOfam	K04708	3-dehydrosphinganine reductase [EC:1.1.1.102]	1.9e-64
277	KOfam	K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	2.4e-61
279	KOfam	K02372	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	6.7e-59
280	KOfam	K00648	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	1.8e-109
281	KOfam	K02078	acyl carrier protein	3.1e-23
282	KOfam	K00645	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	1.1e-79
283	KOfam	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	1.2e-87
284	KOfam	K09458	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	2.1e-167
285	KOfam	K02160	acetyl-CoA carboxylase biotin carboxyl carrier protein	2.1e-42
286	KOfam	K02372	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	1.2e-31
290	KOfam	K00208	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	1.3e-105
291	KOfam	K06133	4'-phosphopantetheinyl transferase [EC:2.7.8.-]	3.9e-31
292	KOfam	K07150	uncharacterized protein	5.4e-60
295	KOfam	K06949	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	2.1e-108
303	KOfam	K00574	cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]	1.2e-123
304	KOfam	K21713	lytic chitin monoxygenase [EC:1.14.99.53]	2.6e-84
307	KOfam	K05770	translocator protein	5.8e-40
310	KOfam	K07029	diacylglycerol kinase (ATP) [EC:2.7.1.107]	7e-45
316	KOfam	K08659	dipeptidase [EC:3.4.-.-]	7.9e-184
317	KOfam	K01821	4-oxalocrotonate tautomerase [EC:5.3.2.6]	2.1e-16
318	KOfam	K01586	diaminopimelate decarboxylase [EC:4.1.1.20]	9.6e-141
319	KOfam	K02548	1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]	1.9e-51
320	KOfam	K10716	voltage-gated potassium channel	3.5e-33
322	KOfam	K20708	isoleucine 2-epimerase [EC:5.1.1.21]	8.4e-254
323	KOfam	K03294	basic amino acid/polyamine antiporter, APA family	1.2e-137
324	KOfam	K21064	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	1.8e-96
325	KOfam	K11392	16S rRNA (cytosine1407-C5)-methyltransferase [EC:2.1.1.178]	7.7e-110
327	KOfam	K16211	maltose/moltooligosaccharide transporter	2.4e-157
328	KOfam	K00691	maltose phosphorylase [EC:2.4.1.8]	0
329	KOfam	K01785	aldose 1-epimerase [EC:5.1.3.3]	5.5e-78
331	KOfam	K00938	phosphomevalonate kinase [EC:2.7.4.2]	2.3e-105
332	KOfam	K01597	diphosphomevalonate decarboxylase [EC:4.1.1.33]	2.4e-108
333	KOfam	K00869	mevalonate kinase [EC:2.7.1.36]	8.4e-66
334	KOfam	K02342	DNA polymerase III subunit epsilon [EC:2.7.7.7]	6.8e-50
334	KOfam	K03722	ATP-dependent DNA helicase DinG [EC:5.6.2.3]	3.8e-143
336	KOfam	K00812	aspartate aminotransferase [EC:2.6.1.1]	4.1e-142
337	KOfam	K01893	asparaginyl-tRNA synthetase [EC:6.1.1.22]	1.6e-153
338	KOfam	K02086	DNA replication protein	3.4e-75
339	KOfam	K02071	D-methionine transport system ATP-binding protein	6.8e-138
340	KOfam	K02072	D-methionine transport system permease protein	7.1e-87
341	KOfam	K02073	D-methionine transport system substrate-binding protein	5.5e-79
343	KOfam	K02011	iron(III) transport system permease protein	2.9e-114
344	KOfam	K02012	iron(III) transport system substrate-binding protein	8.9e-67
347	KOfam	K03700	recombination protein U	4.5e-84
349	KOfam	K04074	cell division initiation protein	8.7e-22
351	KOfam	K07444	putative N6-adenine-specific DNA methylase [EC:2.1.1.-]	1.5e-171
357	KOfam	K01297	muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]	9e-54
359	KOfam	K07273	lysozyme	3e-30
360	KOfam	K01297	muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]	3e-53
368	KOfam	K01938	formate--tetrahydrofolate ligase [EC:6.3.4.3]	2.1e-271
369	KOfam	K03101	signal peptidase II [EC:3.4.23.36]	5e-44
370	KOfam	K06180	23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]	1.6e-123
371	KOfam	K02825	pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]	1.5e-76
372	KOfam	K01956	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	6e-132
375	KOfam	K05937	uncharacterized protein	2.1e-47
377	KOfam	K19271	chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]	1.6e-61
386	KOfam	K25232	fatty acid kinase fatty acid binding subunit	2.5e-93
390	KOfam	K18843	antitoxin HicB	8.2e-11
396	KOfam	K08974	putative membrane protein	1.4e-59
400	KOfam	K03303	lactate permease	1.4e-132
402	KOfam	K21030	D-ribitol-5-phosphate cytidylyltransferase [EC:2.7.7.40]	2e-99
403	KOfam	K05352	ribitol-5-phosphate 2-dehydrogenase (NADP+) [EC:1.1.1.405]	1.1e-141
403	KOfam	K21680	ribulose-5-phosphate 2-dehydrogenase [EC:1.1.1.137]	5.9e-227
405	KOfam	K18704	CDP-ribitol ribitolphosphotransferase / teichoic acid ribitol-phosphate polymerase [EC:2.7.8.14 2.7.8.47]	6.4e-172
406	KOfam	K22441	diamine N-acetyltransferase [EC:2.3.1.57]	1.7e-71
407	KOfam	K23775	MarR family transcriptional regulator, organic hydroperoxide resistance regulator	3.2e-45
410	KOfam	K19003	1,2-diacylglycerol 3-beta-glucosyltransferase [EC:2.4.1.336]	3.3e-99
414	KOfam	K07304	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	2.5e-69
415	KOfam	K07305	peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]	2.9e-63
416	KOfam	K15986	manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1]	1.4e-118
418	KOfam	K02621	topoisomerase IV subunit A [EC:5.6.2.2]	1.4e-276
419	KOfam	K02622	topoisomerase IV subunit B [EC:5.6.2.2]	5.1e-285
420	KOfam	K08591	acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]	3.6e-68
421	KOfam	K01785	aldose 1-epimerase [EC:5.1.3.3]	2.1e-18
422	KOfam	K03667	ATP-dependent HslUV protease ATP-binding subunit HslU	1.6e-188
423	KOfam	K01419	ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]	4.7e-82
425	KOfam	K04094	methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]	8.3e-232
426	KOfam	K03168	DNA topoisomerase I [EC:5.6.2.1]	7e-268
427	KOfam	K04096	DNA processing protein	1.1e-93
428	KOfam	K03470	ribonuclease HII [EC:3.1.26.4]	8e-87
429	KOfam	K14540	ribosome biogenesis GTPase A	2.2e-113
431	KOfam	K00549	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	7.1e-12
435	KOfam	K06988	8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]	2.7e-53
438	KOfam	K03797	carboxyl-terminal processing protease [EC:3.4.21.102]	3.1e-121
442	KOfam	K25232	fatty acid kinase fatty acid binding subunit	5.4e-77
443	KOfam	K00287	dihydrofolate reductase [EC:1.5.1.3]	4e-61
444	KOfam	K00560	thymidylate synthase [EC:2.1.1.45]	9.4e-145
445	KOfam	K15738	ABC transport system ATP-binding/permease protein	7.3e-245
447	KOfam	K00974	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	2.6e-105
448	KOfam	K00215	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	4.8e-80
449	KOfam	K21064	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	7.4e-42
451	KOfam	K03530	DNA-binding protein HU-beta	2.4e-44
452	KOfam	K03977	GTPase	7.8e-194
453	KOfam	K02945	small subunit ribosomal protein S1	8.3e-140
454	KOfam	K00945	CMP/dCMP kinase [EC:2.7.4.25]	7.4e-95
456	KOfam	K03654	ATP-dependent DNA helicase RecQ [EC:5.6.2.4]	2.2e-150
458	KOfam	K23675	riboflavin transporter	2e-45
459	KOfam	K06178	23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]	2.2e-96
460	KOfam	K06024	segregation and condensation protein B	5.5e-60
461	KOfam	K05896	segregation and condensation protein A	1.8e-72
462	KOfam	K02859	riboflavin biosynthesis RibT protein	9.9e-48
463	KOfam	K04763	integrase/recombinase XerD	3.5e-99
464	KOfam	K00243	uncharacterized protein	2e-77
466	KOfam	K00873	pyruvate kinase [EC:2.7.1.40]	3.7e-187
468	KOfam	K02337	DNA polymerase III subunit alpha [EC:2.7.7.7]	0
470	KOfam	K03695	ATP-dependent Clp protease ATP-binding subunit ClpB	0
471	KOfam	K01258	tripeptide aminopeptidase [EC:3.4.11.4]	7.3e-144
472	KOfam	K22391	GTP cyclohydrolase I [EC:3.5.4.16]	3.2e-33
