P1190_Madre_SD_BE: contigs=60, bases=1282203, CDS=1296

P1191_Madre_SD_BE: contigs=61, bases=1242874, CDS=1250

P1194_Madre_SD_BE: contigs=80, bases=1298568, CDS=1303

P2182_Madre_SD_BE: contigs=81, bases=1279661, CDS=1286

P2183_Madre_SD_BE: contigs=59, bases=1282308, CDS=1297

P2185_Madre_SD_BE: contigs=66, bases=1284102, CDS=1300

P2186_Madre_SD_BE: contigs=65, bases=1283205, CDS=1296

P2187_Madre_SD_BE: contigs=56, bases=1285706, CDS=1307

P2799_SD_BE: contigs=57, bases=1282254, CDS=1293

P2800_SD_BE: contigs=92, bases=1278046, CDS=1276

P515_SD_Italy: contigs=75, bases=1324406, CDS=1342

P516_SD_Italy: contigs=93, bases=1249777, CDS=1254

P518_SD_Italy: contigs=81, bases=1226511, CDS=1224

P526_SD_Italy: contigs=104, bases=1252026, CDS=1254

P527_SD_Italy: contigs=74, bases=1287572, CDS=1294

P568_Madre_SD_BE: contigs=2, bases=1404823, CDS=1397

Reference: contigs=2, bases=1360847, CDS=1331

Type_strain: contigs=68, bases=1231754, CDS=1253

