module,genome_name,db_name,stepwise_module_completeness,stepwise_module_is_complete,step_id,step,step_completeness
M00001,P1211_Sourdough_BE,P1211_Sourdough_BE,0.8888888888888888,True,0,"(K00844,K12407,K00845,K25026,K00886,K08074,K00918)",1
M00001,P1211_Sourdough_BE,P1211_Sourdough_BE,0.8888888888888888,True,1,"(K01810,K06859,K13810,K15916)",1
M00001,P1211_Sourdough_BE,P1211_Sourdough_BE,0.8888888888888888,True,2,"(K00850,K16370,K21071,K24182,K00918)",0
M00001,P1211_Sourdough_BE,P1211_Sourdough_BE,0.8888888888888888,True,3,"(K01623,K01624,K11645,K16305,K16306)",1
M00001,P1211_Sourdough_BE,P1211_Sourdough_BE,0.8888888888888888,True,4,K01803,1
M00001,P1211_Sourdough_BE,P1211_Sourdough_BE,0.8888888888888888,True,5,"((K00134,K00150) K00927,K11389)",1
M00001,P1211_Sourdough_BE,P1211_Sourdough_BE,0.8888888888888888,True,6,"(K01834,K15633,K15634,K15635)",1
M00001,P1211_Sourdough_BE,P1211_Sourdough_BE,0.8888888888888888,True,7,"(K01689,K27394)",1
M00001,P1211_Sourdough_BE,P1211_Sourdough_BE,0.8888888888888888,True,8,"(K00873,K12406)",1
M00002,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,0,K01803,1
M00002,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,1,"((K00134,K00150) K00927,K11389)",1
M00002,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,2,"(K01834,K15633,K15634,K15635)",1
M00002,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,3,"(K01689,K27394)",1
M00002,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,4,"(K00873,K12406)",1
M00003,P1211_Sourdough_BE,P1211_Sourdough_BE,0.8571428571428571,True,0,"(K01596,K01610)",1
M00003,P1211_Sourdough_BE,P1211_Sourdough_BE,0.8571428571428571,True,1,"(K01689,K27394)",1
M00003,P1211_Sourdough_BE,P1211_Sourdough_BE,0.8571428571428571,True,2,"(K01834,K15633,K15634,K15635)",1
M00003,P1211_Sourdough_BE,P1211_Sourdough_BE,0.8571428571428571,True,3,K00927,1
M00003,P1211_Sourdough_BE,P1211_Sourdough_BE,0.8571428571428571,True,4,"(K00134,K00150)",1
M00003,P1211_Sourdough_BE,P1211_Sourdough_BE,0.8571428571428571,True,5,K01803,1
M00003,P1211_Sourdough_BE,P1211_Sourdough_BE,0.8571428571428571,True,6,"((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)",0
M00307,P1211_Sourdough_BE,P1211_Sourdough_BE,0.0,False,0,"((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737",0
M00009,P1211_Sourdough_BE,P1211_Sourdough_BE,0.125,False,0,"(K01647,K05942,K01659)",0
M00009,P1211_Sourdough_BE,P1211_Sourdough_BE,0.125,False,1,"(K01681,K27802,K01682)",0
M00009,P1211_Sourdough_BE,P1211_Sourdough_BE,0.125,False,2,"(K00031,K00030)",0
M00009,P1211_Sourdough_BE,P1211_Sourdough_BE,0.125,False,3,"((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176)",0
M00009,P1211_Sourdough_BE,P1211_Sourdough_BE,0.125,False,4,"(K01902+K01903,K01899+K01900,K18118)",0
M00009,P1211_Sourdough_BE,P1211_Sourdough_BE,0.125,False,5,"(K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247)",0
M00009,P1211_Sourdough_BE,P1211_Sourdough_BE,0.125,False,6,"(K01676,K01679,K01677+K01678)",1
M00009,P1211_Sourdough_BE,P1211_Sourdough_BE,0.125,False,7,"(K00026,K00025,K00024,K00116)",0
M00011,P1211_Sourdough_BE,P1211_Sourdough_BE,0.2,False,0,"((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176)",0
M00011,P1211_Sourdough_BE,P1211_Sourdough_BE,0.2,False,1,"(K01902+K01903,K01899+K01900,K18118)",0
M00011,P1211_Sourdough_BE,P1211_Sourdough_BE,0.2,False,2,"(K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247)",0
M00011,P1211_Sourdough_BE,P1211_Sourdough_BE,0.2,False,3,"(K01676,K01679,K01677+K01678)",1
M00011,P1211_Sourdough_BE,P1211_Sourdough_BE,0.2,False,4,"(K00026,K00025,K00024,K00116)",0
M00004,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,0,"(K13937,((K00036,K19243) (K01057,K07404)))",1
M00004,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,1,K00033,1
M00004,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,2,K01783,1
M00004,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,3,"(K01807,K01808)",1
M00004,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,4,K00615,1
M00004,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,5,"((K00616 (K01810,K06859,K15916)),K13810)",1
M00006,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,0,"(K13937,((K00036,K19243) (K01057,K07404)))",1
M00006,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,1,K00033,1
M00007,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,0,K00615,1
M00007,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,1,"(K00616,K13810)",1
M00007,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,2,K01783,1
M00007,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,3,"(K01807,K01808)",1
M00580,P1211_Sourdough_BE,P1211_Sourdough_BE,0.5,False,0,"(K08094 (K08093,K13812),K13831)",0
M00580,P1211_Sourdough_BE,P1211_Sourdough_BE,0.5,False,1,K01807,1
M00005,P1211_Sourdough_BE,P1211_Sourdough_BE,1.0,True,0,K00948,1
M00008,P1211_Sourdough_BE,P1211_Sourdough_BE,0.5,False,0,K00036,1
M00008,P1211_Sourdough_BE,P1211_Sourdough_BE,0.5,False,1,"(K01057,K07404)",1
M00008,P1211_Sourdough_BE,P1211_Sourdough_BE,0.5,False,2,K01690,0
M00008,P1211_Sourdough_BE,P1211_Sourdough_BE,0.5,False,3,K01625,0
M00308,P1211_Sourdough_BE,P1211_Sourdough_BE,0.5,False,0,K05308,0
M00308,P1211_Sourdough_BE,P1211_Sourdough_BE,0.5,False,1,K00874,1
M00308,P1211_Sourdough_BE,P1211_Sourdough_BE,0.5,False,2,K01625,0
M00308,P1211_Sourdough_BE,P1211_Sourdough_BE,0.5,False,3,"(K00134 K00927,K00131,K18978)",1
M00631,P1211_Sourdough_BE,P1211_Sourdough_BE,0.2,False,0,K01812,0
M00631,P1211_Sourdough_BE,P1211_Sourdough_BE,0.2,False,1,K00041,0
M00631,P1211_Sourdough_BE,P1211_Sourdough_BE,0.2,False,2,"(K01685,K16849+K16850)",0
M00631,P1211_Sourdough_BE,P1211_Sourdough_BE,0.2,False,3,K00874,1
M00631,P1211_Sourdough_BE,P1211_Sourdough_BE,0.2,False,4,"(K01625,K17463)",0
M00061,P1211_Sourdough_BE,P1211_Sourdough_BE,0.2,False,0,K01812,0
M00061,P1211_Sourdough_BE,P1211_Sourdough_BE,0.2,False,1,K00040,0
M00061,P1211_Sourdough_BE,P1211_Sourdough_BE,0.2,False,2,"(K01686,K08323)",0
M00061,P1211_Sourdough_BE,P1211_Sourdough_BE,0.2,False,3,K00874,1
M00061,P1211_Sourdough_BE,P1211_Sourdough_BE,0.2,False,4,"(K01625,K17463)",0
M00632,P1211_Sourdough_BE,P1211_Sourdough_BE,0.75,True,0,K01785,1
M00632,P1211_Sourdough_BE,P1211_Sourdough_BE,0.75,True,1,K00849,1
M00632,P1211_Sourdough_BE,P1211_Sourdough_BE,0.75,True,2,K00965,0
M00632,P1211_Sourdough_BE,P1211_Sourdough_BE,0.75,True,3,K01784,1
M00552,P1211_Sourdough_BE,P1211_Sourdough_BE,0.4,False,0,K01684,0
M00552,P1211_Sourdough_BE,P1211_Sourdough_BE,0.4,False,1,K00883,0
M00552,P1211_Sourdough_BE,P1211_Sourdough_BE,0.4,False,2,K01631,0
